model,arch,decision_type,perrun_tau,ens_tau,d_tau,perrun_tau_min,perrun_tau_max,perrun_top1,ens_top1,d_top1,perrun_mae,ens_mae,d_mae,ens_n_scenarios,mean_runs_per_scenario
deepseek,A_D,Overall,0.144,0.159,0.015000000000000013,0.0997,0.209,0.36682000000000003,0.4,0.03317999999999999,0.23142000000000001,0.2079,-0.023520000000000013,195,4.964102564102564
deepseek,A_D,HVAC,-0.10210000000000001,-0.1238,-0.021699999999999983,-0.2,-0.0286,0.19788,0.1714,-0.026480000000000004,0.21458,0.184,-0.030579999999999996,70,4.985714285714286
deepseek,A_D,Appliance,0.029339999999999998,-0.0564,-0.08574,-0.0208,0.1111,0.31706,0.3231,0.00603999999999999,0.27168000000000003,0.2578,-0.013880000000000059,65,4.953846153846154
deepseek,A_D,Shower,0.5576399999999999,0.7222,0.16456000000000004,0.5141,0.6333,0.6194200000000001,0.75,0.13057999999999992,0.20750000000000002,0.1817,-0.025800000000000017,60,4.95
deepseek,A_E,Overall,0.30667999999999995,0.3368,0.030120000000000036,0.2581,0.3436,0.5353800000000001,0.5641,0.028719999999999968,0.16772,0.1583,-0.009420000000000012,195,5.0
deepseek,A_E,HVAC,0.04188,0.0476,0.005720000000000003,0.0095,0.0952,0.32856,0.3286,3.999999999998449e-05,0.15524,0.1487,-0.00653999999999999,70,5.0
deepseek,A_E,Appliance,0.41744000000000003,0.4051,-0.012340000000000018,0.3231,0.4974,0.70152,0.7077,0.006179999999999963,0.20670000000000002,0.1941,-0.012600000000000028,65,5.0
deepseek,A_E,Shower,0.49558,0.6,0.10441999999999996,0.3556,0.6222,0.5966799999999999,0.6833,0.08662000000000014,0.14007999999999998,0.1307,-0.009379999999999972,60,5.0
gemini,A_D,Overall,0.17606,0.1692,-0.006860000000000005,0.159,0.1897,0.36206000000000005,0.359,-0.0030600000000000627,0.219,0.2157,-0.0032999999999999974,195,5.0
gemini,A_D,HVAC,-0.03236,-0.0476,-0.015240000000000004,-0.0667,-0.0095,0.25427999999999995,0.2429,-0.011379999999999946,0.24118,0.2378,-0.003379999999999994,70,5.0
gemini,A_D,Appliance,-0.021539999999999997,-0.0256,-0.004060000000000005,-0.0462,-0.0051,0.24924,0.2308,-0.018439999999999984,0.2720599999999999,0.2676,-0.0044599999999999085,65,5.0
gemini,A_D,Shower,0.6333399999999999,0.6333,-3.999999999992898e-05,0.5889,0.6778,0.61,0.6333,0.023299999999999987,0.1357,0.1336,-0.0020999999999999908,60,5.0
gemini,A_E,Overall,0.30986,0.2855,-0.02436000000000005,0.2852,0.3299,0.48708,0.4667,-0.02038000000000001,0.15838000000000002,0.1553,-0.003080000000000027,195,4.948717948717949
gemini,A_E,HVAC,-0.11621999999999999,-0.181,-0.06478,-0.1401,-0.0725,0.15283999999999998,0.1143,-0.03853999999999998,0.20295999999999997,0.1992,-0.0037599999999999856,70,4.957142857142857
gemini,A_E,Appliance,0.34409999999999996,0.3538,0.009700000000000042,0.2923,0.3862,0.56308,0.5538,-0.009280000000000066,0.15941999999999998,0.1548,-0.004619999999999985,65,4.892307692307693
gemini,A_E,Shower,0.76668,0.7556,-0.011079999999999979,0.7444,0.7889,0.7933399999999999,0.7833,-0.010039999999999938,0.10568,0.1045,-0.0011800000000000005,60,5.0
gptoss,A_D,Overall,0.04068000000000001,0.053,0.01231999999999999,0.0017,0.1077,0.33334,0.3385,0.005159999999999998,0.24106,0.2298,-0.011259999999999992,195,5.0
gptoss,A_D,HVAC,0.13523999999999997,0.2381,0.10286000000000003,0.0667,0.181,0.39714,0.4857,0.08856000000000003,0.2077,0.1961,-0.0116,70,5.0
gptoss,A_D,Appliance,-0.14666,-0.1897,-0.043039999999999995,-0.241,-0.0564,0.2677,0.2615,-0.006199999999999983,0.28868,0.2742,-0.014479999999999993,65,5.0
gptoss,A_D,Shower,0.13334,0.1,-0.03333999999999998,0.0778,0.2111,0.32999999999999996,0.25,-0.07999999999999996,0.2285,0.2209,-0.007599999999999996,60,5.0
gptoss,A_E,Overall,0.27247999999999994,0.3402,0.06772000000000006,0.2308,0.3368,0.47386,0.5179,0.044040000000000024,0.16898,0.1545,-0.014479999999999993,195,5.0
gptoss,A_E,HVAC,0.26474000000000003,0.3619,0.09715999999999997,0.2,0.3333,0.46856,0.5714,0.10284000000000004,0.16648000000000002,0.1497,-0.016780000000000017,70,5.0
gptoss,A_E,Appliance,-0.04820000000000001,0.0154,0.0636,-0.1385,0.0462,0.30462,0.3231,0.018479999999999996,0.21361999999999998,0.1981,-0.015519999999999978,65,5.0
gptoss,A_E,Shower,0.6289,0.6667,0.037799999999999945,0.6,0.6778,0.6633600000000001,0.6667,0.0033399999999998986,0.12356,0.1128,-0.010760000000000006,60,5.0
qwen,A_D,Overall,0.009980000000000001,0.0017,-0.008280000000000001,-0.0564,0.0412,0.30012,0.3179,0.017780000000000018,0.23485999999999999,0.2217,-0.013159999999999977,195,4.98974358974359
qwen,A_D,HVAC,-0.00272,0.0571,0.05982,-0.0571,0.0476,0.32656,0.4,0.07344,0.21631999999999998,0.1962,-0.02011999999999997,70,4.985714285714286
qwen,A_D,Appliance,-0.030879999999999998,-0.1282,-0.09732000000000002,-0.0769,0.0051,0.23149999999999998,0.2154,-0.016099999999999975,0.28284000000000004,0.2751,-0.007740000000000025,65,4.984615384615385
qwen,A_D,Shower,0.06888000000000001,0.0778,0.008919999999999983,-0.0667,0.1778,0.34334000000000003,0.3333,-0.010040000000000049,0.20460000000000003,0.1936,-0.011000000000000038,60,5.0
qwen,A_E,Overall,0.20820000000000002,0.2137,0.005499999999999977,0.1453,0.241,0.46566,0.4615,-0.004159999999999997,0.19354,0.1772,-0.016339999999999993,195,5.0
qwen,A_E,HVAC,0.16002,0.1333,-0.026719999999999994,0.1429,0.181,0.41142,0.3714,-0.04002,0.17362000000000002,0.1588,-0.014820000000000028,70,5.0
qwen,A_E,Appliance,0.23076000000000002,0.2821,0.05134,0.159,0.3128,0.52,0.5385,0.01849999999999996,0.2242,0.2011,-0.02310000000000001,65,5.0
qwen,A_E,Shower,0.24000000000000005,0.2333,-0.006700000000000039,0.1222,0.3222,0.47000000000000003,0.4833,0.013299999999999979,0.18352,0.1727,-0.010819999999999996,60,5.0
