model,arch,metric,n,mean_ensemble,mean_runmean,mean_diff,n_better,n_worse,p,p_holm
deepseek,A_D,kendall_tau,195,0.15897435897435896,0.14632478632478635,0.012649572649572645,84,64,0.41601529395896875,1.0
deepseek,A_D,top1,195,0.4,0.3687179487179488,0.031282051282051276,54,52,0.37604698499286515,1.0
deepseek,A_E,kendall_tau,195,0.3367521367521368,0.3066666666666667,0.030085470085470068,80,57,0.21987415253862508,1.0
deepseek,A_E,top1,195,0.5641025641025641,0.5353846153846155,0.028717948717948708,60,50,0.7080654090360684,1.0
gemini,A_D,kendall_tau,195,0.16923076923076918,0.17606837606837605,-0.006837606837606843,36,33,0.34964564615130533,1.0
gemini,A_D,top1,195,0.358974358974359,0.362051282051282,-0.0030769230769230787,15,15,0.38375819509103626,1.0
gemini,A_E,kendall_tau,195,0.2854700854700855,0.30837606837606835,-0.022905982905982905,23,43,0.04796081871761441,0.33572573102330083
gemini,A_E,top1,195,0.4666666666666667,0.4874358974358975,-0.020769230769230772,8,21,0.015456685885256824,0.12365348708205459
gptoss,A_D,kendall_tau,195,0.052991452991452984,0.04068376068376068,0.012307692307692315,94,81,0.37409150376180655,1.0
gptoss,A_D,top1,195,0.3384615384615385,0.3333333333333333,0.005128205128205121,56,69,0.2860932867584737,1.0
gptoss,A_E,kendall_tau,195,0.34017094017094024,0.2724786324786325,0.06769230769230768,101,56,0.009285749682065428,0.07428599745652342
gptoss,A_E,top1,195,0.517948717948718,0.47384615384615386,0.0441025641025641,58,45,0.13359222491049622,0.9351455743734736
qwen,A_D,kendall_tau,195,0.0017094017094016988,0.009230769230769225,-0.00752136752136752,81,78,0.6306270844323618,1.0
qwen,A_D,top1,195,0.31794871794871793,0.2997435897435898,0.0182051282051282,54,62,0.6462148073799074,1.0
qwen,A_E,kendall_tau,195,0.2136752136752137,0.2082051282051282,0.005470085470085456,87,72,0.5637020485547781,1.0
qwen,A_E,top1,195,0.46153846153846156,0.4656410256410257,-0.00410256410256411,70,80,0.173000144686007,1.0
