model,arch,run,decision_type,tau,tau_csv,top1,top1_csv,mae,mae_csv,n,n_csv,max_abs_diff
deepseek,A_D,1,Overall,0.209,0.209,0.4197,0.4197,0.2319,0.2319,193,193,0.0
deepseek,A_D,1,HVAC,-0.0667,-0.0667,0.2286,0.2286,0.2139,0.2139,70,70,0.0
deepseek,A_D,1,Appliance,0.1111,0.1111,0.381,0.381,0.2748,0.2748,63,63,0.0
deepseek,A_D,1,Shower,0.6333,0.6333,0.6833,0.6833,0.2078,0.2078,60,60,0.0
deepseek,A_D,2,Overall,0.0997,0.0997,0.3608,0.3608,0.2294,0.2294,194,194,0.0
deepseek,A_D,2,HVAC,-0.2,-0.2,0.1429,0.1429,0.2116,0.2116,70,70,0.0
deepseek,A_D,2,Appliance,-0.0154,-0.0154,0.2923,0.2923,0.2716,0.2716,65,65,0.0
deepseek,A_D,2,Shower,0.5819,0.5819,0.6949,0.6949,0.2041,0.2041,59,59,0.0
deepseek,A_D,3,Overall,0.1285,0.1285,0.3594,0.3594,0.2356,0.2356,192,192,0.0
deepseek,A_D,3,HVAC,-0.0628,-0.0628,0.2464,0.2464,0.2134,0.2134,69,69,0.0
deepseek,A_D,3,Appliance,-0.0208,-0.0208,0.2812,0.2812,0.276,0.276,64,64,0.0
deepseek,A_D,3,Shower,0.5141,0.5141,0.5763,0.5763,0.2177,0.2177,59,59,0.0
deepseek,A_D,4,Overall,0.1512,0.1512,0.3557,0.3557,0.231,0.231,194,194,0.0
deepseek,A_D,4,HVAC,-0.0286,-0.0286,0.2286,0.2286,0.2158,0.2158,70,70,0.0
deepseek,A_D,4,Appliance,-0.0051,-0.0051,0.3077,0.3077,0.271,0.271,65,65,0.0
deepseek,A_D,4,Shower,0.5367,0.5367,0.5593,0.5593,0.2048,0.2048,59,59,0.0
deepseek,A_D,5,Overall,0.1316,0.1316,0.3385,0.3385,0.2292,0.2292,195,195,0.0
deepseek,A_D,5,HVAC,-0.1524,-0.1524,0.1429,0.1429,0.2182,0.2182,70,70,0.0
deepseek,A_D,5,Appliance,0.0769,0.0769,0.3231,0.3231,0.265,0.265,65,65,0.0
deepseek,A_D,5,Shower,0.5222,0.5222,0.5833,0.5833,0.2031,0.2031,60,60,0.0
deepseek,A_E,1,Overall,0.3436,0.3436,0.5744,0.5744,0.1682,0.1682,195,195,0.0
deepseek,A_E,1,HVAC,0.0095,0.0095,0.3571,0.3571,0.1552,0.1552,70,70,0.0
deepseek,A_E,1,Appliance,0.4974,0.4974,0.7846,0.7846,0.2043,0.2043,65,65,0.0
deepseek,A_E,1,Shower,0.5667,0.5667,0.6,0.6,0.1442,0.1442,60,60,0.0
deepseek,A_E,2,Overall,0.3368,0.3368,0.5641,0.5641,0.1667,0.1667,195,195,0.0
deepseek,A_E,2,HVAC,0.019,0.019,0.3,0.3,0.1512,0.1512,70,70,0.0
deepseek,A_E,2,Appliance,0.4154,0.4154,0.7538,0.7538,0.2093,0.2093,65,65,0.0
deepseek,A_E,2,Shower,0.6222,0.6222,0.6667,0.6667,0.1387,0.1387,60,60,0.0
deepseek,A_E,3,Overall,0.2581,0.2581,0.4974,0.4974,0.168,0.168,195,195,0.0
deepseek,A_E,3,HVAC,0.0095,0.0095,0.2857,0.2857,0.1556,0.1556,70,70,0.0
deepseek,A_E,3,Appliance,0.3231,0.3231,0.6308,0.6308,0.209,0.209,65,65,0.0
deepseek,A_E,3,Shower,0.4778,0.4778,0.6,0.6,0.138,0.138,60,60,0.0
deepseek,A_E,4,Overall,0.2855,0.2855,0.5282,0.5282,0.1674,0.1674,195,195,0.0
deepseek,A_E,4,HVAC,0.0762,0.0762,0.3714,0.3714,0.1553,0.1553,70,70,0.0
deepseek,A_E,4,Appliance,0.4462,0.4462,0.6615,0.6615,0.2048,0.2048,65,65,0.0
deepseek,A_E,4,Shower,0.3556,0.3556,0.5667,0.5667,0.141,0.141,60,60,0.0
deepseek,A_E,5,Overall,0.3094,0.3094,0.5128,0.5128,0.1683,0.1683,195,195,0.0
deepseek,A_E,5,HVAC,0.0952,0.0952,0.3286,0.3286,0.1589,0.1589,70,70,0.0
deepseek,A_E,5,Appliance,0.4051,0.4051,0.6769,0.6769,0.2061,0.2061,65,65,0.0
deepseek,A_E,5,Shower,0.4556,0.4556,0.55,0.55,0.1385,0.1385,60,60,0.0
deepseek,A_H,1,Overall,0.9009,0.9009,0.9231,0.9231,0.0395,0.0395,195,195,0.0
deepseek,A_H,1,HVAC,0.9238,0.9238,0.9286,0.9286,0.045,0.045,70,70,0.0
