model,arch,run,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret
deepseek,A_D,1,Overall,193,0.044888601036269446,0.4189442805349465,0.41968911917098445,0.41968911917098445,112,0.07735267857142859,0.0,0.2815,0.06948013816925734
deepseek,A_D,1,HVAC,70,0.04269285714285716,0.5593314915104995,0.22857142857142856,0.22857142857142856,54,0.05534259259259263,0.0,0.16199999999999992,0.037216666666666676
deepseek,A_D,1,Appliance,63,0.07525396825396827,0.47900861096414243,0.38095238095238093,0.38095238095238093,39,0.12156410256410258,0.0,0.2815,0.09033333333333335
deepseek,A_D,1,Shower,60,0.015566666666666666,0.19209165411281218,0.6833333333333333,0.6833333333333333,19,0.0491578947368421,0.0,0.26949999999999996,0.08522499999999998
deepseek,A_D,2,Overall,194,0.051969072164948456,0.4647946302927961,0.36082474226804123,0.36082474226804123,124,0.08130645161290323,0.0,0.25449999999999984,0.06941494845360825
deepseek,A_D,2,HVAC,70,0.04987857142857146,0.6369173503917813,0.14285714285714285,0.14285714285714285,60,0.058191666666666704,0.0,0.19,0.037216666666666676
deepseek,A_D,2,Appliance,65,0.08728461538461539,0.537125267268477,0.2923076923076923,0.2923076923076923,46,0.12333695652173915,0.0,0.25449999999999984,0.0898051282051282
deepseek,A_D,2,Shower,59,0.015542372881355933,0.18089493859197858,0.6949152542372882,0.6949152542372882,18,0.050944444444444445,0.0,0.1509999999999999,0.08515254237288136
deepseek,A_D,3,Overall,192,0.05646093750000001,0.45114095034386953,0.359375,0.359375,123,0.08813414634146344,0.0,0.5085000000000001,0.06861631944444445
deepseek,A_D,3,HVAC,69,0.043268115942028985,0.5336451430183022,0.2463768115942029,0.2463768115942029,52,0.05741346153846154,0.0,0.20699999999999985,0.03719806763285025
deepseek,A_D,3,Appliance,64,0.09276562500000002,0.5719259069128612,0.28125,0.28125,46,0.12906521739130436,0.0,0.25449999999999984,0.08922656250000001
deepseek,A_D,3,Shower,59,0.032508474576271186,0.2236320263616437,0.576271186440678,0.576271186440678,25,0.07672000000000001,0.0,0.5085000000000001,0.08300282485875707
deepseek,A_D,4,Overall,194,0.052391752577319595,0.4549154089428935,0.3556701030927835,0.3556701030927835,125,0.08131200000000001,0.0,0.30899999999999983,0.06952491408934708
deepseek,A_D,4,HVAC,70,0.03895714285714288,0.5322564509568929,0.22857142857142856,0.22857142857142856,54,0.050500000000000024,0.0,0.169,0.037216666666666676
deepseek,A_D,4,Appliance,65,0.0883846153846154,0.5515956524079734,0.3076923076923077,0.3076923076923077,45,0.12766666666666668,0.0,0.2815,0.0898051282051282
