model,arch,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret,n_runs
deepseek,A_D,Overall,193.6,0.051074893168528014,0.4485834966510839,0.3668041005986695,0.3668041005986695,122.6,0.0806357839873296,0.0,0.3888999999999999,0.06931085377492116,5
deepseek,A_D,HVAC,69.8,0.0445493374741201,0.5756858968665933,0.19784679089026916,0.19784679089026916,56.0,0.05547787749287751,0.0,0.17939999999999995,0.03721294685990339,5
deepseek,A_D,Appliance,64.4,0.08300084172771674,0.5223570134881259,0.3170558608058608,0.3170558608058608,44.0,0.12139704317421711,0.0,0.2639999999999999,0.0897950560897436,5
deepseek,A_D,Shower,59.4,0.024100762711864405,0.2190885081710808,0.6194350282485875,0.6194350282485875,22.6,0.06191985245164193,0.0,0.36579999999999996,0.08482389830508474,5
deepseek,A_E,Overall,195.0,0.03455897435897436,0.3070297817032157,0.5353846153846153,0.5353846153846153,90.6,0.07427969760681423,0.0,0.33949999999999997,0.06951794871794871,5
deepseek,A_E,HVAC,70.0,0.03638142857142858,0.45064373940991853,0.32857142857142857,0.32857142857142857,47.0,0.0542787167111848,0.0,0.19979999999999992,0.037216666666666676,5
deepseek,A_E,Appliance,65.0,0.030163076923076924,0.21585898883175605,0.7015384615384616,0.7015384615384616,19.4,0.10229109848484849,0.0,0.2234,0.0898051282051282,5
deepseek,A_E,Shower,60.0,0.037195,0.23824852332281035,0.5966666666666667,0.5966666666666667,24.2,0.09158013532763531,0.0,0.3316,0.08522499999999998,5
deepseek,A_H,Overall,194.8,0.0020720354216230506,0.03206657872158126,0.9075865715040973,0.9075865715040973,18.0,0.022225,0.0,0.09250000000000017,0.06957002907745176,5
deepseek,A_H,HVAC,69.8,0.0024007453416149092,0.028584209405458794,0.9197515527950311,0.9197515527950311,5.6,0.029675714285714312,0.0,0.08830000000000017,0.03726946859903383,5
deepseek,A_H,Appliance,65.0,0.00020769230769230703,0.001228948566226669,0.9846153846153847,0.9846153846153847,1.0,0.013499999999999956,0.0,0.013499999999999956,0.0898051282051282,5
deepseek,A_H,Shower,60.0,0.003709999999999999,0.06953151001784666,0.8099999999999999,0.8099999999999999,11.4,0.019493142968142963,0.0,0.047699999999999854,0.08522499999999998,5
gemini,A_D,Overall,195.0,0.049948205128205136,0.4049358641301387,0.36205128205128206,0.36205128205128206,124.4,0.07828957668010754,0.0,0.2815,0.06951794871794871,5
