model,arch,run,decision_type,n,any_tie_share,top_tie_share,top_tie_input_order_share,all_three_identical_share,n_top_tie,gt_in_tied_top_share,gt_first_in_tie_share,shipped_hit_in_ties,top1_shipped,top1_random_tiebreak,top1_input_order_only,top1_ties_as_miss,shipped_top_pos1_share
deepseek,A_D,1,Overall,193,0.06735751295336788,0.04145077720207254,0.031088082901554404,0.0051813471502590676,8,0.75,0.625,0.5,0.41968911917098445,0.41364421416234887,0.42487046632124353,0.39896373056994816,0.5595854922279793
deepseek,A_D,1,HVAC,70,0.05714285714285714,0.05714285714285714,0.04285714285714286,0.014285714285714285,4,0.5,0.25,0.25,0.22857142857142856,0.22619047619047616,0.22857142857142856,0.21428571428571427,0.5142857142857142
deepseek,A_D,1,Appliance,63,0.1111111111111111,0.047619047619047616,0.031746031746031744,0.0,3,1.0,1.0,0.6666666666666666,0.38095238095238093,0.373015873015873,0.3968253968253968,0.3492063492063492,0.3492063492063492
deepseek,A_D,1,Shower,60,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,1,1.0,1.0,1.0,0.6833333333333333,0.675,0.6833333333333333,0.6666666666666666,0.8333333333333334
deepseek,A_D,2,Overall,194,0.05154639175257732,0.041237113402061855,0.030927835051546393,0.0,8,0.75,0.375,0.25,0.36082474226804123,0.36597938144329895,0.36597938144329895,0.35051546391752575,0.520618556701031
deepseek,A_D,2,HVAC,70,0.08571428571428572,0.08571428571428572,0.07142857142857142,0.0,6,0.6666666666666666,0.16666666666666666,0.0,0.14285714285714285,0.17142857142857143,0.15714285714285714,0.14285714285714285,0.5571428571428572
deepseek,A_D,2,Appliance,65,0.03076923076923077,0.0,0.0,0.0,0,,,,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.26153846153846155
deepseek,A_D,2,Shower,59,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.0,2,1.0,1.0,1.0,0.6949152542372882,0.6779661016949152,0.6949152542372882,0.6610169491525424,0.7627118644067796
deepseek,A_D,3,Overall,192,0.07291666666666667,0.057291666666666664,0.036458333333333336,0.005208333333333333,11,0.6363636363636364,0.45454545454545453,0.36363636363636365,0.359375,0.35590277777777785,0.3645833333333333,0.3385416666666667,0.4947916666666667
deepseek,A_D,3,HVAC,69,0.08695652173913043,0.057971014492753624,0.057971014492753624,0.014492753623188406,4,0.5,0.0,0.0,0.2463768115942029,0.2584541062801933,0.2463768115942029,0.2463768115942029,0.5507246376811594
deepseek,A_D,3,Appliance,64,0.03125,0.03125,0.0,0.0,2,0.5,0.5,0.0,0.28125,0.2890625,0.296875,0.28125,0.25
deepseek,A_D,3,Shower,59,0.1016949152542373,0.0847457627118644,0.05084745762711865,0.0,5,0.8,0.8,0.8,0.576271186440678,0.5423728813559322,0.576271186440678,0.5084745762711864,0.6949152542372882
deepseek,A_D,4,Overall,194,0.05154639175257732,0.041237113402061855,0.030927835051546393,0.0,8,0.875,0.375,0.5,0.3556701030927835,0.35309278350515466,0.35051546391752575,0.33505154639175255,0.4896907216494845
deepseek,A_D,4,HVAC,70,0.1,0.08571428571428572,0.07142857142857142,0.0,6,0.8333333333333334,0.3333333333333333,0.5,0.22857142857142856,0.22142857142857142,0.21428571428571427,0.18571428571428572,0.4857142857142857
deepseek,A_D,4,Appliance,65,0.015384615384615385,0.015384615384615385,0.0,0.0,1,1.0,1.0,1.0,0.3076923076923077,0.3,0.3076923076923077,0.2923076923076923,0.2923076923076923
deepseek,A_D,4,Shower,59,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.0,1,1.0,0.0,0.0,0.559322033898305,0.5677966101694916,0.559322033898305,0.559322033898305,0.711864406779661
deepseek,A_D,5,Overall,195,0.05128205128205128,0.03076923076923077,0.020512820512820513,0.005128205128205128,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3384615384615385,0.3427350427350427,0.3384615384615385,0.3333333333333333,0.5025641025641026
deepseek,A_D,5,HVAC,70,0.12857142857142856,0.08571428571428572,0.05714285714285714,0.014285714285714285,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.15476190476190474,0.14285714285714285,0.12857142857142856,0.4714285714285714
deepseek,A_D,5,Appliance,65,0.015384615384615385,0.0,0.0,0.0,0,,,,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231
deepseek,A_D,5,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7333333333333333
deepseek,A_E,1,Overall,195,0.1282051282051282,0.08205128205128205,0.07179487179487179,0.010256410256410256,16,0.75,0.5,0.375,0.5743589743589743,0.5726495726495727,0.5846153846153846,0.5435897435897435,0.5948717948717949
deepseek,A_E,1,HVAC,70,0.2,0.12857142857142856,0.12857142857142856,0.014285714285714285,9,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.35714285714285715,0.3761904761904762,0.35714285714285715,0.34285714285714286,0.44285714285714284
deepseek,A_E,1,Appliance,65,0.1076923076923077,0.07692307692307693,0.06153846153846154,0.015384615384615385,5,1.0,1.0,0.8,0.7846153846153846,0.758974358974359,0.8,0.7230769230769231,0.7846153846153846
deepseek,A_E,1,Shower,60,0.06666666666666667,0.03333333333333333,0.016666666666666666,0.0,2,1.0,1.0,0.5,0.6,0.6,0.6166666666666667,0.5833333333333334,0.5666666666666667
deepseek,A_E,2,Overall,195,0.1794871794871795,0.12307692307692308,0.09743589743589744,0.015384615384615385,24,0.7916666666666666,0.4583333333333333,0.5,0.5641025641025641,0.5487179487179488,0.558974358974359,0.5025641025641026,0.5743589743589743
deepseek,A_E,2,HVAC,70,0.2857142857142857,0.2,0.18571428571428572,0.02857142857142857,14,0.6428571428571429,0.14285714285714285,0.14285714285714285,0.3,0.33095238095238094,0.3,0.2714285714285714,0.42857142857142855
deepseek,A_E,2,Appliance,65,0.15384615384615385,0.09230769230769231,0.06153846153846154,0.015384615384615385,6,1.0,0.8333333333333334,1.0,0.7538461538461538,0.7051282051282052,0.7384615384615385,0.6615384615384615,0.7230769230769231
deepseek,A_E,2,Shower,60,0.08333333333333333,0.06666666666666667,0.03333333333333333,0.0,4,1.0,1.0,1.0,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.6,0.5833333333333334
deepseek,A_E,3,Overall,195,0.15897435897435896,0.10256410256410256,0.07692307692307693,0.005128205128205128,20,0.8,0.5,0.45,0.49743589743589745,0.49145299145299143,0.5025641025641026,0.4512820512820513,0.5641025641025641
deepseek,A_E,3,HVAC,70,0.22857142857142856,0.12857142857142856,0.11428571428571428,0.014285714285714285,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.2857142857142857,0.2976190476190476,0.2714285714285714,0.2571428571428571,0.38571428571428573
deepseek,A_E,3,Appliance,65,0.15384615384615385,0.1076923076923077,0.09230769230769231,0.0,7,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.6307692307692307,0.6,0.6307692307692307,0.5538461538461539,0.6923076923076923
deepseek,A_E,3,Shower,60,0.08333333333333333,0.06666666666666667,0.016666666666666666,0.0,4,1.0,1.0,0.5,0.6,0.6,0.6333333333333333,0.5666666666666667,0.6333333333333333
deepseek,A_E,4,Overall,195,0.2,0.1282051282051282,0.10256410256410256,0.010256410256410256,25,0.8,0.68,0.68,0.5282051282051282,0.49059829059829063,0.5282051282051282,0.441025641025641,0.5641025641025641
deepseek,A_E,4,HVAC,70,0.2714285714285714,0.18571428571428572,0.18571428571428572,0.02857142857142857,13,0.6923076923076923,0.46153846153846156,0.46153846153846156,0.37142857142857144,0.3452380952380952,0.37142857142857144,0.2857142857142857,0.44285714285714284
deepseek,A_E,4,Appliance,65,0.18461538461538463,0.1076923076923077,0.07692307692307693,0.0,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6615384615384615,0.6153846153846154,0.6615384615384615,0.5692307692307692,0.676923076923077
deepseek,A_E,4,Shower,60,0.13333333333333333,0.08333333333333333,0.03333333333333333,0.0,5,1.0,1.0,1.0,0.5666666666666667,0.525,0.5666666666666667,0.48333333333333334,0.5833333333333334
deepseek,A_E,5,Overall,195,0.2,0.11282051282051282,0.09230769230769231,0.015384615384615385,22,0.7272727272727273,0.6363636363636364,0.5909090909090909,0.5128205128205128,0.4846153846153846,0.517948717948718,0.4461538461538462,0.5230769230769231
deepseek,A_E,5,HVAC,70,0.3,0.15714285714285714,0.14285714285714285,0.02857142857142857,11,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.32857142857142857,0.30238095238095236,0.32857142857142857,0.2571428571428571,0.34285714285714286
deepseek,A_E,5,Appliance,65,0.18461538461538463,0.12307692307692308,0.1076923076923077,0.015384615384615385,8,0.75,0.75,0.75,0.676923076923077,0.6282051282051282,0.676923076923077,0.5846153846153846,0.7076923076923077
deepseek,A_E,5,Shower,60,0.1,0.05,0.016666666666666666,0.0,3,1.0,1.0,0.6666666666666666,0.55,0.5416666666666666,0.5666666666666667,0.5166666666666667,0.5333333333333333
deepseek,A_H,1,Overall,195,0.005128205128205128,0.0,0.0,0.0,0,,,,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6051282051282051
deepseek,A_H,1,HVAC,70,0.014285714285714285,0.0,0.0,0.0,0,,,,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.2571428571428571
deepseek,A_H,1,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.8923076923076924
deepseek,A_H,1,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.85,0.85,0.85,0.85,0.7
deepseek,A_H,2,Overall,194,0.005154639175257732,0.0,0.0,0.0,0,,,,0.8969072164948454,0.8969072164948454,0.8969072164948454,0.8969072164948454,0.5670103092783505
deepseek,A_H,2,HVAC,69,0.014492753623188406,0.0,0.0,0.0,0,,,,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.2318840579710145
deepseek,A_H,2,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.8923076923076924
deepseek,A_H,2,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.6
deepseek,A_H,3,Overall,195,0.005128205128205128,0.0,0.0,0.0,0,,,,0.9025641025641026,0.9025641025641026,0.9025641025641026,0.9025641025641026,0.5743589743589743
deepseek,A_H,3,HVAC,70,0.014285714285714285,0.0,0.0,0.0,0,,,,0.9,0.9,0.9,0.9,0.22857142857142856
deepseek,A_H,3,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.8923076923076924
deepseek,A_H,3,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.6333333333333333
deepseek,A_H,4,Overall,195,0.005128205128205128,0.0,0.0,0.0,0,,,,0.9076923076923077,0.9076923076923077,0.9076923076923077,0.9076923076923077,0.558974358974359
deepseek,A_H,4,HVAC,70,0.014285714285714285,0.0,0.0,0.0,0,,,,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.22857142857142856
deepseek,A_H,4,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.8923076923076924
deepseek,A_H,4,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.8,0.8,0.8,0.8,0.5833333333333334
deepseek,A_H,5,Overall,195,0.005128205128205128,0.0,0.0,0.0,0,,,,0.9076923076923077,0.9076923076923077,0.9076923076923077,0.9076923076923077,0.5641025641025641
deepseek,A_H,5,HVAC,70,0.014285714285714285,0.0,0.0,0.0,0,,,,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.21428571428571427
deepseek,A_H,5,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.8923076923076924
deepseek,A_H,5,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.8,0.8,0.8,0.8,0.6166666666666667
gemini,A_D,1,Overall,195,0.020512820512820513,0.005128205128205128,0.0,0.0,1,1.0,1.0,1.0,0.38461538461538464,0.382051282051282,0.38461538461538464,0.37948717948717947,0.35384615384615387
gemini,A_D,1,HVAC,70,0.0,0.0,0.0,0.0,0,,,,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.38571428571428573
gemini,A_D,1,Appliance,65,0.015384615384615385,0.0,0.0,0.0,0,,,,0.27692307692307694,0.27692307692307694,0.27692307692307694,0.27692307692307694,0.26153846153846155
gemini,A_D,1,Shower,60,0.05,0.016666666666666666,0.0,0.0,1,1.0,1.0,1.0,0.6333333333333333,0.625,0.6333333333333333,0.6166666666666667,0.4166666666666667
gemini,A_D,2,Overall,195,0.020512820512820513,0.010256410256410256,0.0,0.0,2,0.5,0.5,0.5,0.358974358974359,0.3564102564102564,0.358974358974359,0.35384615384615387,0.358974358974359
gemini,A_D,2,HVAC,70,0.04285714285714286,0.014285714285714285,0.0,0.0,1,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.4
gemini,A_D,2,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.23076923076923078
gemini,A_D,2,Shower,60,0.016666666666666666,0.016666666666666666,0.0,0.0,1,1.0,1.0,1.0,0.6,0.5916666666666667,0.6,0.5833333333333334,0.45
gemini,A_D,3,Overall,195,0.035897435897435895,0.02564102564102564,0.0,0.0,5,0.8,0.6,0.4,0.3435897435897436,0.3435897435897436,0.3487179487179487,0.3333333333333333,0.3333333333333333
gemini,A_D,3,HVAC,70,0.02857142857142857,0.02857142857142857,0.0,0.0,2,0.5,0.0,0.0,0.24285714285714285,0.25,0.24285714285714285,0.24285714285714285,0.37142857142857144
gemini,A_D,3,Appliance,65,0.03076923076923077,0.015384615384615385,0.0,0.0,1,1.0,1.0,0.0,0.23076923076923078,0.23846153846153847,0.24615384615384617,0.23076923076923078,0.23076923076923078
gemini,A_D,3,Shower,60,0.05,0.03333333333333333,0.0,0.0,2,1.0,1.0,1.0,0.5833333333333334,0.5666666666666667,0.5833333333333334,0.55,0.4
gemini,A_D,4,Overall,195,0.041025641025641026,0.015384615384615385,0.005128205128205128,0.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3641025641025641,0.36153846153846153,0.3641025641025641,0.358974358974359,0.3487179487179487
gemini,A_D,4,HVAC,70,0.02857142857142857,0.014285714285714285,0.0,0.0,1,0.0,0.0,0.0,0.24285714285714285,0.24285714285714285,0.24285714285714285,0.24285714285714285,0.4
gemini,A_D,4,Appliance,65,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.0,1,0.0,0.0,0.0,0.26153846153846155,0.26153846153846155,0.26153846153846155,0.26153846153846155,0.24615384615384617
