model,arch,decision_type,n,any_tie_share,top_tie_share,top_tie_input_order_share,all_three_identical_share,n_top_tie,gt_in_tied_top_share,gt_first_in_tie_share,shipped_hit_in_ties,top1_shipped,top1_random_tiebreak,top1_input_order_only,top1_ties_as_miss,shipped_top_pos1_share,top1_inflation_vs_random_pp
deepseek,A_D,Overall,193.6,0.05892980288144809,0.04239718028841873,0.029982981370160207,0.0031035771223595055,8.2,0.7356060606060606,0.39924242424242423,0.3560606060606061,0.3668041005986695,0.36627083992472464,0.368882036695388,0.35128114817584527,0.5134501079618528,0.053326067394487975
deepseek,A_D,HVAC,69.8,0.09167701863354036,0.0744513457556936,0.060165631469979296,0.008612836438923395,5.2,0.6333333333333333,0.18333333333333332,0.18333333333333332,0.19784679089026916,0.2064527260179434,0.19784679089026916,0.18356107660455487,0.5158592132505176,-0.8605935127674241
deepseek,A_D,Appliance,64.4,0.04077991452991453,0.0188507326007326,0.006349206349206349,0.0,1.2,0.8333333333333334,0.8333333333333334,0.5555555555555555,0.3170558608058608,0.3154925976800977,0.323355463980464,0.3076297313797314,0.2952258852258852,0.15632631257631036
deepseek,A_D,Shower,59.4,0.04056497175141243,0.030451977401129943,0.020282485875706215,0.0,1.8,0.95,0.7,0.7,0.6194350282485875,0.6092937853107345,0.6194350282485875,0.5957627118644068,0.7472316384180792,1.0141242937853012
deepseek,A_E,Overall,195.0,0.17333333333333334,0.10974358974358975,0.0882051282051282,0.011282051282051283,21.4,0.7737878787878788,0.5549393939393938,0.5191818181818182,0.5353846153846153,0.5176068376068377,0.5384615384615385,0.4769230769230769,0.5641025641025641,1.777777777777767
deepseek,A_E,HVAC,70.0,0.2571428571428571,0.16,0.1514285714285714,0.022857142857142857,11.2,0.6387501387501388,0.25623265623265623,0.2784548784548785,0.32857142857142857,0.3304761904761905,0.32571428571428573,0.2828571428571428,0.40857142857142853,-0.1904761904761909
deepseek,A_E,Appliance,65.0,0.15692307692307694,0.10153846153846154,0.08,0.009230769230769232,6.6,0.8928571428571429,0.830952380952381,0.8242857142857144,0.7015384615384616,0.6615384615384616,0.7015384615384616,0.6184615384615385,0.716923076923077,3.9999999999999925
deepseek,A_E,Shower,60.0,0.09333333333333334,0.06,0.02333333333333333,0.0,3.6,1.0,1.0,0.7333333333333333,0.5966666666666667,0.58,0.61,0.55,0.58,1.6666666666666718
deepseek,A_H,Overall,194.8,0.005133491937615649,0.0,0.0,0.0,0.0,,,,0.9075865715040973,0.9075865715040973,0.9075865715040973,0.9075865715040973,0.5739148823684906,0.0
deepseek,A_H,HVAC,69.8,0.01432712215320911,0.0,0.0,0.0,0.0,,,,0.9197515527950311,0.9197515527950311,0.9197515527950311,0.9197515527950311,0.2320910973084886,0.0
deepseek,A_H,Appliance,65.0,0.0,0.0,0.0,0.0,0.0,,,,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.8923076923076924,0.0
deepseek,A_H,Shower,60.0,0.0,0.0,0.0,0.0,0.0,,,,0.8099999999999999,0.8099999999999999,0.8099999999999999,0.8099999999999999,0.6266666666666667,0.0
gemini,A_D,Overall,195.0,0.031794871794871796,0.015384615384615385,0.0020512820512820513,0.0,3.0,0.6266666666666667,0.5366666666666666,0.4966666666666667,0.36205128205128206,0.3605128205128205,0.3630769230769231,0.3558974358974359,0.34974358974358977,0.1538461538461544
gemini,A_D,HVAC,70.0,0.02571428571428571,0.017142857142857144,0.0,0.0,1.2,0.25,0.0,0.0,0.2542857142857143,0.2571428571428571,0.2542857142857143,0.2542857142857143,0.39714285714285713,-0.2857142857142836
gemini,A_D,Appliance,65.0,0.02153846153846154,0.009230769230769232,0.006153846153846154,0.0,0.6,0.3333333333333333,0.3333333333333333,0.0,0.24923076923076923,0.25076923076923074,0.2523076923076923,0.24923076923076923,0.24000000000000005,-0.15384615384615163
gemini,A_D,Shower,60.0,0.05,0.02,0.0,0.0,1.2,1.0,1.0,1.0,0.61,0.6,0.61,0.5900000000000001,0.4133333333333334,1.0000000000000009
gemini,A_E,Overall,193.0,0.026954077862649785,0.019694683332443067,0.0031142055267702937,0.0,3.8,0.96,0.7033333333333334,0.6766666666666666,0.4870786816943539,0.4829362747716468,0.4870786816943539,0.4736070678204512,0.5471509267667326,0.41424069227071203
gemini,A_E,HVAC,69.4,0.023105590062111804,0.017308488612836438,0.008654244306418219,0.0,1.2,1.0,0.875,0.375,0.15283643892339543,0.15573498964803312,0.16149068322981366,0.14708074534161492,0.4092753623188406,-0.2898550724637683
gemini,A_E,Appliance,63.6,0.034626068376068374,0.018900335775335775,0.0,0.0,1.2,0.9,0.9,0.9,0.5630494505494505,0.5551865842490843,0.5630494505494505,0.547323717948718,0.5725251831501831,0.7862866300366256
gemini,A_E,Shower,60.0,0.023333333333333334,0.023333333333333334,0.0,0.0,1.4,1.0,0.4,0.9,0.7933333333333333,0.7849999999999999,0.7833333333333334,0.7733333333333333,0.6799999999999999,0.8333333333333415
gemini,A_H,Overall,195.0,0.010256410256410256,0.0,0.0,0.0,0.0,,,,0.9312820512820513,0.9312820512820513,0.9312820512820513,0.9312820512820513,0.5774358974358974,0.0
gemini,A_H,HVAC,70.0,0.02857142857142857,0.0,0.0,0.0,0.0,,,,0.9657142857142856,0.9657142857142856,0.9657142857142856,0.9657142857142856,0.25142857142857145,0.0
gemini,A_H,Appliance,65.0,0.0,0.0,0.0,0.0,0.0,,,,0.9692307692307691,0.9692307692307691,0.9692307692307691,0.9692307692307691,0.876923076923077,0.0
gemini,A_H,Shower,60.0,0.0,0.0,0.0,0.0,0.0,,,,0.85,0.85,0.85,0.85,0.6333333333333333,0.0
gptoss,A_D,Overall,195.0,0.12615384615384614,0.07076923076923078,0.06256410256410257,0.006153846153846154,13.8,0.7428877005347594,0.35978609625668445,0.391301247771836,0.33333333333333337,0.3305982905982906,0.3312820512820513,0.3046153846153846,0.3005128205128205,0.273504273504277
gptoss,A_D,HVAC,70.0,0.24,0.13428571428571429,0.11714285714285715,0.008571428571428572,9.4,0.7283333333333333,0.22000000000000003,0.2733333333333333,0.39714285714285713,0.41,0.3914285714285714,0.36,0.37142857142857144,-1.2857142857142845
gptoss,A_D,Appliance,65.0,0.018461538461538463,0.006153846153846154,0.003076923076923077,0.0,0.4,0.5,0.5,0.5,0.26769230769230773,0.2661538461538462,0.26769230769230773,0.26461538461538464,0.24000000000000005,0.1538461538461544
gptoss,A_D,Shower,60.0,0.11000000000000001,0.06666666666666667,0.06333333333333332,0.01,4.0,0.7,0.6047619047619047,0.6047619047619047,0.32999999999999996,0.30777777777777776,0.32999999999999996,0.2833333333333333,0.2833333333333333,2.2222222222222197
gptoss,A_E,Overall,195.0,0.05846153846153847,0.03282051282051282,0.02358974358974359,0.0,6.4,0.6171428571428572,0.36857142857142855,0.3435714285714285,0.47384615384615386,0.4712820512820513,0.47384615384615386,0.4615384615384615,0.36615384615384616,0.2564102564102555
gptoss,A_E,HVAC,70.0,0.08,0.04857142857142857,0.03428571428571429,0.0,3.4,0.63,0.20666666666666664,0.2733333333333333,0.4685714285714286,0.4714285714285714,0.46571428571428564,0.45714285714285713,0.20857142857142857,-0.2857142857142836
gptoss,A_E,Appliance,65.0,0.05846153846153847,0.033846153846153845,0.027692307692307693,0.0,2.2,0.5208333333333334,0.5208333333333334,0.3958333333333333,0.3046153846153846,0.3,0.3076923076923077,0.2923076923076923,0.27384615384615385,0.46153846153846323
gptoss,A_E,Shower,60.0,0.03333333333333334,0.013333333333333332,0.006666666666666666,0.0,0.8,1.0,1.0,1.0,0.6633333333333333,0.6566666666666666,0.6633333333333333,0.65,0.65,0.666666666666671
gptoss,A_H,Overall,171.6,0.005828655559346775,0.0,0.0,0.0,0.0,,,,0.917283010327167,0.917283010327167,0.917283010327167,0.917283010327167,0.6514296985066216,0.0
gptoss,A_H,HVAC,46.6,0.02151597608740466,0.0,0.0,0.0,0.0,,,,0.9398771387342816,0.9398771387342816,0.9398771387342816,0.9398771387342816,0.24401236858379716,0.0
gptoss,A_H,Appliance,65.0,0.0,0.0,0.0,0.0,0.0,,,,0.9876923076923078,0.9876923076923078,0.9876923076923078,0.9876923076923078,0.8953846153846154,0.0
gptoss,A_H,Shower,60.0,0.0,0.0,0.0,0.0,0.0,,,,0.8233333333333335,0.8233333333333335,0.8233333333333335,0.8233333333333335,0.7033333333333334,0.0
qwen,A_D,Overall,194.6,0.21275178429817604,0.088406026962728,0.08429817605075338,0.00514406555643669,17.2,0.6320716112531969,0.43116155157715264,0.44292625745950553,0.30013745704467354,0.28746145034804826,0.29911181601903253,0.26004229447528415,0.3669733016124769,1.2676006696625275
qwen,A_D,HVAC,69.8,0.14347826086956522,0.07184265010351967,0.06612836438923395,0.0,5.0,0.6666666666666666,0.3466666666666667,0.38,0.32654244306418223,0.32801242236024847,0.32368530020703934,0.3064596273291925,0.42720496894409943,-0.14699792960662372
qwen,A_D,Appliance,64.8,0.22533653846153845,0.05245192307692308,0.04625,0.003076923076923077,3.4,0.6333333333333333,0.5833333333333333,0.5833333333333333,0.23149038461538463,0.2171073717948718,0.23149038461538463,0.20067307692307695,0.23149038461538463,1.4383012820512824
qwen,A_D,Shower,60.0,0.27999999999999997,0.14666666666666667,0.14666666666666667,0.013333333333333332,8.8,0.6661111111111111,0.5044444444444445,0.5044444444444445,0.3433333333333334,0.3161111111111111,0.3433333333333334,0.27,0.44333333333333336,2.722222222222226
qwen,A_E,Overall,195.0,0.12717948717948718,0.07076923076923076,0.06564102564102564,0.003076923076923077,13.8,0.6980552780552781,0.612973692973693,0.5814585414585415,0.46564102564102566,0.44974358974358974,0.46769230769230774,0.42666666666666664,0.4543589743589743,1.5897435897435919
qwen,A_E,HVAC,70.0,0.1457142857142857,0.06571428571428571,0.06571428571428571,0.0,4.6,0.8121212121212121,0.4924242424242424,0.4924242424242424,0.41142857142857137,0.40285714285714286,0.41142857142857137,0.3771428571428571,0.26857142857142857,0.8571428571428508
qwen,A_E,Appliance,65.0,0.09846153846153846,0.08307692307692308,0.06769230769230769,0.0,5.4,0.7,0.7,0.625,0.52,0.5015384615384615,0.5261538461538462,0.4769230769230769,0.5630769230769231,1.846153846153853
qwen,A_E,Shower,60.0,0.13666666666666666,0.06333333333333332,0.06333333333333332,0.01,3.8,0.55,0.55,0.55,0.47000000000000003,0.44833333333333336,0.47000000000000003,0.43,0.5533333333333333,2.166666666666667
qwen,A_H,Overall,194.6,0.007190060798308221,0.0010256410256410256,0.0010256410256410256,0.0,0.2,0.0,0.0,0.0,0.8972402854877082,0.8972402854877082,0.8972402854877082,0.8972402854877082,0.6074068199841396,0.0
qwen,A_H,HVAC,69.6,0.02008281573498965,0.002857142857142857,0.002857142857142857,0.0,0.2,0.0,0.0,0.0,0.8736645962732918,0.8736645962732918,0.8736645962732918,0.8736645962732918,0.20405797101449274,0.0
qwen,A_H,Appliance,65.0,0.0,0.0,0.0,0.0,0.0,,,,0.9292307692307693,0.9292307692307693,0.9292307692307693,0.9292307692307693,0.8492307692307692,0.0
qwen,A_H,Shower,60.0,0.0,0.0,0.0,0.0,0.0,,,,0.89,0.89,0.89,0.89,0.8133333333333332,0.0
