model,arch,n_runs,input_tokens_per_run,output_tokens_per_run,total_tokens_per_run,output_share,api_calls_per_run,successful_calls_per_run,input_per_call,output_per_call,input_per_scenario,output_per_scenario
deepseek,A_D,5,372390.6,295335.8,667726.3999999999,0.44230061893613914,582.6,581.8,639.1874356333676,506.92722279437004,1909.6953846153845,1514.542564102564
deepseek,A_E,5,363366.0,21061.8,384427.8,0.054787400911172394,585.0,585.0,621.1384615384616,36.003076923076925,1863.4153846153847,108.00923076923077
deepseek,A_H,5,97945.4,12253.8,110199.2,0.111196814495931,195.0,194.8,502.2841025641025,62.839999999999996,502.2841025641025,62.839999999999996
gemini,A_D,5,390189.4,24049.4,414238.80000000005,0.05805685029987533,585.0,585.0,666.9904273504274,41.11008547008547,2000.971282051282,123.33025641025642
gemini,A_E,5,377818.2,50840.0,428658.2,0.11860265358273794,585.0,582.8,645.843076923077,86.90598290598291,1937.529230769231,260.71794871794873
gemini,A_H,5,98596.0,14661.4,113257.4,0.1294520269757208,195.0,195.0,505.62051282051283,75.18666666666667,505.62051282051283,75.18666666666667
gptoss,A_D,5,411171.0,81893.8,493064.8,0.16609135350972123,585.0,585.0,702.8564102564103,139.9894017094017,2108.5692307692307,419.96820512820517
gptoss,A_E,5,397207.8,85274.6,482482.4,0.1767413692188565,585.0,585.0,678.9876923076923,145.76854700854702,2036.9630769230769,437.3056410256411
gptoss,A_H,5,98635.0,24093.4,122728.4,0.19631478940489733,195.0,171.6,505.8205128205128,123.55589743589745,505.8205128205128,123.55589743589745
qwen,A_D,5,401484.2,22130.4,423614.60000000003,0.05224182547060465,585.0,584.6,686.2977777777778,37.82974358974359,2058.8933333333334,113.48923076923077
qwen,A_E,5,385380.0,22208.0,407588.0,0.0544863931224668,585.0,585.0,658.7692307692307,37.96239316239316,1976.3076923076924,113.88717948717948
qwen,A_H,5,98185.0,14175.2,112360.2,0.12615855080357635,195.0,194.6,503.5128205128205,72.69333333333334,503.5128205128205,72.69333333333334
