model,decision_type,n_runs,n,n_scored_mean,ah_tau,ah_top1,ah_mae,FD_tau_same,gain_tau_vs_FD,gain_tau_vs_FD_runmin,gain_tau_vs_FD_runmax,gain_top1_vs_FD,gain_mae_vs_FD,DM_tau_same,gain_tau_vs_DM,gain_tau_vs_DM_runmin,gain_tau_vs_DM_runmax,gain_top1_vs_DM,gain_mae_vs_DM,FD+time_tau_same,gain_tau_vs_FD+time,gain_tau_vs_FD+time_runmin,gain_tau_vs_FD+time_runmax,gain_top1_vs_FD+time,gain_mae_vs_FD+time,LU_tau_same,gain_tau_vs_LU,gain_tau_vs_LU_runmin,gain_tau_vs_LU_runmax,gain_top1_vs_LU,gain_mae_vs_LU,LU-literal_tau_same,gain_tau_vs_LU-literal,gain_tau_vs_LU-literal_runmin,gain_tau_vs_LU-literal_runmax,gain_top1_vs_LU-literal,gain_mae_vs_LU-literal,LU-corpus_tau_same,gain_tau_vs_LU-corpus,gain_tau_vs_LU-corpus_runmin,gain_tau_vs_LU-corpus_runmax,gain_top1_vs_LU-corpus,gain_mae_vs_LU-corpus
deepseek,Overall,5,195,194.8,0.897323112168473,0.9075865715040973,0.04481948189267776,0.6132769406996211,0.28404617146885186,0.27835051546391754,0.29059829059829045,0.205329103885805,-0.05259340029958587,0.6406555643669045,0.2566675478015684,0.25085910652920973,0.2632478632478631,0.13859370869680146,-0.0775754824213587,0.9007524892060976,-0.0034293770376245813,-0.010309278350515538,0.0034188034188031846,-0.030811525244514915,-0.017677099303903432,0.9247087849149705,-0.027385672746497523,-0.03436426116838487,-0.020512820512820662,-0.03594501718213054,0.005045422504185382,0.9212864569565602,-0.023963344788087104,-0.030927835051546393,-0.017094017094017255,-0.030811525244514915,0.0002532337650894251,0.9383980967486123,-0.04107498458013921,-0.04810996563573877,-0.03418803418803429,-0.046212001057361916,0.019426372367609475
deepseek,HVAC,5,70,69.8,0.9197515527950311,0.9197515527950311,0.04471890959282263,0.9331400966183574,-0.013388543823326415,-0.02857142857142858,0.0,-0.037267080745341644,-0.026021601104209806,0.9331400966183574,-0.013388543823326415,-0.02857142857142858,0.0,-0.037267080745341644,-0.025421808143547275,0.9331400966183574,-0.013388543823326415,-0.02857142857142858,0.0,-0.037267080745341644,-0.026021601104209806,0.9713457556935818,-0.05159420289855079,-0.06666666666666676,-0.03809523809523818,-0.0515942028985507,0.015713112491373353,0.9617943409247758,-0.04204278812974464,-0.05714285714285716,-0.02857142857142858,-0.037267080745341644,0.002338164251207733,0.9617943409247758,-0.04204278812974464,-0.05714285714285716,-0.02857142857142858,-0.037267080745341644,0.01891062801932367
deepseek,Appliance,5,65,65.0,0.9753846153846155,0.9846153846153847,0.04037435897435897,0.09743589743589745,0.877948717948718,0.8615384615384616,0.8820512820512821,0.6923076923076923,-0.1208692307692308,0.17948717948717952,0.7958974358974359,0.7794871794871795,0.8,0.49230769230769234,-0.1963820512820513,0.9589743589743589,0.016410256410256552,1.1102230246251565e-16,0.020512820512820662,-0.01538461538461533,-0.01622820512820513,0.9589743589743589,0.016410256410256552,1.1102230246251565e-16,0.020512820512820662,-0.01538461538461533,-0.01622820512820513,0.9589743589743589,0.016410256410256552,1.1102230246251565e-16,0.020512820512820662,-0.01538461538461533,-0.01622820512820513,0.9692307692307691,0.006153846153846221,-0.01025641025641022,0.010256410256410331,0.0,0.011758974358974352
deepseek,Shower,5,60,60.0,0.7866666666666665,0.8099999999999999,0.049744444444444445,0.8000000000000002,-0.013333333333333553,-0.03333333333333366,0.01111111111111085,-0.039999999999999966,-0.009547222222222205,0.8000000000000002,-0.013333333333333553,-0.03333333333333366,0.01111111111111085,-0.039999999999999966,-0.009547222222222205,0.8000000000000002,-0.013333333333333553,-0.03333333333333366,0.01111111111111085,-0.039999999999999966,-0.009547222222222205,0.8333333333333334,-0.046666666666666766,-0.06666666666666687,-0.022222222222222365,-0.039999999999999966,0.015674999999999994,0.8333333333333334,-0.046666666666666766,-0.06666666666666687,-0.022222222222222365,-0.039999999999999966,0.015674999999999994,0.8777777777777779,-0.09111111111111128,-0.11111111111111138,-0.06666666666666687,-0.10666666666666662,0.028327777777777778
gemini,Overall,5,195,195.0,0.9234188034188033,0.9312820512820513,0.047682905982905976,0.6136752136752137,0.3097435897435896,0.3076923076923076,0.311111111111111,0.2287179487179488,-0.049693162393162404,0.6410256410256411,0.28239316239316226,0.28034188034188023,0.28376068376068364,0.16205128205128203,-0.07466324786324785,0.900854700854701,0.02256410256410237,0.02051282051282033,0.023931623931623736,-0.007179487179487154,-0.014812820512820513,0.9247863247863248,-0.0013675213675214738,-0.0034188034188035177,-1.1102230246251565e-16,-0.012307692307692264,0.007892307692307685,0.9213675213675214,0.002051282051281933,-1.1102230246251565e-16,0.0034188034188032956,-0.007179487179487154,0.003123076923076916,0.9384615384615385,-0.0150427350427351,-0.017094017094017144,-0.013675213675213738,-0.022564102564102594,0.022178632478632474
gemini,HVAC,5,70,70.0,0.9771428571428571,0.9657142857142856,0.029542857142857138,0.9333333333333332,0.04380952380952381,0.03809523809523818,0.04761904761904756,0.00857142857142854,-0.041171428571428574,0.9333333333333332,0.04380952380952381,0.03809523809523818,0.04761904761904756,0.00857142857142854,-0.04061190476190476,0.9333333333333332,0.04380952380952381,0.03809523809523818,0.04761904761904756,0.00857142857142854,-0.041171428571428574,0.9714285714285713,0.0057142857142856275,0.0,0.009523809523809379,-0.005714285714285694,0.00045952380952380274,0.9619047619047618,0.015238095238095228,0.009523809523809601,0.01904761904761898,0.00857142857142854,-0.012826190476190472,0.9619047619047618,0.015238095238095228,0.009523809523809601,0.01904761904761898,0.00857142857142854,0.003423809523809521
gemini,Appliance,5,65,65.0,0.9589743589743589,0.9692307692307691,0.06653333333333335,0.09743589743589745,0.8615384615384617,0.8615384615384616,0.8615384615384616,0.676923076923077,-0.09471025641025642,0.17948717948717952,0.7794871794871795,0.7794871794871795,0.7794871794871795,0.4769230769230769,-0.17022307692307695,0.9589743589743589,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,-0.03076923076923077,0.00993076923076924,0.9589743589743589,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,-0.03076923076923077,0.00993076923076924,0.9589743589743589,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,-0.03076923076923077,0.00993076923076924,0.9692307692307691,-0.01025641025641022,-0.01025641025641022,-0.01025641025641022,-0.015384615384615441,0.03791794871794872
gemini,Shower,5,60,60.0,0.8222222222222222,0.85,0.048424999999999996,0.8000000000000002,0.022222222222222032,0.022222222222222032,0.022222222222222032,0.0,-0.010866666666666653,0.8000000000000002,0.022222222222222032,0.022222222222222032,0.022222222222222032,0.0,-0.010866666666666653,0.8000000000000002,0.022222222222222032,0.022222222222222032,0.022222222222222032,0.0,-0.010866666666666653,0.8333333333333334,-0.011111111111111183,-0.011111111111111183,-0.011111111111111183,0.0,0.014355555555555548,0.8333333333333334,-0.011111111111111183,-0.011111111111111183,-0.011111111111111183,0.0,0.014355555555555548,0.8777777777777779,-0.05555555555555569,-0.05555555555555569,-0.05555555555555569,-0.06666666666666665,0.027008333333333336
gptoss,Overall,5,195,171.6,0.8974193730542617,0.917283010327167,0.051861281462595235,0.5686836052247193,0.3287357678295423,0.31417624521072796,0.339250493096647,0.25184266630545304,-0.04846969920199596,0.5974348572320175,0.299984515822244,0.28735632183908044,0.30980392156862746,0.17607014403394494,-0.07687773415398942,0.8950883165481388,0.002331056506122775,-0.007843137254901933,0.011428571428571122,-0.016275489424498614,-0.008825126972505664,0.9176188872066545,-0.02019951415239296,-0.027450980392156876,-0.0117647058823529,-0.019751203807374808,0.010840382701676192,0.9137331168337566,-0.016313743779495127,-0.02352941176470591,-0.007843137254902044,-0.013922548248028032,0.00731565575805238,0.9347305961492263,-0.03731122309496475,-0.04705882352941182,-0.030476190476190657,-0.037270783930793284,0.026775537243394938
gptoss,HVAC,5,70,46.6,0.9428530199958771,0.9398771387342816,0.05115004294647152,0.9283215831787259,0.014531436817151055,-0.013605442176870763,0.02962962962962956,-0.008545454545454545,-0.01704849481206624,0.919674568817426,0.023178451178451142,0.0,0.04444444444444429,-0.008545454545454545,-0.01631729952587096,0.9283215831787259,0.014531436817151055,-0.013605442176870763,0.02962962962962956,-0.008545454545454545,-0.01704849481206624,0.968403490689205,-0.02555047069332781,-0.0454545454545453,0.0,-0.02117254174397034,0.02290836322407751,0.9540595066309352,-0.011206486635058122,-0.030303030303030276,0.014814814814814725,0.00034343434343435674,0.009959658146086717,0.9599854325568611,-0.017132412560983988,-0.030303030303030276,0.0,-0.021616986188414768,0.026249831993403423
