baseline,scenario_id,decision_type,p_r_value,p_seer,p_hvac_age,p_occupancy_context,p_appliance,p_kwh_per_cycle,p_baseline_time,p_gpm,p_tank_size,p_water_heater_temp
FD,1,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,2,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,3,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,4,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,5,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,6,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,7,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,8,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,9,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,10,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,11,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,12,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,13,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,14,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,15,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,16,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,17,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,18,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,19,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,20,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,21,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,22,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,23,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,24,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,25,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,26,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,27,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,28,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,29,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,30,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,31,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,32,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,33,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,34,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,35,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,36,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,37,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,38,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,39,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,40,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,41,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,42,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,43,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,44,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,45,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,46,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,47,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,48,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,49,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,50,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,51,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,52,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
