baseline,decision_type,tau,top1,mae,n
DM,Overall,0.6410256410256411,0.7692307692307693,0.12234615384615384,195
DM,HVAC,0.9333333333333332,0.9571428571428572,0.0701547619047619,70
DM,Appliance,0.17948717948717952,0.49230769230769234,0.23675641025641028,65
DM,Shower,0.8000000000000002,0.85,0.05929166666666665,60
FD,Overall,0.6136752136752137,0.7025641025641025,0.09737606837606838,195
FD,HVAC,0.9333333333333332,0.9571428571428572,0.07071428571428572,70
FD,Appliance,0.09743589743589745,0.2923076923076923,0.16124358974358977,65
FD,Shower,0.8000000000000002,0.85,0.05929166666666665,60
FD+gpm_mid,Overall,0.6239316239316239,0.7025641025641025,0.08961538461538462,195
FD+gpm_mid,HVAC,0.9333333333333332,0.9571428571428572,0.07071428571428572,70
FD+gpm_mid,Appliance,0.09743589743589745,0.2923076923076923,0.16124358974358977,65
FD+gpm_mid,Shower,0.8333333333333334,0.85,0.03406944444444445,60
FD+house_age_rule,Overall,0.6,0.6820512820512821,0.09332478632478632,195
FD+house_age_rule,HVAC,0.895238095238095,0.9,0.05942857142857143,70
FD+house_age_rule,Appliance,0.09743589743589745,0.2923076923076923,0.16124358974358977,65
FD+house_age_rule,Shower,0.8000000000000002,0.85,0.05929166666666665,60
FD+occupancy_parse,Overall,0.6273504273504273,0.7076923076923077,0.09476068376068375,195
FD+occupancy_parse,HVAC,0.9714285714285714,0.9714285714285714,0.06342857142857142,70
FD+occupancy_parse,Appliance,0.09743589743589745,0.2923076923076923,0.16124358974358977,65
FD+occupancy_parse,Shower,0.8000000000000002,0.85,0.05929166666666665,60
FD+r_mid,Overall,0.6239316239316239,0.6974358974358974,0.08964957264957264,195
FD+r_mid,HVAC,0.9619047619047618,0.9428571428571428,0.049190476190476194,70
FD+r_mid,Appliance,0.09743589743589745,0.2923076923076923,0.16124358974358977,65
FD+r_mid,Shower,0.8000000000000002,0.85,0.05929166666666665,60
FD+time,Overall,0.900854700854701,0.9384615384615385,0.06249572649572649,195
FD+time,HVAC,0.9333333333333332,0.9571428571428572,0.07071428571428572,70
FD+time,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
FD+time,Shower,0.8000000000000002,0.85,0.05929166666666665,60
FD+time_parse,Overall,0.900854700854701,0.9384615384615385,0.06249572649572649,195
FD+time_parse,HVAC,0.9333333333333332,0.9571428571428572,0.07071428571428572,70
FD+time_parse,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
FD+time_parse,Shower,0.8000000000000002,0.85,0.05929166666666665,60
LU,Overall,0.9247863247863248,0.9435897435897436,0.03979059829059829,195
LU,HVAC,0.9714285714285714,0.9714285714285714,0.029083333333333336,70
LU,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU,Shower,0.8333333333333334,0.85,0.03406944444444445,60
LU-corpus,Overall,0.9384615384615385,0.9538461538461539,0.025504273504273502,195
LU-corpus,HVAC,0.9619047619047618,0.9571428571428572,0.026119047619047618,70
LU-corpus,Appliance,0.9692307692307692,0.9846153846153847,0.02861538461538462,65
LU-corpus,Shower,0.8777777777777779,0.9166666666666666,0.021416666666666664,60
LU-gpm_mid,Overall,0.9145299145299144,0.9435897435897436,0.04755128205128205,195
LU-gpm_mid,HVAC,0.9714285714285714,0.9714285714285714,0.029083333333333336,70
LU-gpm_mid,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU-gpm_mid,Shower,0.8000000000000002,0.85,0.05929166666666665,60
LU-house_age_rule,Overall,0.9247863247863248,0.9384615384615385,0.044085470085470084,195
LU-house_age_rule,HVAC,0.9714285714285714,0.9571428571428572,0.04104761904761905,70
LU-house_age_rule,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU-house_age_rule,Shower,0.8333333333333334,0.85,0.03406944444444445,60
LU-literal,Overall,0.9213675213675214,0.9384615384615385,0.04455982905982906,195
LU-literal,HVAC,0.9619047619047618,0.9571428571428572,0.04236904761904761,70
LU-literal,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU-literal,Shower,0.8333333333333334,0.85,0.03406944444444445,60
LU-occupancy_parse,Overall,0.9213675213675214,0.9384615384615385,0.04455982905982906,195
LU-occupancy_parse,HVAC,0.9619047619047618,0.9571428571428572,0.04236904761904761,70
LU-occupancy_parse,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU-occupancy_parse,Shower,0.8333333333333334,0.85,0.03406944444444445,60
LU-r_mid,Overall,0.9111111111111112,0.9282051282051282,0.04637606837606838,195
LU-r_mid,HVAC,0.9333333333333332,0.9285714285714286,0.04742857142857144,70
LU-r_mid,Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU-r_mid,Shower,0.8333333333333334,0.85,0.03406944444444445,60
