model,baseline,scope,metric,n_scenarios,mean_gain_ah_minus_baseline,ci95_lo,ci95_hi
deepseek,LU,Overall,kendall_tau,195,-0.027350427350427337,-0.05675213675213674,1.5386552431022798e-17
deepseek,LU,Overall,top1,195,-0.035897435897435895,-0.05948717948717949,-0.015384615384615385
deepseek,LU,HVAC,kendall_tau,70,-0.051428571428571414,-0.10861904761904759,-0.00952380952380951
deepseek,LU,HVAC,top1,70,-0.05142857142857142,-0.1,-0.011428571428571429
deepseek,LU,Appliance,kendall_tau,65,0.016410256410256424,-0.03282051282051281,0.0676923076923077
deepseek,LU,Appliance,top1,65,-0.015384615384615385,-0.046153846153846156,0.0
deepseek,LU,Shower,kendall_tau,60,-0.04666666666666664,-0.09111111111111109,-0.011111111111111084
deepseek,LU,Shower,top1,60,-0.04,-0.08000000000000002,-0.006666666666666665
deepseek,FD+time,Overall,kendall_tau,195,-0.003418803418803397,-0.05401709401709401,0.04649572649572652
deepseek,FD+time,Overall,top1,195,-0.03076923076923077,-0.0758974358974359,0.015384615384615385
deepseek,FD+time,HVAC,kendall_tau,70,-0.013333333333333315,-0.08571428571428569,0.053333333333333344
deepseek,FD+time,HVAC,top1,70,-0.037142857142857144,-0.10285714285714284,0.025714285714285717
deepseek,FD+time,Appliance,kendall_tau,65,0.016410256410256424,-0.03282051282051281,0.06769230769230772
deepseek,FD+time,Appliance,top1,65,-0.015384615384615385,-0.046153846153846156,0.0
deepseek,FD+time,Shower,kendall_tau,60,-0.013333333333333301,-0.14222222222222222,0.11777777777777781
deepseek,FD+time,Shower,top1,60,-0.04,-0.16666666666666666,0.08666666666666667
deepseek,LU-corpus,Overall,kendall_tau,195,-0.04102564102564101,-0.08888888888888886,0.0061538461538461755
deepseek,LU-corpus,Overall,top1,195,-0.046153846153846156,-0.08615384615384616,-0.007179487179487179
deepseek,LU-corpus,HVAC,kendall_tau,70,-0.04190476190476189,-0.10666666666666666,0.011428571428571437
deepseek,LU-corpus,HVAC,top1,70,-0.037142857142857144,-0.08857142857142856,0.011428571428571432
