model,decision_type,param,err_llm,err_lu,err_fd,err_corpus
deepseek,Appliance,kwh_per_cycle,0.3625846153846154,0.4963076923076922,0.4963076923076922,0.24446153846153845
deepseek,HVAC,hvac_age,8.350848861283643,5.099296066252588,9.977556935817805,5.106501035196688
deepseek,HVAC,r_value,3.216314699792961,0.9913871635610766,4.209275362318841,0.954120082815735
deepseek,HVAC,seer,1.6505175983436853,2.260786749482402,2.234865424430642,1.4354451345755694
deepseek,Shower,gpm,0.36966666666666664,0.2166666666666667,0.4833333333333333,0.11666666666666667
deepseek,Shower,tank_size,7.2,8.5,8.5,5.416666666666667
deepseek,Shower,water_heater_temp,8.85,4.583333333333333,4.583333333333333,4.583333333333333
gemini,Appliance,kwh_per_cycle,0.548,0.4963076923076922,0.4963076923076922,0.24446153846153845
gemini,HVAC,hvac_age,7.794285714285715,5.185714285714286,10.185714285714285,5.314285714285714
gemini,HVAC,r_value,1.8057142857142856,0.9928571428571429,4.2,0.9571428571428571
gemini,HVAC,seer,1.3757142857142857,2.257142857142857,2.242857142857143,1.4428571428571428
gemini,Shower,gpm,0.36666666666666664,0.2166666666666667,0.4833333333333333,0.11666666666666667
gemini,Shower,tank_size,6.7333333333333325,8.5,8.5,5.416666666666667
gemini,Shower,water_heater_temp,4.583333333333333,4.583333333333333,4.583333333333333,4.583333333333333
gptoss,Appliance,kwh_per_cycle,0.4533846153846154,0.4963076923076922,0.4963076923076922,0.24446153846153845
gptoss,HVAC,hvac_age,9.339360956503814,5.4724091939806225,10.190759843331273,5.659264069264069
gptoss,HVAC,r_value,4.411421150278293,1.014816120387549,4.379734900020614,0.989009276437848
gptoss,HVAC,seer,2.2083632240775097,2.3084543393114823,2.2425269016697587,1.4757522160379302
gptoss,Shower,gpm,0.449,0.2166666666666667,0.4833333333333333,0.11666666666666667
gptoss,Shower,tank_size,8.633333333333333,8.5,8.5,5.416666666666667
gptoss,Shower,water_heater_temp,4.816666666666666,4.583333333333333,4.583333333333333,4.583333333333333
qwen,Appliance,kwh_per_cycle,0.9983076923076923,0.4963076923076922,0.4963076923076922,0.24446153846153845
qwen,HVAC,hvac_age,6.41287784679089,5.170848861283644,10.178095238095237,5.278426501035197
qwen,HVAC,r_value,4.4628778467908905,0.9986128364389234,4.19536231884058,0.9568944099378882
qwen,HVAC,seer,1.6263768115942028,2.267329192546584,2.2413664596273293,1.4367287784679088
qwen,Shower,gpm,0.3046666666666667,0.2166666666666667,0.4833333333333333,0.11666666666666667
qwen,Shower,tank_size,8.933333333333334,8.5,8.5,5.416666666666667
qwen,Shower,water_heater_temp,4.583333333333333,4.583333333333333,4.583333333333333,4.583333333333333
