model,run,scenario_id,decision_type,param,true,llm,lu,fd,corpus,llm_match,lu_match,fd_match
deepseek,01,1,HVAC,r_value,22.0,13.0,21.5,15.0,22.0,,,
deepseek,01,1,HVAC,seer,13.0,13.0,10.0,13.0,13.0,,,
deepseek,01,1,HVAC,hvac_age,20.0,12.0,25.5,13.0,21.0,,,
deepseek,01,1,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,2,HVAC,r_value,23.0,13.0,21.5,15.0,22.0,,,
deepseek,01,2,HVAC,seer,13.0,10.0,10.0,13.0,13.0,,,
deepseek,01,2,HVAC,hvac_age,20.0,15.0,25.5,13.0,21.0,,,
deepseek,01,2,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,3,HVAC,r_value,14.0,13.0,15.5,15.0,16.0,,,
deepseek,01,3,HVAC,seer,11.0,10.0,9.0,13.0,13.0,,,
deepseek,01,3,HVAC,hvac_age,30.0,15.0,35.5,13.0,26.0,,,
deepseek,01,3,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,4,HVAC,r_value,15.0,13.0,15.5,15.0,16.0,,,
deepseek,01,4,HVAC,seer,11.0,10.0,9.0,13.0,13.0,,,
deepseek,01,4,HVAC,hvac_age,30.0,15.0,35.5,13.0,26.0,,,
deepseek,01,4,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,5,HVAC,r_value,22.0,15.0,21.5,15.0,22.0,,,
deepseek,01,5,HVAC,seer,10.0,10.0,9.0,13.0,13.0,,,
deepseek,01,5,HVAC,hvac_age,35.0,15.0,45.5,13.0,16.0,,,
deepseek,01,5,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,6,HVAC,r_value,10.0,8.0,10.0,15.0,9.0,,,
deepseek,01,6,HVAC,seer,9.0,10.0,9.0,13.0,13.0,,,
deepseek,01,6,HVAC,hvac_age,40.0,15.0,45.5,13.0,16.0,,,
deepseek,01,6,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,7,HVAC,r_value,8.0,13.0,10.0,15.0,9.0,,,
deepseek,01,7,HVAC,seer,9.0,10.0,9.0,13.0,13.0,,,
deepseek,01,7,HVAC,hvac_age,40.0,14.0,45.5,13.0,16.0,,,
deepseek,01,7,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,8,HVAC,r_value,21.0,15.0,21.5,15.0,22.0,,,
deepseek,01,8,HVAC,seer,13.0,13.0,10.0,13.0,13.0,,,
deepseek,01,8,HVAC,hvac_age,23.0,12.0,25.5,13.0,21.0,,,
deepseek,01,8,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,9,HVAC,r_value,22.0,18.0,21.5,15.0,22.0,,,
deepseek,01,9,HVAC,seer,13.0,13.0,10.0,13.0,13.0,,,
deepseek,01,9,HVAC,hvac_age,23.0,15.0,25.5,13.0,21.0,,,
deepseek,01,9,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,10,HVAC,r_value,23.0,19.0,21.5,15.0,22.0,,,
deepseek,01,10,HVAC,seer,16.0,13.0,13.0,13.0,14.0,,,
deepseek,01,10,HVAC,hvac_age,12.0,10.0,18.0,13.0,15.0,,,
deepseek,01,10,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,11,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,11,HVAC,seer,16.0,16.0,14.0,13.0,16.0,,,
deepseek,01,11,HVAC,hvac_age,5.0,3.0,3.0,13.0,5.0,,,
deepseek,01,11,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,12,HVAC,r_value,17.0,19.0,15.5,15.0,16.0,,,
deepseek,01,12,HVAC,seer,16.0,16.0,14.0,13.0,16.0,,,
deepseek,01,12,HVAC,hvac_age,5.0,3.0,3.0,13.0,5.0,,,
deepseek,01,12,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,13,HVAC,r_value,11.0,13.0,10.0,15.0,9.0,,,
deepseek,01,13,HVAC,seer,18.0,14.0,14.0,13.0,16.0,,,
deepseek,01,13,HVAC,hvac_age,1.0,3.0,3.0,13.0,5.0,,,
deepseek,01,13,HVAC,occupancy_context,,,,,,False,False,False
deepseek,01,14,HVAC,r_value,23.0,18.0,21.5,15.0,22.0,,,
deepseek,01,14,HVAC,seer,18.0,16.0,14.0,13.0,16.0,,,
deepseek,01,14,HVAC,hvac_age,2.0,3.0,3.0,13.0,5.0,,,
