model,decision_type,param,gain_llm_param_into_lu,loss_lu_param_into_llm,top1_gain_llm_param_into_lu
deepseek,Appliance,appliance,0.0,0.0,0.0
deepseek,Appliance,baseline_time,0.0,0.0,0.0
deepseek,Appliance,kwh_per_cycle,0.01641025641025641,0.01641025641025641,-0.015384615384615385
deepseek,HVAC,hvac_age,0.0,0.009551414768806072,0.0
deepseek,HVAC,occupancy_context,0.0,-0.001932367149758454,0.0
deepseek,HVAC,r_value,-0.05537612146307798,-0.05349896480331262,-0.04865424430641822
deepseek,HVAC,seer,0.0,0.013305728088336785,-0.008612836438923395
deepseek,Shower,gpm,-0.03555555555555555,-0.02,-0.026666666666666665
deepseek,Shower,tank_size,-0.02222222222222222,-0.006666666666666665,-0.01
deepseek,Shower,water_heater_temp,-0.004444444444444444,0.004444444444444444,-0.006666666666666666
gemini,Appliance,appliance,0.0,0.0,0.0
gemini,Appliance,baseline_time,0.0,0.0,0.0
gemini,Appliance,kwh_per_cycle,0.0,0.0,-0.03076923076923077
gemini,HVAC,hvac_age,0.0,0.0,0.0
gemini,HVAC,occupancy_context,0.0,-0.003809523809523809,0.0
gemini,HVAC,r_value,0.0,0.02095238095238095,0.0
gemini,HVAC,seer,-0.005714285714285713,0.005714285714285713,-0.008571428571428572
gemini,Shower,gpm,0.0,0.0,0.0
gemini,Shower,tank_size,-0.01111111111111111,-0.01111111111111111,0.0
gemini,Shower,water_heater_temp,0.0,0.0,0.0
gptoss,Appliance,appliance,0.0,0.0,0.0
gptoss,Appliance,baseline_time,0.0,0.0,0.0
gptoss,Appliance,kwh_per_cycle,0.008205128205128205,0.008205128205128205,-0.012307692307692308
gptoss,HVAC,hvac_age,0.0,0.0,0.0
gptoss,HVAC,occupancy_context,0.0056296296296296285,-0.00303030303030303,0.0
gptoss,HVAC,r_value,-0.022465745894317324,-0.01675585789871504,-0.0036565656565656574
gptoss,HVAC,seer,-0.0057643097643097635,-0.006047687761973475,-0.0035555555555555557
gptoss,Shower,gpm,-0.048888888888888885,-0.04,-0.03
gptoss,Shower,tank_size,-0.006666666666666666,0.002222222222222222,-0.003333333333333333
gptoss,Shower,water_heater_temp,0.0,0.0,0.0
qwen,Appliance,appliance,0.0,0.0,0.0
qwen,Appliance,baseline_time,0.0,0.0,0.0
qwen,Appliance,kwh_per_cycle,-0.053333333333333344,-0.053333333333333344,-0.07076923076923078
qwen,HVAC,hvac_age,0.0,0.0,0.0
qwen,HVAC,occupancy_context,-0.007646652864044168,-0.011483781918564525,-0.011469979296066251
qwen,HVAC,r_value,-0.12052449965493443,-0.08806073153899241,-0.10045548654244307
qwen,HVAC,seer,0.0057418909592822625,0.04587991718426501,0.0
qwen,Shower,gpm,0.008888888888888887,0.05111111111111111,0.04
qwen,Shower,tank_size,-0.03333333333333333,0.008888888888888889,-0.016666666666666666
qwen,Shower,water_heater_temp,0.0,0.0,0.0
