model,decision_type,reference,ah_gain_over_ref,lu_gain_over_ref,share_reproduced_by_LU,corpus_gain_over_ref
deepseek,Overall,FD,0.28404617146885186,0.3114318442153494,1.0964127508034398,0.32512115604899117
deepseek,Overall,DM,0.2566675478015684,0.28405322054806603,1.1066970599947823,0.2977425323817078
deepseek,HVAC,FD,-0.013388543823326415,0.03820565907522444,,0.028654244306418386
deepseek,HVAC,DM,-0.013388543823326415,0.03820565907522444,,0.028654244306418386
deepseek,Appliance,FD,0.877948717948718,0.8615384615384615,0.9813084112149532,0.8717948717948717
deepseek,Appliance,DM,0.7958974358974359,0.7794871794871794,0.9793814432989689,0.7897435897435896
deepseek,Shower,FD,-0.013333333333333553,0.033333333333333215,,0.07777777777777772
deepseek,Shower,DM,-0.013333333333333553,0.033333333333333215,,0.07777777777777772
gemini,Overall,FD,0.3097435897435896,0.3111111111111111,1.004415011037528,0.32478632478632474
gemini,Overall,DM,0.28239316239316226,0.28376068376068375,1.004842615012107,0.2974358974358974
gemini,HVAC,FD,0.04380952380952381,0.03809523809523807,0.8695652173913038,0.02857142857142858
gemini,HVAC,DM,0.04380952380952381,0.03809523809523807,0.8695652173913038,0.02857142857142858
gemini,Appliance,FD,0.8615384615384617,0.8615384615384615,0.9999999999999998,0.8717948717948717
gemini,Appliance,DM,0.7794871794871795,0.7794871794871794,0.9999999999999999,0.7897435897435896
gemini,Shower,FD,0.022222222222222032,0.033333333333333215,1.5000000000000075,0.07777777777777772
gemini,Shower,DM,0.022222222222222032,0.033333333333333215,1.5000000000000075,0.07777777777777772
gptoss,Overall,FD,0.3287357678295423,0.34893528198193524,1.0614460491651365,0.366046990924507
gptoss,Overall,DM,0.299984515822244,0.320184029974637,1.0673351892747767,0.33729573891720876
gptoss,HVAC,FD,0.014531436817151055,0.04008190751047902,,0.031663849378135156
gptoss,HVAC,DM,0.023178451178451142,0.04872892187177891,2.102337274247292,0.04031086373943504
gptoss,Appliance,FD,0.8697435897435899,0.8615384615384615,0.9905660377358488,0.8717948717948717
gptoss,Appliance,DM,0.7876923076923077,0.7794871794871794,0.9895833333333331,0.7897435897435896
gptoss,Shower,FD,-0.013333333333333485,0.033333333333333215,,0.07777777777777772
gptoss,Shower,DM,-0.013333333333333485,0.033333333333333215,,0.07777777777777772
qwen,Overall,FD,0.2665468323200281,0.31106529209622,1.1670192790839136,0.3254559873116575
qwen,Overall,DM,0.2391400123358886,0.2836584721120805,1.1861606484893155,0.29804916732751796
qwen,HVAC,FD,-0.053581780538302246,0.03638371290545206,-0.6790314270994341,0.028737060041407858
qwen,HVAC,DM,-0.053581780538302246,0.03638371290545206,-0.6790314270994341,0.028737060041407858
qwen,Appliance,FD,0.8082051282051281,0.8615384615384615,1.0659898477157361,0.8717948717948717
qwen,Appliance,DM,0.7261538461538463,0.7794871794871794,1.0734463276836155,0.7897435897435896
qwen,Shower,FD,0.051111111111110996,0.033333333333333215,0.6521739130434774,0.07777777777777772
qwen,Shower,DM,0.051111111111110996,0.033333333333333215,0.6521739130434774,0.07777777777777772
