model,comparison,scope,metric,mean_ah,mean_base,mean_diff,n_pairs,n_nonzero_diff,n_ah_better,n_base_better,p_value,cliff_delta_ah_minus_base,cliff_interp,statistic,p_holm,family,significant_holm
deepseek,AH vs LU,Overall,kendall_tau,0.8974358974358975,0.9247863247863248,-0.027350427350427343,195,34,10,24,0.05602979992029207,-0.08507560815253123,negligible,283.5,0.44823839936233656,overall12,False
deepseek,AH vs LU,Overall,top1,0.9076923076923077,0.9435897435897436,-0.035897435897435895,195,19,3,16,0.004028966552864806,-0.07713346482577252,negligible,24.0,0.04028966552864806,overall12,True
deepseek,AH vs LU,Overall,mae,0.04488888888888888,0.03979059829059829,0.005098290598290599,195,187,84,103,0.028391784605508757,0.1327810650887574,negligible,7245.5,0.2555260614495788,overall12,False
deepseek,AH vs LU,HVAC,kendall_tau,0.92,0.9714285714285714,-0.05142857142857142,70,12,2,10,0.04174755066511408,-0.13612244897959183,negligible,16.5,1.0,bytype36,False
deepseek,AH vs LU,HVAC,top1,0.92,0.9714285714285714,-0.05142857142857142,70,9,1,8,0.03630275028001677,-0.1110204081632653,negligible,5.0,0.943871507280436,bytype36,False
deepseek,AH vs LU,HVAC,mae,0.04491904761904762,0.029083333333333336,0.015835714285714286,70,70,31,39,0.01491162198520464,0.2410204081632653,small,826.5,0.43243703757093455,bytype36,False
deepseek,AH vs LU,Appliance,kendall_tau,0.9753846153846155,0.9589743589743589,0.016410256410256417,65,8,4,4,0.25550882029402844,0.00378698224852071,negligible,10.0,1.0,bytype36,False
deepseek,AH vs LU,Appliance,top1,0.9846153846153847,1.0,-0.015384615384615385,65,1,0,1,0.31731050786291415,-0.015384615384615385,negligible,0.0,1.0,bytype36,False
deepseek,AH vs LU,Appliance,mae,0.040374358974358975,0.0566025641025641,-0.01622820512820513,65,63,36,27,0.09454689825052706,-0.09041420118343195,negligible,790.0,1.0,bytype36,False
deepseek,AH vs LU,Shower,kendall_tau,0.7866666666666666,0.8333333333333334,-0.04666666666666664,60,14,4,10,0.06052326045876969,-0.11444444444444445,negligible,55.0,1.0,bytype36,False
deepseek,AH vs LU,Shower,top1,0.8099999999999999,0.85,-0.04,60,9,2,7,0.06346475448056278,-0.09416666666666666,negligible,7.0,1.0,bytype36,False
deepseek,AH vs LU,Shower,mae,0.049744444444444445,0.03406944444444445,0.015674999999999998,60,54,17,37,0.0004961075167540357,0.2702777777777778,small,338.0,0.016371548052883177,bytype36,True
deepseek,AH vs LU-corpus,Overall,kendall_tau,0.8974358974358975,0.9384615384615385,-0.04102564102564102,195,41,10,31,0.08699292712091743,-0.11379355687047994,negligible,331.5,0.26097878136275227,overall12,False
deepseek,AH vs LU-corpus,Overall,top1,0.9076923076923077,0.9538461538461539,-0.046153846153846156,195,28,6,22,0.037451901394518546,-0.08828402366863905,negligible,112.5,0.18725950697259272,overall12,False
deepseek,AH vs LU-corpus,Overall,mae,0.04488888888888888,0.025504273504273502,0.019384615384615382,195,188,44,144,9.056814506200125e-13,0.40988823142669295,medium,3650.0,9.056814506200124e-12,overall12,True
deepseek,AH vs LU-corpus,HVAC,kendall_tau,0.92,0.9619047619047618,-0.041904761904761896,70,13,2,11,0.0875036957561713,-0.11959183673469388,negligible,30.0,1.0,bytype36,False
deepseek,AH vs LU-corpus,HVAC,top1,0.92,0.9571428571428572,-0.037142857142857144,70,9,1,8,0.10537146470912194,-0.09510204081632653,negligible,9.0,1.0,bytype36,False
deepseek,AH vs LU-corpus,HVAC,mae,0.04491904761904762,0.026119047619047618,0.0188,70,67,16,51,5.5985444488584045e-06,0.3946938775510204,medium,448.0,0.00017355487791461053,bytype36,True
deepseek,AH vs LU-corpus,Appliance,kendall_tau,0.9753846153846155,0.9692307692307692,0.006153846153846161,65,7,3,4,0.49429971401302697,-0.012544378698224851,negligible,10.0,1.0,bytype36,False
deepseek,AH vs LU-corpus,Appliance,top1,0.9846153846153847,0.9846153846153847,0.0,65,2,1,1,1.0,0.0,negligible,1.5,1.0,bytype36,False
deepseek,AH vs LU-corpus,Appliance,mae,0.040374358974358975,0.02861538461538462,0.011758974358974354,65,65,19,46,0.001149470533818193,0.3434319526627219,medium,575.0,0.02988623387927302,bytype36,True
deepseek,AH vs LU-corpus,Shower,kendall_tau,0.7866666666666666,0.8777777777777779,-0.0911111111111111,60,21,5,16,0.11308752733217035,-0.21,small,70.0,1.0,bytype36,False
deepseek,AH vs LU-corpus,Shower,top1,0.8099999999999999,0.9166666666666666,-0.10666666666666667,60,17,4,13,0.057952021838815315,-0.17083333333333334,small,37.0,1.0,bytype36,False
deepseek,AH vs LU-corpus,Shower,mae,0.049744444444444445,0.021416666666666664,0.02832777777777777,60,56,9,47,4.212458765757738e-06,0.5308333333333334,large,234.0,0.00013479868050424762,bytype36,True
deepseek,AH vs FD+time,Overall,kendall_tau,0.8974358974358975,0.900854700854701,-0.003418803418803408,195,49,20,29,0.6248197416027291,-0.05583168967784352,negligible,587.0,1.0,overall12,False
deepseek,AH vs FD+time,Overall,top1,0.9076923076923077,0.9384615384615385,-0.03076923076923077,195,33,10,23,0.3096189490603287,-0.07155818540433925,negligible,224.5,1.0,overall12,False
deepseek,AH vs FD+time,Overall,mae,0.04488888888888888,0.06249572649572649,-0.017606837606837608,195,189,114,75,0.0006136812692611749,-0.15026955950032872,small,6472.5,0.006750493961872924,overall12,True
deepseek,AH vs FD+time,HVAC,kendall_tau,0.92,0.9333333333333332,-0.013333333333333327,70,17,6,11,0.9476976743980118,-0.07,negligible,84.0,1.0,bytype36,False
deepseek,AH vs FD+time,HVAC,top1,0.92,0.9571428571428572,-0.037142857142857144,70,11,2,9,0.2435095867650766,-0.09510204081632653,negligible,20.0,1.0,bytype36,False
deepseek,AH vs FD+time,HVAC,mae,0.04491904761904762,0.07071428571428572,-0.025795238095238093,70,70,49,21,0.0014110924930089907,-0.2640816326530612,small,697.0,0.04656605226929669,bytype36,True
deepseek,AH vs FD+time,Appliance,kendall_tau,0.9753846153846155,0.9589743589743589,0.016410256410256417,65,8,4,4,0.25550882029402844,0.00378698224852071,negligible,10.0,1.0,bytype36,False
deepseek,AH vs FD+time,Appliance,top1,0.9846153846153847,1.0,-0.015384615384615385,65,1,0,1,0.31731050786291415,-0.015384615384615385,negligible,0.0,1.0,bytype36,False
deepseek,AH vs FD+time,Appliance,mae,0.040374358974358975,0.0566025641025641,-0.01622820512820513,65,63,36,27,0.09454689825052706,-0.09041420118343195,negligible,790.0,1.0,bytype36,False
deepseek,AH vs FD+time,Shower,kendall_tau,0.7866666666666666,0.8000000000000002,-0.013333333333333324,60,24,10,14,1.0,-0.09222222222222222,negligible,150.0,1.0,bytype36,False
deepseek,AH vs FD+time,Shower,top1,0.8099999999999999,0.85,-0.04,60,21,8,13,0.656565704352983,-0.09416666666666666,negligible,103.0,1.0,bytype36,False
deepseek,AH vs FD+time,Shower,mae,0.049744444444444445,0.05929166666666665,-0.009547222222222226,60,56,29,27,0.22420951372314513,-0.07027777777777777,negligible,649.0,1.0,bytype36,False
gemini,AH vs LU,Overall,kendall_tau,0.9234188034188034,0.9247863247863248,-0.001367521367521365,195,13,6,7,0.33850415006904055,0.0011571334648257726,negligible,117.0,0.33850415006904055,overall12,False
gemini,AH vs LU,Overall,top1,0.9312820512820512,0.9435897435897436,-0.012307692307692308,195,5,1,4,0.2578990352923395,-0.015095332018408942,negligible,3.5,0.7736971058770185,overall12,False
gemini,AH vs LU,Overall,mae,0.04768290598290598,0.03979059829059829,0.007892307692307693,195,146,72,74,0.31646246206578577,0.06287968441814595,negligible,5852.0,0.6329249241315715,overall12,False
gemini,AH vs LU,HVAC,kendall_tau,0.9771428571428572,0.9714285714285714,0.005714285714285716,70,4,2,2,0.4982248534183389,0.001836734693877551,negligible,5.0,1.0,bytype36,False
gemini,AH vs LU,HVAC,top1,0.9657142857142856,0.9714285714285714,-0.005714285714285713,70,3,1,2,0.7854947471183542,-0.013877551020408163,negligible,2.5,0.7854947471183542,bytype36,False
gemini,AH vs LU,HVAC,mae,0.02954285714285715,0.029083333333333336,0.0004595238095238097,70,67,36,31,0.3643580479501016,-0.0646938775510204,negligible,1087.5,1.0,bytype36,False
gemini,AH vs LU,Appliance,kendall_tau,0.958974358974359,0.9589743589743589,6.832141690000964e-18,65,8,4,4,0.25066607181324785,0.00378698224852071,negligible,10.0,1.0,bytype36,False
gemini,AH vs LU,Appliance,top1,0.9692307692307692,1.0,-0.03076923076923077,65,2,0,2,0.15729920705028502,-0.03076923076923077,negligible,0.0,1.0,bytype36,False
gemini,AH vs LU,Appliance,mae,0.06653333333333333,0.0566025641025641,0.009930769230769234,65,65,33,32,0.40657198412632045,0.08591715976331361,negligible,945.5,1.0,bytype36,False
gemini,AH vs LU,Shower,kendall_tau,0.8222222222222222,0.8333333333333334,-0.011111111111111105,60,1,0,1,0.28504940740261275,0.0030555555555555557,negligible,22.0,1.0,bytype36,False
gemini,AH vs LU,Shower,top1,0.85,0.85,0.0,60,0,0,0,,0.0,negligible,0.0,,,
gemini,AH vs LU,Shower,mae,0.048425,0.03406944444444445,0.014355555555555555,60,14,3,11,0.03683809230676418,0.1661111111111111,small,85.0,0.9209523076691045,bytype36,False
gemini,AH vs LU-corpus,Overall,kendall_tau,0.9234188034188034,0.9384615384615385,-0.015042735042735034,195,26,11,15,0.773372999734393,-0.02606180144641683,negligible,190.5,0.773372999734393,overall12,False
gemini,AH vs LU-corpus,Overall,top1,0.9312820512820512,0.9538461538461539,-0.022564102564102566,195,18,7,11,0.23480379177813104,-0.025404339250493096,negligible,61.0,0.4696075835562621,overall12,False
gemini,AH vs LU-corpus,Overall,mae,0.04768290598290598,0.025504273504273502,0.022178632478632474,195,166,43,123,4.582207396756439e-09,0.30892833662064434,small,3712.0,4.123986657080795e-08,overall12,True
gemini,AH vs LU-corpus,HVAC,kendall_tau,0.9771428571428572,0.9619047619047618,0.015238095238095242,70,4,3,1,0.2228009911811345,0.01673469387755102,negligible,3.0,1.0,bytype36,False
gemini,AH vs LU-corpus,HVAC,top1,0.9657142857142856,0.9571428571428572,0.008571428571428572,70,3,2,1,0.7854947471183542,0.0006122448979591836,negligible,2.5,1.0,bytype36,False
