model,decision_type,cons_tau,med_tau_same,cons_effect,cons_top1,med_top1_same
deepseek,Overall,0.9042735042735045,0.6410256410256411,0.2632478632478634,0.9128205128205128,0.7692307692307693
deepseek,HVAC,0.9523809523809524,0.9333333333333332,0.019047619047619202,0.9285714285714286,0.9571428571428572
deepseek,Appliance,0.9692307692307692,0.17948717948717952,0.7897435897435897,0.9846153846153847,0.49230769230769234
deepseek,Shower,0.7777777777777778,0.8000000000000002,-0.022222222222222365,0.8166666666666667,0.85
gemini,Overall,0.9213675213675213,0.6410256410256411,0.28034188034188023,0.9282051282051282,0.7692307692307693
gemini,HVAC,0.9714285714285714,0.9333333333333332,0.03809523809523818,0.9571428571428572,0.9571428571428572
gemini,Appliance,0.958974358974359,0.17948717948717952,0.7794871794871795,0.9692307692307692,0.49230769230769234
gemini,Shower,0.8222222222222222,0.8000000000000002,0.022222222222222032,0.85,0.85
gptoss,Overall,0.9209621993127147,0.6391752577319587,0.281786941580756,0.9432989690721649,0.7680412371134021
gptoss,HVAC,0.9613526570048309,0.932367149758454,0.02898550724637683,0.9565217391304348,0.9565217391304348
gptoss,Appliance,0.958974358974359,0.17948717948717952,0.7794871794871795,0.9846153846153847,0.49230769230769234
gptoss,Shower,0.8333333333333334,0.8000000000000002,0.033333333333333215,0.8833333333333333,0.85
qwen,Overall,0.8974358974358975,0.6410256410256411,0.2564102564102564,0.9128205128205128,0.7692307692307693
qwen,HVAC,0.9142857142857143,0.9333333333333332,-0.01904761904761898,0.8857142857142857,0.9571428571428572
qwen,Appliance,0.9076923076923077,0.17948717948717952,0.7282051282051282,0.9384615384615385,0.49230769230769234
qwen,Shower,0.8666666666666668,0.8000000000000002,0.06666666666666665,0.9166666666666666,0.85
