model,decision_type,n_runs,n_scored_mean,n,ext_tau,ext_top1,ext_mae,med_tau_same,med_top1_same,med_mae_same,med_tau_all,fd_tau_same,fd_top1_same,fd_tau_all,fd_top1_all,effect_vs_median_published_basis,effect_vs_median_like_for_like,effect_vs_median_like_for_like_run_min,effect_vs_median_like_for_like_run_max,top1_effect_vs_median_like_for_like,effect_vs_fd_published_basis,effect_vs_fd_like_for_like,top1_effect_vs_fd_published_basis,top1_effect_vs_fd_like_for_like
deepseek,Overall,5,194.8,195,0.897323112168473,0.9075865715040973,0.04481948189267776,0.6406555643669045,0.7689928628072958,0.12239496431403644,0.6410256410256411,0.6132769406996211,0.7022574676182923,0.6136752136752137,0.7025641025641025,0.25629747114283197,0.2566675478015684,0.25085910652920973,0.2632478632478631,0.13859370869680146,0.28364789849325933,0.28404617146885186,0.20502246893999476,0.205329103885805
deepseek,HVAC,5,69.8,70,0.9197515527950311,0.9197515527950311,0.04471890959282263,0.9331400966183574,0.9570186335403728,0.0701407177363699,0.9333333333333332,0.9331400966183574,0.9570186335403728,0.9333333333333332,0.9571428571428571,-0.013581780538302168,-0.013388543823326415,-0.02857142857142858,0.0,-0.037267080745341644,-0.013581780538302168,-0.013388543823326415,-0.037391304347826004,-0.037267080745341644
deepseek,Appliance,5,65.0,65,0.9753846153846155,0.9846153846153847,0.04037435897435897,0.17948717948717952,0.49230769230769234,0.23675641025641028,0.17948717948717952,0.09743589743589745,0.2923076923076923,0.09743589743589745,0.2923076923076923,0.795897435897436,0.7958974358974359,0.7794871794871795,0.8,0.49230769230769234,0.8779487179487181,0.877948717948718,0.6923076923076923,0.6923076923076923
deepseek,Shower,5,60.0,60,0.7866666666666665,0.8099999999999999,0.049744444444444445,0.8000000000000002,0.85,0.05929166666666665,0.8000000000000002,0.8000000000000002,0.85,0.8000000000000002,0.85,-0.013333333333333641,-0.013333333333333553,-0.03333333333333366,0.01111111111111085,-0.039999999999999966,-0.013333333333333641,-0.013333333333333553,-0.040000000000000036,-0.039999999999999966
gemini,Overall,5,195.0,195,0.9234188034188033,0.9312820512820513,0.047682905982905976,0.6410256410256411,0.7692307692307693,0.12234615384615381,0.6410256410256411,0.6136752136752137,0.7025641025641025,0.6136752136752137,0.7025641025641025,0.28239316239316226,0.28239316239316226,0.28034188034188023,0.28376068376068364,0.16205128205128203,0.3097435897435896,0.3097435897435896,0.22871794871794882,0.2287179487179488
gemini,HVAC,5,70.0,70,0.9771428571428571,0.9657142857142856,0.029542857142857138,0.9333333333333332,0.9571428571428571,0.0701547619047619,0.9333333333333332,0.9333333333333332,0.9571428571428571,0.9333333333333332,0.9571428571428571,0.043809523809523854,0.04380952380952381,0.03809523809523818,0.04761904761904756,0.00857142857142854,0.043809523809523854,0.04380952380952381,0.008571428571428563,0.00857142857142854
gemini,Appliance,5,65.0,65,0.9589743589743589,0.9692307692307691,0.06653333333333335,0.17948717948717952,0.49230769230769234,0.23675641025641028,0.17948717948717952,0.09743589743589745,0.2923076923076923,0.09743589743589745,0.2923076923076923,0.7794871794871794,0.7794871794871795,0.7794871794871795,0.7794871794871795,0.4769230769230769,0.8615384615384615,0.8615384615384617,0.6769230769230767,0.676923076923077
gemini,Shower,5,60.0,60,0.8222222222222222,0.85,0.048424999999999996,0.8000000000000002,0.85,0.05929166666666665,0.8000000000000002,0.8000000000000002,0.85,0.8000000000000002,0.85,0.022222222222222032,0.022222222222222032,0.022222222222222032,0.022222222222222032,0.0,0.022222222222222032,0.022222222222222032,0.0,0.0
gptoss,Overall,5,171.6,195,0.8974193730542617,0.917283010327167,0.051861281462595235,0.5974348572320175,0.741212866293222,0.12873901561658466,0.6410256410256411,0.5686836052247193,0.6654403440217139,0.6136752136752137,0.7025641025641025,0.2563937320286206,0.299984515822244,0.28735632183908044,0.30980392156862746,0.17607014403394494,0.28374415937904796,0.3287357678295423,0.21471890776306446,0.25184266630545304
gptoss,HVAC,5,46.6,70,0.9428530199958771,0.9398771387342816,0.05115004294647152,0.919674568817426,0.9484225932797361,0.06746734247234247,0.9333333333333332,0.9283215831787259,0.9484225932797361,0.9333333333333332,0.9571428571428571,0.00951968666254388,0.023178451178451142,0.0,0.04444444444444429,-0.008545454545454545,0.00951968666254388,0.014531436817151055,-0.017265718408575492,-0.008545454545454545
