model,run,decision_type,kendall_tau,top1,mae,n_scored,n_total
deepseek,1,Overall,0.9009,0.9231,0.0395,195,195
deepseek,1,HVAC,0.9238,0.9286,0.045,70,70
deepseek,1,Appliance,0.959,0.9846,0.0456,65,65
deepseek,1,Shower,0.8111,0.85,0.0262,60,60
deepseek,2,Overall,0.89,0.8969,0.0465,194,195
deepseek,2,HVAC,0.913,0.913,0.0441,69,70
deepseek,2,Appliance,0.9795,0.9846,0.0387,65,65
deepseek,2,Shower,0.7667,0.7833,0.0576,60,60
deepseek,3,Overall,0.894,0.9026,0.0462,195,195
deepseek,3,HVAC,0.9048,0.9,0.043,70,70
deepseek,3,Appliance,0.9795,0.9846,0.0423,65,65
deepseek,3,Shower,0.7889,0.8167,0.0542,60,60
deepseek,4,Overall,0.9043,0.9077,0.0427,195,195
deepseek,4,HVAC,0.9333,0.9286,0.0384,70,70
deepseek,4,Appliance,0.9795,0.9846,0.037,65,65
deepseek,4,Shower,0.7889,0.8,0.0538,60,60
deepseek,5,Overall,0.8974,0.9077,0.0493,195,195
deepseek,5,HVAC,0.9238,0.9286,0.0531,70,70
deepseek,5,Appliance,0.9795,0.9846,0.0382,65,65
deepseek,5,Shower,0.7778,0.8,0.0569,60,60
gemini,1,Overall,0.9214,0.9282,0.0469,195,195
gemini,1,HVAC,0.9714,0.9571,0.0292,70,70
gemini,1,Appliance,0.959,0.9692,0.0648,65,65
gemini,1,Shower,0.8222,0.85,0.0483,60,60
gemini,2,Overall,0.9248,0.9333,0.0477,195,195
gemini,2,HVAC,0.981,0.9714,0.0302,70,70
gemini,2,Appliance,0.959,0.9692,0.066,65,65
gemini,2,Shower,0.8222,0.85,0.0483,60,60
gemini,3,Overall,0.9248,0.9333,0.0471,195,195
gemini,3,HVAC,0.981,0.9714,0.0286,70,70
gemini,3,Appliance,0.959,0.9692,0.0655,65,65
gemini,3,Shower,0.8222,0.85,0.0487,60,60
gemini,4,Overall,0.9248,0.9333,0.0487,195,195
gemini,4,HVAC,0.981,0.9714,0.031,70,70
gemini,4,Appliance,0.959,0.9692,0.0681,65,65
gemini,4,Shower,0.8222,0.85,0.0483,60,60
gemini,5,Overall,0.9214,0.9282,0.048,195,195
gemini,5,HVAC,0.9714,0.9571,0.0288,70,70
gemini,5,Appliance,0.959,0.9692,0.0683,65,65
gemini,5,Shower,0.8222,0.85,0.0483,60,60
gptoss,1,Overall,0.9059,0.9294,0.0509,170,195
gptoss,1,HVAC,0.9704,0.9778,0.0483,45,70
gptoss,1,Appliance,0.9795,1.0,0.0493,65,65
gptoss,1,Shower,0.7778,0.8167,0.0545,60,60
gptoss,2,Overall,0.8974,0.9172,0.0514,169,195
gptoss,2,HVAC,0.9242,0.9091,0.0501,44,70
gptoss,2,Appliance,0.9692,0.9846,0.0546,65,65
gptoss,2,Shower,0.8,0.85,0.049,60,60
gptoss,3,Overall,0.8966,0.9138,0.0545,174,195
gptoss,3,HVAC,0.9456,0.9592,0.0556,49,70
gptoss,3,Appliance,0.959,0.9846,0.0547,65,65
gptoss,3,Shower,0.7889,0.8,0.0532,60,60
gptoss,4,Overall,0.901,0.9143,0.051,175,195
gptoss,4,HVAC,0.9333,0.92,0.0481,50,70
gptoss,4,Appliance,0.959,0.9846,0.0507,65,65
gptoss,4,Shower,0.8111,0.8333,0.0537,60,60
gptoss,5,Overall,0.8863,0.9118,0.0516,170,195
gptoss,5,HVAC,0.9407,0.9333,0.0536,45,70
gptoss,5,Appliance,0.9692,0.9846,0.0482,65,65
gptoss,5,Shower,0.7556,0.8167,0.0537,60,60
qwen,1,Overall,0.8969,0.9175,0.0729,194,195
qwen,1,HVAC,0.9034,0.913,0.0568,69,70
qwen,1,Appliance,0.9179,0.9385,0.1217,65,65
qwen,1,Shower,0.8667,0.9,0.0386,60,60
qwen,2,Overall,0.8803,0.8923,0.0692,195,195
qwen,2,HVAC,0.8571,0.8429,0.0509,70,70
qwen,2,Appliance,0.8974,0.9231,0.1185,65,65
qwen,2,Shower,0.8889,0.9167,0.0371,60,60
qwen,3,Overall,0.8598,0.8872,0.0731,195,195
qwen,3,HVAC,0.8762,0.8714,0.0551,70,70
qwen,3,Appliance,0.9077,0.9385,0.1207,65,65
qwen,3,Shower,0.7889,0.85,0.0425,60,60
qwen,4,Overall,0.8797,0.8918,0.0731,194,195
qwen,4,HVAC,0.8841,0.8696,0.059,69,70
qwen,4,Appliance,0.8872,0.9077,0.1193,65,65
qwen,4,Shower,0.8667,0.9,0.0393,60,60
qwen,5,Overall,0.8838,0.8974,0.0706,195,195
qwen,5,HVAC,0.8857,0.8714,0.0613,70,70
qwen,5,Appliance,0.9179,0.9385,0.108,65,65
qwen,5,Shower,0.8444,0.8833,0.041,60,60
