model,decision_type,tau,tau_sd,top1,mae,n_scored,n_total,success_rate
deepseek,Appliance,0.9753999999999999,0.009167878707749195,0.9846,0.04035999999999999,325,325,1.0
deepseek,HVAC,0.91974,0.011016714573773774,0.9197599999999999,0.044719999999999996,349,350,0.9971428571428571
deepseek,Overall,0.89732,0.005615781334774369,0.9076000000000001,0.044840000000000005,974,975,0.9989743589743589
deepseek,Shower,0.78668,0.01646396064135237,0.8099999999999999,0.04974,300,300,1.0
gemini,Appliance,0.959,0.0,0.9692000000000001,0.06654,325,325,1.0
gemini,HVAC,0.9771599999999999,0.005258136552049586,0.9656800000000001,0.029559999999999996,350,350,1.0
gemini,Overall,0.9234399999999999,0.001862256695517516,0.93126,0.04768,975,975,1.0
gemini,Shower,0.8222000000000002,0.0,0.85,0.04838,300,300,1.0
gptoss,Appliance,0.9671799999999999,0.00856983080346405,0.9876799999999999,0.051500000000000004,325,325,1.0
gptoss,HVAC,0.94284,0.017394050707066483,0.9398799999999999,0.05114,233,350,0.6657142857142857
gptoss,Overall,0.8974399999999999,0.007229315320277625,0.9173,0.05188,858,975,0.88
gptoss,Shower,0.78668,0.021351276308455194,0.82334,0.05282,300,300,1.0
qwen,Appliance,0.9056200000000001,0.013349044909655565,0.92926,0.11764000000000001,325,325,1.0
qwen,HVAC,0.8813000000000001,0.01678734642520968,0.8736599999999999,0.056620000000000004,348,350,0.9942857142857143
qwen,Overall,0.8801,0.013306201561677949,0.89724,0.07178,973,975,0.997948717948718
qwen,Shower,0.8511200000000001,0.03817488703323168,0.89,0.0397,300,300,1.0
