model,run,ablation_tau,pipeline_tau,ablation_top1,pipeline_top1,ablation_n,pipeline_n
deepseek,1,0.900854700854701,0.9009,0.9230769230769231,0.9231,195,195
deepseek,2,0.8900343642611684,0.89,0.8969072164948454,0.8969,194,194
deepseek,3,0.894017094017094,0.894,0.9025641025641026,0.9026,195,195
deepseek,4,0.9042735042735042,0.9043,0.9076923076923077,0.9077,195,195
deepseek,5,0.8974358974358975,0.8974,0.9076923076923077,0.9077,195,195
gemini,1,0.9213675213675213,0.9214,0.9282051282051282,0.9282,195,195
gemini,2,0.9247863247863247,0.9248,0.9333333333333333,0.9333,195,195
gemini,3,0.9247863247863247,0.9248,0.9333333333333333,0.9333,195,195
gemini,4,0.9247863247863247,0.9248,0.9333333333333333,0.9333,195,195
gemini,5,0.9213675213675213,0.9214,0.9282051282051282,0.9282,195,195
gptoss,1,0.9058823529411765,0.9059,0.9294117647058824,0.9294,170,170
gptoss,2,0.8974358974358976,0.8974,0.9171597633136095,0.9172,169,169
gptoss,3,0.896551724137931,0.8966,0.9137931034482759,0.9138,174,174
gptoss,4,0.9009523809523807,0.901,0.9142857142857143,0.9143,175,175
gptoss,5,0.8862745098039216,0.8863,0.9117647058823529,0.9118,170,170
qwen,1,0.8969072164948454,0.8969,0.9175257731958762,0.9175,194,194
qwen,2,0.8803418803418803,0.8803,0.8923076923076924,0.8923,195,195
qwen,3,0.8598290598290599,0.8598,0.8871794871794871,0.8872,195,195
qwen,4,0.879725085910653,0.8797,0.8917525773195877,0.8918,194,194
qwen,5,0.8837606837606836,0.8838,0.8974358974358975,0.8974,195,195
