model,decision_type,rebuilt_tau,rebuilt_top1,rebuilt_mae,rebuilt_n_scored,published_tau,published_top1,published_mae,published_n_scored,n_scenarios
deepseek,Overall,0.9042735042735045,0.9128205128205128,0.040132478632478624,195,0.9042735042735045,0.9128205128205128,0.040132478632478624,195,195
deepseek,HVAC,0.9523809523809524,0.9285714285714286,0.03358333333333333,70,0.9523809523809524,0.9285714285714286,0.03358333333333334,70,70
deepseek,Appliance,0.9692307692307692,0.9846153846153847,0.03962820512820513,65,0.9692307692307692,0.9846153846153847,0.03962820512820512,65,65
deepseek,Shower,0.7777777777777778,0.8166666666666667,0.04831944444444445,60,0.7777777777777778,0.8166666666666667,0.04831944444444445,60,60
gemini,Overall,0.9213675213675213,0.9282051282051282,0.047038461538461536,195,0.9213675213675213,0.9282051282051282,0.04703846153846153,195,195
gemini,HVAC,0.9714285714285714,0.9571428571428572,0.028499999999999998,70,0.9714285714285714,0.9571428571428572,0.028499999999999998,70,70
gemini,Appliance,0.958974358974359,0.9692307692307692,0.06579487179487178,65,0.958974358974359,0.9692307692307692,0.06579487179487178,65,65
gemini,Shower,0.8222222222222222,0.85,0.04834722222222222,60,0.8222222222222222,0.85,0.04834722222222222,60,60
gptoss,Overall,0.9209621993127147,0.9432989690721649,0.04649914089347079,194,0.9209621993127147,0.9432989690721649,0.04649914089347079,194,195
gptoss,HVAC,0.9613526570048309,0.9565217391304348,0.05130434782608695,69,0.9613526570048309,0.9565217391304348,0.05130434782608695,69,70
gptoss,Appliance,0.958974358974359,0.9846153846153847,0.04948717948717949,65,0.958974358974359,0.9846153846153847,0.04948717948717948,65,65
gptoss,Shower,0.8333333333333334,0.8833333333333333,0.037736111111111116,60,0.8333333333333334,0.8833333333333333,0.037736111111111116,60,60
qwen,Overall,0.8974358974358975,0.9128205128205128,0.06605555555555556,195,0.8974358974358975,0.9128205128205128,0.06605555555555556,195,195
qwen,HVAC,0.9142857142857143,0.8857142857142857,0.044571428571428574,70,0.9142857142857143,0.8857142857142857,0.044571428571428574,70,70
qwen,Appliance,0.9076923076923077,0.9384615384615385,0.11565384615384613,65,0.9076923076923077,0.9384615384615385,0.11565384615384615,65,65
qwen,Shower,0.8666666666666668,0.9166666666666666,0.037388888888888895,60,0.8666666666666668,0.9166666666666666,0.037388888888888895,60,60
