model,metric,config_i,config_j,statistic,p_value,cliff_delta,cliff_interp,n_pairs,mean_ext,mean_med,p_holm_bytype_24,p_holm_12,significant_holm_12
deepseek,kendall_tau,default_params,extracted_runmean,668.5,1.7623273566405263e-07,-0.1790138067061144,small,195,,,,1.0573964139843159e-06,True
deepseek,top1,default_params,extracted_runmean,468.5,1.7852638933272997e-05,-0.11242603550295859,negligible,195,,,,1.7852638933272997e-05,True
deepseek,mae,default_params,extracted_runmean,2912.5,2.9067731519592363e-16,0.4503353057199211,medium,195,,,,2.906773151959236e-15,True
deepseek,kendall_tau[shippedrun_01],default_params,extracted_run,389.5,2.641881301936972e-07,-0.2188560157790927,small,195,,,,,
deepseek,top1[shippedrun_01],default_params,extracted_run,291.5,3.1789737617465314e-05,-0.15384615384615385,small,195,,,,,
deepseek,mae[shippedrun_01],default_params,extracted_run,1244.5,4.43655658793553e-21,0.5026166995397765,large,195,,,,,
deepseek,kendall_tau[shippedrun_02],default_params,extracted_run,619.5,4.070861816699191e-06,-0.21041024550961845,small,194,,,,,
deepseek,top1[shippedrun_02],default_params,extracted_run,510.0,0.001135031018206217,-0.12886597938144329,negligible,194,,,,,
deepseek,mae[shippedrun_02],default_params,extracted_run,2407.0,5.166044124190577e-15,0.4488521628228292,medium,194,,,,,
deepseek,kendall_tau[shippedrun_03],default_params,extracted_run,555.5,4.33708890805723e-06,-0.2168836291913215,small,195,,,,,
deepseek,top1[shippedrun_03],default_params,extracted_run,472.0,0.0006402427027768719,-0.13333333333333333,negligible,195,,,,,
deepseek,mae[shippedrun_03],default_params,extracted_run,2040.5,6.926462451820124e-16,0.45270216962524656,medium,195,,,,,
deepseek,kendall_tau[shippedrun_04],default_params,extracted_run,511.0,6.755540722208369e-07,-0.223905325443787,small,195,,,,,
deepseek,top1[shippedrun_04],default_params,extracted_run,480.0,0.0004395874388766611,-0.13846153846153847,negligible,195,,,,,
deepseek,mae[shippedrun_04],default_params,extracted_run,1962.5,2.0521684165940854e-17,0.4768441814595661,large,195,,,,,
deepseek,kendall_tau[shippedrun_05],default_params,extracted_run,550.5,2.0859858262768354e-06,-0.21817225509533203,small,195,,,,,
deepseek,top1[shippedrun_05],default_params,extracted_run,435.0,0.000348575174213053,-0.13846153846153847,negligible,195,,,,,
deepseek,mae[shippedrun_05],default_params,extracted_run,2781.5,2.3288388302512665e-13,0.4402103879026956,medium,195,,,,,
deepseek,kendall_tau<HVAC>,default_params,extracted_runmean,73.5,0.886322971236892,0.07285714285714286,negligible,70,0.92,0.9333333333333332,1.0,,
deepseek,top1<HVAC>,default_params,extracted_runmean,20.0,0.2435095867650766,0.09510204081632653,negligible,70,0.92,0.9571428571428572,1.0,,
deepseek,kendall_tau<Appliance>,default_params,extracted_runmean,13.0,7.0942428103537e-09,-0.6624852071005917,large,65,0.9753846153846155,0.17948717948717952,1.631675846381351e-07,,
deepseek,top1<Appliance>,default_params,extracted_runmean,17.5,4.066142456598801e-08,-0.49230769230769234,large,65,0.9846153846153847,0.49230769230769234,8.132284913197602e-07,,
deepseek,kendall_tau<Shower>,default_params,extracted_runmean,142.0,0.8183346705110689,0.1,negligible,60,0.7866666666666666,0.8000000000000002,1.0,,
deepseek,top1<Shower>,default_params,extracted_runmean,103.0,0.656565704352983,0.09416666666666666,negligible,60,0.8099999999999999,0.85,1.0,,
gemini,kendall_tau,default_params,extracted_runmean,293.5,3.7160718564242276e-08,-0.24021038790269558,small,195,,,,2.6012502994969594e-07,True
gemini,top1,default_params,extracted_runmean,276.0,9.314562916032964e-06,-0.1601577909270217,small,195,,,,2.794368874809889e-05,True
gemini,mae,default_params,extracted_runmean,1317.5,3.746620443863421e-19,0.44357659434582514,medium,195,,,,4.4959445326361054e-18,True
gemini,kendall_tau[shippedrun_01],default_params,extracted_run,309.0,6.071753852119681e-08,-0.23921104536489152,small,195,,,,,
gemini,top1[shippedrun_01],default_params,extracted_run,297.0,2.061002941256615e-05,-0.15897435897435896,small,195,,,,,
gemini,mae[shippedrun_01],default_params,extracted_run,1242.0,3.1690352996732024e-19,0.45285996055226824,medium,195,,,,,
gemini,kendall_tau[shippedrun_02],default_params,extracted_run,282.5,4.1227276043782456e-08,-0.24365548980933596,small,195,,,,,
gemini,top1[shippedrun_02],default_params,extracted_run,265.0,9.096680073059212e-06,-0.1641025641025641,small,195,,,,,
gemini,mae[shippedrun_02],default_params,extracted_run,1302.5,7.894616504245763e-19,0.44294543063773834,medium,195,,,,,
gemini,kendall_tau[shippedrun_03],default_params,extracted_run,282.5,4.1227276043782456e-08,-0.24365548980933596,small,195,,,,,
gemini,top1[shippedrun_03],default_params,extracted_run,265.0,9.096680073059212e-06,-0.1641025641025641,small,195,,,,,
gemini,mae[shippedrun_03],default_params,extracted_run,1201.0,2.744107099713611e-19,0.4518343195266272,medium,195,,,,,
gemini,kendall_tau[shippedrun_04],default_params,extracted_run,282.5,4.1227276043782456e-08,-0.24365548980933596,small,195,,,,,
gemini,top1[shippedrun_04],default_params,extracted_run,265.0,9.096680073059212e-06,-0.1641025641025641,small,195,,,,,
gemini,mae[shippedrun_04],default_params,extracted_run,1264.5,4.455284171262742e-19,0.435844838921762,medium,195,,,,,
gemini,kendall_tau[shippedrun_05],default_params,extracted_run,309.0,6.071753852119681e-08,-0.23921104536489152,small,195,,,,,
gemini,top1[shippedrun_05],default_params,extracted_run,297.0,2.061002941256615e-05,-0.15897435897435896,small,195,,,,,
