model,run,scenario_id,decision_type,parameter,true,extracted,rel_error,error,cf_top1_change,ref_margin,ah_top1_miss
deepseek,1,1,HVAC,r_value,22.0,13.0,-0.4090909090909091,True,False,0.04699999999999993,False
deepseek,1,1,HVAC,seer,13.0,13.0,0.0,False,False,0.04699999999999993,False
deepseek,1,1,HVAC,hvac_age,20.0,12.0,-0.4,True,False,0.04699999999999993,False
deepseek,1,1,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.04699999999999993,False
deepseek,1,2,HVAC,r_value,23.0,13.0,-0.43478260869565216,True,False,0.0040000000000000036,True
deepseek,1,2,HVAC,seer,13.0,10.0,-0.23076923076923078,True,False,0.0040000000000000036,True
deepseek,1,2,HVAC,hvac_age,20.0,15.0,-0.25,True,False,0.0040000000000000036,True
deepseek,1,2,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.0040000000000000036,True
deepseek,1,3,HVAC,r_value,14.0,13.0,-0.07142857142857142,True,False,0.020000000000000018,False
deepseek,1,3,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.020000000000000018,False
deepseek,1,3,HVAC,hvac_age,30.0,15.0,-0.5,True,False,0.020000000000000018,False
deepseek,1,3,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.020000000000000018,False
deepseek,1,4,HVAC,r_value,15.0,13.0,-0.13333333333333333,True,False,0.01200000000000001,False
deepseek,1,4,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.01200000000000001,False
deepseek,1,4,HVAC,hvac_age,30.0,15.0,-0.5,True,False,0.01200000000000001,False
deepseek,1,4,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.01200000000000001,False
deepseek,1,5,HVAC,r_value,22.0,15.0,-0.3181818181818182,True,False,0.03149999999999997,False
deepseek,1,5,HVAC,seer,10.0,10.0,0.0,False,False,0.03149999999999997,False
deepseek,1,5,HVAC,hvac_age,35.0,15.0,-0.5714285714285714,True,False,0.03149999999999997,False
deepseek,1,5,HVAC,occupancy_context,unoccupied_8hr,unoccupied_8,,False,False,0.03149999999999997,False
deepseek,1,6,HVAC,r_value,10.0,8.0,-0.2,True,False,0.03400000000000003,False
deepseek,1,6,HVAC,seer,9.0,10.0,0.1111111111111111,True,False,0.03400000000000003,False
deepseek,1,6,HVAC,hvac_age,40.0,15.0,-0.625,True,False,0.03400000000000003,False
deepseek,1,6,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.03400000000000003,False
deepseek,1,7,HVAC,r_value,8.0,13.0,0.625,True,False,0.024500000000000077,False
deepseek,1,7,HVAC,seer,9.0,10.0,0.1111111111111111,True,False,0.024500000000000077,False
deepseek,1,7,HVAC,hvac_age,40.0,14.0,-0.65,True,False,0.024500000000000077,False
deepseek,1,7,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.024500000000000077,False
deepseek,1,8,HVAC,r_value,21.0,15.0,-0.2857142857142857,True,False,0.02749999999999997,False
deepseek,1,8,HVAC,seer,13.0,13.0,0.0,False,False,0.02749999999999997,False
deepseek,1,8,HVAC,hvac_age,23.0,12.0,-0.4782608695652174,True,False,0.02749999999999997,False
deepseek,1,8,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.02749999999999997,False
deepseek,1,9,HVAC,r_value,22.0,18.0,-0.18181818181818182,True,False,0.031000000000000028,False
deepseek,1,9,HVAC,seer,13.0,13.0,0.0,False,False,0.031000000000000028,False
deepseek,1,9,HVAC,hvac_age,23.0,15.0,-0.34782608695652173,True,False,0.031000000000000028,False
