scenario_id,decision_type,parameter,true,nearest_flip_factor_down,nearest_flip_factor_up,log_flip_distance,ref_margin
1,HVAC,r_value,22.0,,,,0.04699999999999993
1,HVAC,seer,13.0,,,,0.04699999999999993
1,HVAC,hvac_age,20.0,,,,0.04699999999999993
2,HVAC,r_value,23.0,0.66,,0.4155154439616658,0.0040000000000000036
2,HVAC,seer,13.0,0.67,,0.40047756659712525,0.0040000000000000036
2,HVAC,hvac_age,20.0,,,,0.0040000000000000036
3,HVAC,r_value,14.0,,,,0.020000000000000018
3,HVAC,seer,11.0,0.67,,0.40047756659712525,0.020000000000000018
3,HVAC,hvac_age,30.0,,,,0.020000000000000018
4,HVAC,r_value,15.0,,1.5,0.4054651081081644,0.01200000000000001
4,HVAC,seer,11.0,,1.57,0.45107561936021673,0.01200000000000001
4,HVAC,hvac_age,30.0,,,,0.01200000000000001
5,HVAC,r_value,22.0,,,,0.03149999999999997
5,HVAC,seer,10.0,,,,0.03149999999999997
5,HVAC,hvac_age,35.0,,,,0.03149999999999997
6,HVAC,r_value,10.0,,,,0.03400000000000003
6,HVAC,seer,9.0,0.58,,0.5447271754416722,0.03400000000000003
6,HVAC,hvac_age,40.0,,,,0.03400000000000003
7,HVAC,r_value,8.0,0.58,,0.5447271754416722,0.024500000000000077
7,HVAC,seer,9.0,0.54,,0.616186139423817,0.024500000000000077
7,HVAC,hvac_age,40.0,,,,0.024500000000000077
8,HVAC,r_value,21.0,,,,0.02749999999999997
8,HVAC,seer,13.0,,,,0.02749999999999997
8,HVAC,hvac_age,23.0,,,,0.02749999999999997
9,HVAC,r_value,22.0,,,,0.031000000000000028
9,HVAC,seer,13.0,,,,0.031000000000000028
9,HVAC,hvac_age,23.0,,,,0.031000000000000028
10,HVAC,r_value,23.0,,,,0.014000000000000012
10,HVAC,seer,16.0,,,,0.014000000000000012
10,HVAC,hvac_age,12.0,,,,0.014000000000000012
11,HVAC,r_value,16.0,,,,0.03749999999999987
11,HVAC,seer,16.0,,,,0.03749999999999987
11,HVAC,hvac_age,5.0,,,,0.03749999999999987
12,HVAC,r_value,17.0,,,,0.02400000000000002
12,HVAC,seer,16.0,,,,0.02400000000000002
12,HVAC,hvac_age,5.0,,,,0.02400000000000002
13,HVAC,r_value,11.0,,,,0.044499999999999984
13,HVAC,seer,18.0,,,,0.044499999999999984
13,HVAC,hvac_age,1.0,,,,0.044499999999999984
14,HVAC,r_value,23.0,,,,0.03149999999999997
14,HVAC,seer,18.0,,,,0.03149999999999997
14,HVAC,hvac_age,2.0,,,,0.03149999999999997
15,HVAC,r_value,12.0,,,,0.030500000000000083
15,HVAC,seer,17.0,,,,0.030500000000000083
15,HVAC,hvac_age,4.0,,,,0.030500000000000083
16,HVAC,r_value,10.0,0.53,1.63,0.4885800148186709,0.009000000000000008
16,HVAC,seer,17.0,,,,0.009000000000000008
16,HVAC,hvac_age,4.0,,,,0.009000000000000008
17,HVAC,r_value,15.0,0.99,1.11,0.01005033585350145,0.0025000000000000577
17,HVAC,seer,16.0,,1.05,0.04879016416943204,0.0025000000000000577
17,HVAC,hvac_age,7.0,,,,0.0025000000000000577
18,HVAC,r_value,11.0,,,,0.051000000000000045
18,HVAC,seer,15.0,,,,0.051000000000000045
18,HVAC,hvac_age,9.0,,,,0.051000000000000045
19,HVAC,r_value,24.0,,,,0.015000000000000124
19,HVAC,seer,16.0,,,,0.015000000000000124
19,HVAC,hvac_age,11.0,,,,0.015000000000000124
20,HVAC,r_value,15.0,,,,0.03200000000000003
20,HVAC,seer,15.0,,,,0.03200000000000003
20,HVAC,hvac_age,12.0,,,,0.03200000000000003
21,HVAC,r_value,10.0,0.59,1.73,0.527632742082372,0.015000000000000013
21,HVAC,seer,14.0,0.53,,0.6348782724359695,0.015000000000000013
21,HVAC,hvac_age,16.0,,,,0.015000000000000013
22,HVAC,r_value,16.0,,1.82,0.598836501088704,0.012500000000000067
22,HVAC,seer,14.0,,,,0.012500000000000067
22,HVAC,hvac_age,19.0,,,,0.012500000000000067
23,HVAC,r_value,17.0,,,,0.038000000000000034
23,HVAC,seer,14.0,,,,0.038000000000000034
23,HVAC,hvac_age,19.0,,,,0.038000000000000034
24,HVAC,r_value,11.0,0.63,,0.4620354595965587,0.01650000000000007
24,HVAC,seer,12.0,0.72,,0.3285040669720361,0.01650000000000007
24,HVAC,hvac_age,25.0,,,,0.01650000000000007
25,HVAC,r_value,16.0,0.72,,0.3285040669720361,0.008499999999999952
25,HVAC,seer,12.0,0.75,,0.2876820724517809,0.008499999999999952
25,HVAC,hvac_age,26.0,,,,0.008499999999999952
26,HVAC,r_value,10.0,0.79,,0.23572233352106983,0.020000000000000018
26,HVAC,seer,11.0,0.77,,0.2613647641344075,0.020000000000000018
26,HVAC,hvac_age,30.0,,,,0.020000000000000018
27,HVAC,r_value,14.0,0.71,,0.342490308946776,0.010500000000000065
27,HVAC,seer,8.0,0.68,,0.3856624808119846,0.010500000000000065
27,HVAC,hvac_age,95.0,,,,0.010500000000000065
28,HVAC,r_value,9.0,,1.59,0.4637340162321402,0.025500000000000023
28,HVAC,seer,9.0,,1.21,0.1906203596086497,0.025500000000000023
28,HVAC,hvac_age,35.0,,,,0.025500000000000023
29,HVAC,r_value,9.0,,,,0.043999999999999956
29,HVAC,seer,10.0,,,,0.043999999999999956
29,HVAC,hvac_age,30.0,,,,0.043999999999999956
30,HVAC,r_value,17.0,,,,0.014000000000000012
30,HVAC,seer,13.0,0.66,,0.4155154439616658,0.014000000000000012
30,HVAC,hvac_age,18.0,,,,0.014000000000000012
31,HVAC,r_value,23.0,,,,0.0714999999999999
31,HVAC,seer,16.0,,,,0.0714999999999999
31,HVAC,hvac_age,8.0,,,,0.0714999999999999
32,HVAC,r_value,9.0,,1.25,0.22314355131420976,0.00550000000000006
32,HVAC,seer,11.0,,1.05,0.04879016416943204,0.00550000000000006
32,HVAC,hvac_age,25.0,,,,0.00550000000000006
33,HVAC,r_value,11.0,0.53,,0.6348782724359695,0.014000000000000012
33,HVAC,seer,11.0,,,,0.014000000000000012
33,HVAC,hvac_age,28.0,,,,0.014000000000000012
34,HVAC,r_value,16.0,0.55,,0.5978370007556204,0.011500000000000066
34,HVAC,seer,10.0,0.6,,0.5108256237659907,0.011500000000000066
34,HVAC,hvac_age,28.0,,,,0.011500000000000066
35,HVAC,r_value,9.0,,,,0.09999999999999998
35,HVAC,seer,11.0,,,,0.09999999999999998
35,HVAC,hvac_age,25.0,,,,0.09999999999999998
36,HVAC,r_value,15.0,,,,0.1369999999999999
36,HVAC,seer,14.0,,,,0.1369999999999999
36,HVAC,hvac_age,12.0,,,,0.1369999999999999
37,HVAC,r_value,16.0,,,,0.020500000000000185
37,HVAC,seer,15.0,,,,0.020500000000000185
37,HVAC,hvac_age,8.0,,,,0.020500000000000185
38,HVAC,r_value,21.0,,,,0.016000000000000014
38,HVAC,seer,14.0,,,,0.016000000000000014
38,HVAC,hvac_age,16.0,,,,0.016000000000000014
39,HVAC,r_value,14.0,,,,0.02100000000000013
39,HVAC,seer,12.0,,,,0.02100000000000013
39,HVAC,hvac_age,25.0,,,,0.02100000000000013
40,HVAC,r_value,16.0,,,,0.0495000000000001
40,HVAC,seer,13.0,,,,0.0495000000000001
40,HVAC,hvac_age,18.0,,,,0.0495000000000001
41,HVAC,r_value,15.0,0.5,,0.6931471805599453,0.03949999999999998
41,HVAC,seer,13.0,,,,0.03949999999999998
41,HVAC,hvac_age,18.0,,,,0.03949999999999998
42,HVAC,r_value,9.0,0.8,,0.2231435513142097,0.025999999999999912
42,HVAC,seer,10.0,0.8,,0.2231435513142097,0.025999999999999912
42,HVAC,hvac_age,32.0,,,,0.025999999999999912
43,HVAC,r_value,16.0,,1.15,0.13976194237515863,0.006999999999999895
43,HVAC,seer,13.0,,1.04,0.03922071315328133,0.006999999999999895
43,HVAC,hvac_age,18.0,,,,0.006999999999999895
44,HVAC,r_value,23.0,,,,0.06250000000000022
44,HVAC,seer,15.0,0.76,,0.2744368457017603,0.06250000000000022
44,HVAC,hvac_age,10.0,,,,0.06250000000000022
45,HVAC,r_value,24.0,,,,0.032500000000000195
45,HVAC,seer,17.0,,,,0.032500000000000195
45,HVAC,hvac_age,6.0,,,,0.032500000000000195
46,HVAC,r_value,21.0,,,,0.019500000000000073
46,HVAC,seer,15.0,,,,0.019500000000000073
46,HVAC,hvac_age,16.0,,,,0.019500000000000073
47,HVAC,r_value,15.0,,,,0.031000000000000028
47,HVAC,seer,13.0,,,,0.031000000000000028
47,HVAC,hvac_age,20.0,,,,0.031000000000000028
48,HVAC,r_value,24.0,,,,0.024499999999999966
48,HVAC,seer,22.0,,,,0.024499999999999966
48,HVAC,hvac_age,1.0,,,,0.024499999999999966
49,HVAC,r_value,22.0,,,,0.030000000000000027
49,HVAC,seer,20.0,,,,0.030000000000000027
49,HVAC,hvac_age,3.0,,,,0.030000000000000027
50,HVAC,r_value,11.0,,1.24,0.2151113796169455,0.009500000000000008
50,HVAC,seer,13.0,0.65,1.4,0.3364722366212129,0.009500000000000008
50,HVAC,hvac_age,20.0,,,,0.009500000000000008
51,HVAC,r_value,10.0,0.57,1.07,0.06765864847381486,0.006000000000000005
51,HVAC,seer,9.0,0.83,1.08,0.0769610411361284,0.006000000000000005
51,HVAC,hvac_age,33.0,,,,0.006000000000000005
52,HVAC,r_value,17.0,,,,0.028000000000000025
52,HVAC,seer,14.0,,,,0.028000000000000025
52,HVAC,hvac_age,8.0,,,,0.028000000000000025
53,HVAC,r_value,16.0,,,,0.027000000000000024
53,HVAC,seer,16.0,,,,0.027000000000000024
53,HVAC,hvac_age,6.0,,,,0.027000000000000024
54,HVAC,r_value,15.0,0.88,,0.12783337150988489,0.016000000000000014
54,HVAC,seer,15.0,0.77,,0.2613647641344075,0.016000000000000014
54,HVAC,hvac_age,11.0,,,,0.016000000000000014
55,HVAC,r_value,23.0,,,,0.138
55,HVAC,seer,18.0,,,,0.138
55,HVAC,hvac_age,3.0,,,,0.138
56,HVAC,r_value,22.0,,,,0.006000000000000005
56,HVAC,seer,17.0,0.96,,0.040821994520255166,0.006000000000000005
56,HVAC,hvac_age,7.0,,,,0.006000000000000005
57,HVAC,r_value,24.0,,,,0.034499999999999975
57,HVAC,seer,19.0,,,,0.034499999999999975
57,HVAC,hvac_age,4.0,,,,0.034499999999999975
58,HVAC,r_value,8.0,0.62,,0.4780358009429998,0.03200000000000003
58,HVAC,seer,11.0,,,,0.03200000000000003
58,HVAC,hvac_age,21.0,,,,0.03200000000000003
59,HVAC,r_value,13.0,0.64,,0.4462871026284195,0.02000000000000013
59,HVAC,seer,13.0,0.58,,0.5447271754416722,0.02000000000000013
59,HVAC,hvac_age,15.0,,,,0.02000000000000013
60,HVAC,r_value,20.0,,,,0.014000000000000012
60,HVAC,seer,16.0,,,,0.014000000000000012
60,HVAC,hvac_age,6.0,,,,0.014000000000000012
61,HVAC,r_value,20.0,,,,0.024500000000000077
61,HVAC,seer,14.0,,,,0.024500000000000077
61,HVAC,hvac_age,18.0,,,,0.024500000000000077
62,HVAC,r_value,15.0,,,,0.025500000000000078
62,HVAC,seer,12.0,0.59,,0.527632742082372,0.025500000000000078
62,HVAC,hvac_age,24.0,,,,0.025500000000000078
63,HVAC,r_value,10.0,,,,0.0824999999999999
63,HVAC,seer,11.0,,,,0.0824999999999999
63,HVAC,hvac_age,28.0,,,,0.0824999999999999
64,HVAC,r_value,14.0,,,,0.024499999999999855
64,HVAC,seer,13.0,,,,0.024499999999999855
64,HVAC,hvac_age,16.0,,,,0.024499999999999855
65,HVAC,r_value,22.0,,,,0.04200000000000004
65,HVAC,seer,15.0,,,,0.04200000000000004
65,HVAC,hvac_age,14.0,,,,0.04200000000000004
66,HVAC,r_value,9.0,,,,0.05000000000000002
