model,run,n_err,n_flip,p_flip,share_linear_core,share_cross_tank,share_cross_clip,share_cross_budget,share_needs_tank,share_needs_clip,share_needs_round,share_margin_lt_0.02
deepseek,1,28,7,0.25,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571
deepseek,2,40,11,0.275,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.0,0.18181818181818182,0.0,0.09090909090909091,0.8181818181818182
deepseek,3,36,8,0.2222222222222222,0.5,0.5,0.375,0.0,0.25,0.0,0.125,0.75
deepseek,4,38,10,0.2631578947368421,0.6,0.4,0.4,0.0,0.2,0.0,0.1,0.8
deepseek,5,38,9,0.23684210526315788,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.0,0.2222222222222222,0.0,0.1111111111111111,0.7777777777777778
gemini,1,30,7,0.23333333333333334,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
gemini,2,30,7,0.23333333333333334,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
gemini,3,30,7,0.23333333333333334,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
gemini,4,30,7,0.23333333333333334,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
gemini,5,30,7,0.23333333333333334,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
gptoss,1,35,11,0.3142857142857143,0.6363636363636364,0.6363636363636364,0.45454545454545453,0.0,0.18181818181818182,0.0,0.09090909090909091,0.6363636363636364
gptoss,2,33,8,0.24242424242424243,0.625,0.625,0.625,0.0,0.25,0.0,0.125,0.625
gptoss,3,34,11,0.3235294117647059,0.6363636363636364,0.6363636363636364,0.45454545454545453,0.0,0.18181818181818182,0.0,0.09090909090909091,0.6363636363636364
gptoss,4,38,8,0.21052631578947367,0.875,0.75,0.25,0.0,0.25,0.0,0.0,0.5
gptoss,5,38,10,0.2631578947368421,0.9,0.7,0.4,0.0,0.1,0.0,0.0,0.6
qwen,1,20,5,0.25,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.6
qwen,2,20,4,0.2,1.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25
qwen,3,25,8,0.32,0.875,0.25,0.5,0.0,0.0,0.0,0.125,0.75
qwen,4,21,5,0.23809523809523808,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.4
qwen,5,22,6,0.2727272727272727,0.8333333333333334,0.16666666666666666,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333
