model,decision_type,margin_bin,n,n_miss,p_miss
deepseek,Appliance,"[0.005,0.01)",5,0,0.0
deepseek,Appliance,"[0.01,0.02)",15,5,0.3333333333333333
deepseek,Appliance,"[0.02,0.05)",65,0,0.0
deepseek,Appliance,>=0.05,240,0,0.0
deepseek,HVAC,"[0,0.005)",10,1,0.1
deepseek,HVAC,"[0.005,0.01)",35,9,0.2571428571428571
deepseek,HVAC,"[0.01,0.02)",69,4,0.057971014492753624
deepseek,HVAC,"[0.02,0.05)",190,13,0.06842105263157895
deepseek,HVAC,>=0.05,45,1,0.022222222222222223
deepseek,Shower,"[0,0.005)",10,10,1.0
deepseek,Shower,"[0.005,0.01)",30,17,0.5666666666666667
deepseek,Shower,"[0.01,0.02)",45,8,0.17777777777777778
deepseek,Shower,"[0.02,0.05)",70,22,0.3142857142857143
deepseek,Shower,>=0.05,145,0,0.0
gemini,Appliance,"[0.005,0.01)",5,0,0.0
gemini,Appliance,"[0.01,0.02)",15,5,0.3333333333333333
gemini,Appliance,"[0.02,0.05)",65,0,0.0
gemini,Appliance,>=0.05,240,5,0.020833333333333332
gemini,HVAC,"[0,0.005)",10,0,0.0
gemini,HVAC,"[0.005,0.01)",35,10,0.2857142857142857
gemini,HVAC,"[0.01,0.02)",70,0,0.0
gemini,HVAC,"[0.02,0.05)",190,2,0.010526315789473684
gemini,HVAC,>=0.05,45,0,0.0
gemini,Shower,"[0,0.005)",10,10,1.0
gemini,Shower,"[0.005,0.01)",30,15,0.5
gemini,Shower,"[0.01,0.02)",45,5,0.1111111111111111
gemini,Shower,"[0.02,0.05)",70,15,0.21428571428571427
gemini,Shower,>=0.05,145,0,0.0
gptoss,Appliance,"[0.005,0.01)",5,0,0.0
gptoss,Appliance,"[0.01,0.02)",15,4,0.26666666666666666
gptoss,Appliance,"[0.02,0.05)",65,0,0.0
gptoss,Appliance,>=0.05,240,0,0.0
gptoss,HVAC,"[0,0.005)",8,0,0.0
gptoss,HVAC,"[0.005,0.01)",16,10,0.625
gptoss,HVAC,"[0.01,0.02)",56,2,0.03571428571428571
gptoss,HVAC,"[0.02,0.05)",119,2,0.01680672268907563
gptoss,HVAC,>=0.05,34,0,0.0
gptoss,Shower,"[0,0.005)",10,7,0.7
gptoss,Shower,"[0.005,0.01)",30,13,0.43333333333333335
gptoss,Shower,"[0.01,0.02)",45,12,0.26666666666666666
gptoss,Shower,"[0.02,0.05)",70,21,0.3
gptoss,Shower,>=0.05,145,0,0.0
qwen,Appliance,"[0.005,0.01)",5,1,0.2
qwen,Appliance,"[0.01,0.02)",15,5,0.3333333333333333
qwen,Appliance,"[0.02,0.05)",65,2,0.03076923076923077
qwen,Appliance,>=0.05,240,15,0.0625
qwen,HVAC,"[0,0.005)",10,0,0.0
qwen,HVAC,"[0.005,0.01)",34,16,0.47058823529411764
qwen,HVAC,"[0.01,0.02)",69,11,0.15942028985507245
qwen,HVAC,"[0.02,0.05)",190,17,0.08947368421052632
qwen,HVAC,>=0.05,45,0,0.0
qwen,Shower,"[0,0.005)",10,2,0.2
qwen,Shower,"[0.005,0.01)",30,6,0.2
qwen,Shower,"[0.01,0.02)",45,6,0.13333333333333333
qwen,Shower,"[0.02,0.05)",70,18,0.2571428571428571
qwen,Shower,>=0.05,145,1,0.006896551724137931
