model,decision_type,margin_bin,n,n_flip,p_flip
deepseek,Appliance,"[0.005,0.01)",5,0,0.0
deepseek,Appliance,"[0.01,0.02)",11,5,0.45454545454545453
deepseek,Appliance,"[0.02,0.05)",48,0,0.0
deepseek,Appliance,>=0.05,230,0,0.0
deepseek,HVAC,"[0,0.005)",10,0,0.0
deepseek,HVAC,"[0.005,0.01)",35,15,0.42857142857142855
deepseek,HVAC,"[0.01,0.02)",69,4,0.057971014492753624
deepseek,HVAC,"[0.02,0.05)",190,6,0.031578947368421054
deepseek,HVAC,>=0.05,45,0,0.0
deepseek,Shower,"[0,0.005)",10,10,1.0
deepseek,Shower,"[0.005,0.01)",23,21,0.9130434782608695
deepseek,Shower,"[0.01,0.02)",40,9,0.225
deepseek,Shower,"[0.02,0.05)",65,14,0.2153846153846154
deepseek,Shower,>=0.05,132,0,0.0
gemini,Appliance,"[0.005,0.01)",5,0,0.0
gemini,Appliance,"[0.01,0.02)",15,5,0.3333333333333333
gemini,Appliance,"[0.02,0.05)",65,0,0.0
gemini,Appliance,>=0.05,240,5,0.020833333333333332
gemini,HVAC,"[0,0.005)",10,0,0.0
gemini,HVAC,"[0.005,0.01)",35,15,0.42857142857142855
gemini,HVAC,"[0.01,0.02)",70,0,0.0
gemini,HVAC,"[0.02,0.05)",185,0,0.0
gemini,HVAC,>=0.05,45,0,0.0
gemini,Shower,"[0,0.005)",10,10,1.0
gemini,Shower,"[0.005,0.01)",21,15,0.7142857142857143
gemini,Shower,"[0.01,0.02)",40,5,0.125
gemini,Shower,"[0.02,0.05)",60,10,0.16666666666666666
gemini,Shower,>=0.05,115,0,0.0
gptoss,Appliance,"[0.005,0.01)",5,0,0.0
gptoss,Appliance,"[0.01,0.02)",9,4,0.4444444444444444
gptoss,Appliance,"[0.02,0.05)",55,0,0.0
gptoss,Appliance,>=0.05,225,0,0.0
gptoss,HVAC,"[0,0.005)",8,0,0.0
gptoss,HVAC,"[0.005,0.01)",16,11,0.6875
gptoss,HVAC,"[0.01,0.02)",56,2,0.03571428571428571
gptoss,HVAC,"[0.02,0.05)",119,2,0.01680672268907563
gptoss,HVAC,>=0.05,34,0,0.0
gptoss,Shower,"[0,0.005)",10,7,0.7
gptoss,Shower,"[0.005,0.01)",28,13,0.4642857142857143
gptoss,Shower,"[0.01,0.02)",38,13,0.34210526315789475
gptoss,Shower,"[0.02,0.05)",64,20,0.3125
gptoss,Shower,>=0.05,127,0,0.0
qwen,Appliance,"[0.005,0.01)",5,1,0.2
qwen,Appliance,"[0.01,0.02)",5,5,1.0
qwen,Appliance,"[0.02,0.05)",49,2,0.04081632653061224
qwen,Appliance,>=0.05,228,15,0.06578947368421052
qwen,HVAC,"[0,0.005)",10,0,0.0
qwen,HVAC,"[0.005,0.01)",34,17,0.5
qwen,HVAC,"[0.01,0.02)",69,9,0.13043478260869565
qwen,HVAC,"[0.02,0.05)",190,16,0.08421052631578947
qwen,HVAC,>=0.05,45,0,0.0
qwen,Shower,"[0,0.005)",6,2,0.3333333333333333
qwen,Shower,"[0.005,0.01)",12,6,0.5
qwen,Shower,"[0.01,0.02)",34,6,0.17647058823529413
qwen,Shower,"[0.02,0.05)",63,13,0.20634920634920634
qwen,Shower,>=0.05,132,1,0.007575757575757576
