model,decision_type,parameter,margin_bin,n_error,n_flip,p_flip
deepseek,Appliance,kwh_per_cycle,"[0.005,0.01)",5,0,0.0
deepseek,Appliance,kwh_per_cycle,"[0.01,0.02)",11,5,0.45454545454545453
deepseek,Appliance,kwh_per_cycle,"[0.02,0.05)",48,0,0.0
deepseek,Appliance,kwh_per_cycle,>=0.05,230,0,0.0
deepseek,HVAC,hvac_age,"[0,0.005)",10,0,0.0
deepseek,HVAC,hvac_age,"[0.005,0.01)",35,0,0.0
deepseek,HVAC,hvac_age,"[0.01,0.02)",67,0,0.0
deepseek,HVAC,hvac_age,"[0.02,0.05)",174,0,0.0
deepseek,HVAC,hvac_age,>=0.05,37,0,0.0
deepseek,HVAC,occupancy_context,"[0,0.005)",4,0,0.0
deepseek,HVAC,occupancy_context,"[0.005,0.01)",5,5,1.0
deepseek,HVAC,occupancy_context,"[0.01,0.02)",15,0,0.0
deepseek,HVAC,occupancy_context,"[0.02,0.05)",32,0,0.0
deepseek,HVAC,occupancy_context,>=0.05,6,0,0.0
deepseek,HVAC,r_value,"[0,0.005)",10,0,0.0
deepseek,HVAC,r_value,"[0.005,0.01)",29,3,0.10344827586206896
deepseek,HVAC,r_value,"[0.01,0.02)",60,4,0.06666666666666667
deepseek,HVAC,r_value,"[0.02,0.05)",186,5,0.026881720430107527
deepseek,HVAC,r_value,>=0.05,44,0,0.0
deepseek,HVAC,seer,"[0,0.005)",7,0,0.0
deepseek,HVAC,seer,"[0.005,0.01)",32,11,0.34375
deepseek,HVAC,seer,"[0.01,0.02)",60,1,0.016666666666666666
deepseek,HVAC,seer,"[0.02,0.05)",132,1,0.007575757575757576
deepseek,HVAC,seer,>=0.05,39,0,0.0
deepseek,Shower,gpm,"[0,0.005)",10,10,1.0
deepseek,Shower,gpm,"[0.005,0.01)",17,17,1.0
deepseek,Shower,gpm,"[0.01,0.02)",24,9,0.375
deepseek,Shower,gpm,"[0.02,0.05)",35,9,0.2571428571428571
deepseek,Shower,gpm,>=0.05,94,0,0.0
deepseek,Shower,tank_size,"[0,0.005)",4,0,0.0
deepseek,Shower,tank_size,"[0.005,0.01)",10,0,0.0
deepseek,Shower,tank_size,"[0.01,0.02)",11,0,0.0
deepseek,Shower,tank_size,"[0.02,0.05)",46,3,0.06521739130434782
deepseek,Shower,tank_size,>=0.05,90,0,0.0
deepseek,Shower,water_heater_temp,"[0,0.005)",7,0,0.0
deepseek,Shower,water_heater_temp,"[0.005,0.01)",13,5,0.38461538461538464
deepseek,Shower,water_heater_temp,"[0.01,0.02)",24,0,0.0
deepseek,Shower,water_heater_temp,"[0.02,0.05)",40,2,0.05
deepseek,Shower,water_heater_temp,>=0.05,77,0,0.0
gemini,Appliance,appliance,"[0.02,0.05)",3,0,0.0
gemini,Appliance,appliance,>=0.05,17,0,0.0
gemini,Appliance,kwh_per_cycle,"[0.005,0.01)",5,0,0.0
gemini,Appliance,kwh_per_cycle,"[0.01,0.02)",15,5,0.3333333333333333
gemini,Appliance,kwh_per_cycle,"[0.02,0.05)",65,0,0.0
gemini,Appliance,kwh_per_cycle,>=0.05,240,5,0.020833333333333332
gemini,HVAC,hvac_age,"[0,0.005)",10,0,0.0
gemini,HVAC,hvac_age,"[0.005,0.01)",33,0,0.0
gemini,HVAC,hvac_age,"[0.01,0.02)",62,0,0.0
gemini,HVAC,hvac_age,"[0.02,0.05)",170,0,0.0
gemini,HVAC,hvac_age,>=0.05,40,0,0.0
gemini,HVAC,occupancy_context,"[0,0.005)",5,0,0.0
gemini,HVAC,occupancy_context,"[0.005,0.01)",9,5,0.5555555555555556
gemini,HVAC,occupancy_context,"[0.01,0.02)",10,0,0.0
gemini,HVAC,occupancy_context,"[0.02,0.05)",30,0,0.0
gemini,HVAC,occupancy_context,>=0.05,16,0,0.0
gemini,HVAC,r_value,"[0,0.005)",5,0,0.0
gemini,HVAC,r_value,"[0.005,0.01)",29,0,0.0
gemini,HVAC,r_value,"[0.01,0.02)",59,0,0.0
gemini,HVAC,r_value,"[0.02,0.05)",158,0,0.0
gemini,HVAC,r_value,>=0.05,32,0,0.0
gemini,HVAC,seer,"[0,0.005)",9,0,0.0
gemini,HVAC,seer,"[0.005,0.01)",28,13,0.4642857142857143
gemini,HVAC,seer,"[0.01,0.02)",54,0,0.0
gemini,HVAC,seer,"[0.02,0.05)",130,0,0.0
gemini,HVAC,seer,>=0.05,35,0,0.0
gemini,Shower,gpm,"[0,0.005)",10,10,1.0
gemini,Shower,gpm,"[0.005,0.01)",10,10,1.0
gemini,Shower,gpm,"[0.01,0.02)",20,5,0.25
gemini,Shower,gpm,"[0.02,0.05)",30,10,0.3333333333333333
gemini,Shower,gpm,>=0.05,80,0,0.0
gemini,Shower,tank_size,"[0,0.005)",5,0,0.0
gemini,Shower,tank_size,"[0.005,0.01)",11,0,0.0
gemini,Shower,tank_size,"[0.01,0.02)",10,0,0.0
gemini,Shower,tank_size,"[0.02,0.05)",35,0,0.0
gemini,Shower,tank_size,>=0.05,71,0,0.0
gemini,Shower,water_heater_temp,"[0,0.005)",5,0,0.0
gemini,Shower,water_heater_temp,"[0.005,0.01)",5,5,1.0
gemini,Shower,water_heater_temp,"[0.01,0.02)",20,0,0.0
gemini,Shower,water_heater_temp,"[0.02,0.05)",30,0,0.0
gemini,Shower,water_heater_temp,>=0.05,40,0,0.0
gptoss,Appliance,kwh_per_cycle,"[0.005,0.01)",5,0,0.0
gptoss,Appliance,kwh_per_cycle,"[0.01,0.02)",9,4,0.4444444444444444
gptoss,Appliance,kwh_per_cycle,"[0.02,0.05)",55,0,0.0
gptoss,Appliance,kwh_per_cycle,>=0.05,225,0,0.0
gptoss,HVAC,hvac_age,"[0,0.005)",8,0,0.0
gptoss,HVAC,hvac_age,"[0.005,0.01)",16,0,0.0
gptoss,HVAC,hvac_age,"[0.01,0.02)",53,0,0.0
gptoss,HVAC,hvac_age,"[0.02,0.05)",109,0,0.0
gptoss,HVAC,hvac_age,>=0.05,31,0,0.0
gptoss,HVAC,occupancy_context,"[0.005,0.01)",2,1,0.5
gptoss,HVAC,occupancy_context,"[0.01,0.02)",18,0,0.0
gptoss,HVAC,occupancy_context,"[0.02,0.05)",28,0,0.0
gptoss,HVAC,occupancy_context,>=0.05,13,0,0.0
gptoss,HVAC,r_value,"[0,0.005)",8,0,0.0
gptoss,HVAC,r_value,"[0.005,0.01)",16,4,0.25
gptoss,HVAC,r_value,"[0.01,0.02)",56,2,0.03571428571428571
gptoss,HVAC,r_value,"[0.02,0.05)",115,0,0.0
gptoss,HVAC,r_value,>=0.05,34,0,0.0
gptoss,HVAC,seer,"[0,0.005)",6,0,0.0
gptoss,HVAC,seer,"[0.005,0.01)",12,8,0.6666666666666666
gptoss,HVAC,seer,"[0.01,0.02)",50,0,0.0
gptoss,HVAC,seer,"[0.02,0.05)",93,2,0.021505376344086023
gptoss,HVAC,seer,>=0.05,34,0,0.0
gptoss,Shower,gpm,"[0,0.005)",10,7,0.7
gptoss,Shower,gpm,"[0.005,0.01)",12,9,0.75
gptoss,Shower,gpm,"[0.01,0.02)",27,13,0.48148148148148145
gptoss,Shower,gpm,"[0.02,0.05)",45,19,0.4222222222222222
gptoss,Shower,gpm,>=0.05,84,0,0.0
gptoss,Shower,tank_size,"[0,0.005)",6,0,0.0
gptoss,Shower,tank_size,"[0.005,0.01)",27,0,0.0
gptoss,Shower,tank_size,"[0.01,0.02)",26,0,0.0
gptoss,Shower,tank_size,"[0.02,0.05)",42,1,0.023809523809523808
gptoss,Shower,tank_size,>=0.05,92,0,0.0
gptoss,Shower,water_heater_temp,"[0,0.005)",5,0,0.0
gptoss,Shower,water_heater_temp,"[0.005,0.01)",6,5,0.8333333333333334
gptoss,Shower,water_heater_temp,"[0.01,0.02)",21,0,0.0
gptoss,Shower,water_heater_temp,"[0.02,0.05)",30,0,0.0
gptoss,Shower,water_heater_temp,>=0.05,40,0,0.0
qwen,Appliance,baseline_time,>=0.05,1,0,0.0
qwen,Appliance,kwh_per_cycle,"[0.005,0.01)",5,1,0.2
qwen,Appliance,kwh_per_cycle,"[0.01,0.02)",5,5,1.0
qwen,Appliance,kwh_per_cycle,"[0.02,0.05)",49,2,0.04081632653061224
