model,run,scenario_id,decision_type,parameter,true,extracted,ref_margin,flip_full,flip_no_budget,flip_comfort_prac_flat
deepseek,1,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
deepseek,1,51,HVAC,seer,9.0,10.0,0.006,True,True,False
deepseek,1,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
deepseek,1,54,HVAC,seer,15.0,10.0,0.016,True,True,False
deepseek,1,56,HVAC,seer,17.0,13.0,0.006,True,True,False
deepseek,1,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
deepseek,2,6,HVAC,r_value,10.0,2.0,0.034,True,True,False
deepseek,2,28,HVAC,seer,9.0,13.0,0.0255,True,True,True
deepseek,2,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_12,0.0069999999999998,True,True,False
deepseek,2,51,HVAC,seer,9.0,10.0,0.006,True,True,False
deepseek,2,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
deepseek,2,56,HVAC,seer,17.0,14.0,0.006,True,True,False
deepseek,2,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
deepseek,3,5,HVAC,r_value,22.0,2.5,0.0314999999999999,True,True,False
deepseek,3,6,HVAC,r_value,10.0,2.0,0.034,True,True,False
deepseek,3,43,HVAC,r_value,16.0,19.0,0.0069999999999998,True,True,False
deepseek,3,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_12,0.0069999999999998,True,True,False
deepseek,3,51,HVAC,seer,9.0,10.0,0.006,True,True,False
deepseek,3,54,HVAC,r_value,15.0,11.0,0.016,True,True,False
deepseek,3,56,HVAC,seer,17.0,14.0,0.006,True,True,False
deepseek,3,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
deepseek,4,6,HVAC,r_value,10.0,1.5,0.034,True,True,False
deepseek,4,43,HVAC,r_value,16.0,19.0,0.0069999999999998,True,True,False
deepseek,4,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
deepseek,4,51,HVAC,seer,9.0,10.0,0.006,True,True,False
deepseek,4,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
deepseek,4,56,HVAC,seer,17.0,14.0,0.006,True,True,False
deepseek,4,102,Appliance,kwh_per_cycle,2.5,3.0,0.0134999999999999,True,True,False
deepseek,5,6,HVAC,r_value,10.0,1.5,0.034,True,True,False
deepseek,5,43,HVAC,r_value,16.0,19.0,0.0069999999999998,True,True,False
deepseek,5,43,HVAC,seer,13.0,14.0,0.0069999999999998,True,True,False
deepseek,5,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
deepseek,5,51,HVAC,seer,9.0,10.0,0.006,True,True,False
deepseek,5,56,HVAC,seer,17.0,14.0,0.006,True,True,False
deepseek,5,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
gemini,1,43,HVAC,seer,13.0,14.0,0.0069999999999998,True,True,False
gemini,1,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
gemini,1,51,HVAC,seer,9.0,10.0,0.006,True,True,False
gemini,1,56,HVAC,seer,17.0,14.0,0.006,True,True,False
gemini,1,102,Appliance,kwh_per_cycle,2.5,3.0,0.0134999999999999,True,True,False
gemini,1,133,Appliance,kwh_per_cycle,0.3,1.5,0.079,True,True,False
