model,run,decision_type,parameter,n_scored,n_error,n_flip,p_change_given_error,error_rate,median_abs_rel_error,mae
deepseek,1,Appliance,appliance,65,0,0,,0.0,,
deepseek,1,Appliance,baseline_time,65,0,0,,0.0,,
deepseek,1,Appliance,kwh_per_cycle,65,60,1,0.016666666666666666,0.9230769230769231,0.339712918660287,0.5016923076923077
deepseek,1,HVAC,hvac_age,70,63,0,0.0,0.9,0.4,7.885714285714286
deepseek,1,HVAC,occupancy_context,70,12,1,0.08333333333333333,0.17142857142857143,,
deepseek,1,HVAC,r_value,70,65,1,0.015384615384615385,0.9285714285714286,0.1875,2.8714285714285714
deepseek,1,HVAC,seer,70,55,3,0.05454545454545454,0.7857142857142857,0.13333333333333333,1.8714285714285714
deepseek,1,Shower,gpm,60,28,7,0.25,0.4666666666666667,0.1125,0.14833333333333332
deepseek,1,Shower,tank_size,60,23,0,0.0,0.38333333333333336,0.25,6.333333333333333
deepseek,1,Shower,water_heater_temp,60,20,1,0.05,0.3333333333333333,0.1111111111111111,4.583333333333333
deepseek,2,Appliance,appliance,65,0,0,,0.0,,
deepseek,2,Appliance,baseline_time,65,0,0,,0.0,,
deepseek,2,Appliance,kwh_per_cycle,65,58,1,0.017241379310344827,0.8923076923076924,0.3157894736842105,0.3232307692307692
deepseek,2,HVAC,hvac_age,69,65,0,0.0,0.9420289855072463,0.42857142857142855,7.797101449275362
deepseek,2,HVAC,occupancy_context,69,12,1,0.08333333333333333,0.17391304347826086,,
deepseek,2,HVAC,r_value,69,65,2,0.03076923076923077,0.9420289855072463,0.1875,3.210144927536232
deepseek,2,HVAC,seer,69,56,3,0.05357142857142857,0.8115942028985508,0.125,1.681159420289855
deepseek,2,Shower,gpm,60,40,11,0.275,0.6666666666666666,0.25,0.44666666666666666
deepseek,2,Shower,tank_size,60,35,1,0.02857142857142857,0.5833333333333334,0.2,7.333333333333333
deepseek,2,Shower,water_heater_temp,60,32,1,0.03125,0.5333333333333333,0.16666666666666666,9.25
deepseek,3,Appliance,appliance,65,0,0,,0.0,,
deepseek,3,Appliance,baseline_time,65,0,0,,0.0,,
deepseek,3,Appliance,kwh_per_cycle,65,60,1,0.016666666666666666,0.9230769230769231,0.3157894736842105,0.35384615384615387
deepseek,3,HVAC,hvac_age,70,65,0,0.0,0.9285714285714286,0.4444444444444444,8.714285714285714
deepseek,3,HVAC,occupancy_context,70,14,1,0.07142857142857142,0.2,,
deepseek,3,HVAC,r_value,70,66,4,0.06060606060606061,0.9428571428571428,0.1875,3.3785714285714286
deepseek,3,HVAC,seer,70,54,2,0.037037037037037035,0.7714285714285715,0.125,1.5857142857142856
deepseek,3,Shower,gpm,60,36,8,0.2222222222222222,0.6,0.25,0.4083333333333333
deepseek,3,Shower,tank_size,60,34,1,0.029411764705882353,0.5666666666666667,0.2153846153846154,7.5
deepseek,3,Shower,water_heater_temp,60,36,1,0.027777777777777776,0.6,0.16666666666666666,10.25
deepseek,4,Appliance,appliance,65,0,0,,0.0,,
deepseek,4,Appliance,baseline_time,65,0,0,,0.0,,
deepseek,4,Appliance,kwh_per_cycle,65,58,1,0.017241379310344827,0.8923076923076924,0.3100686498855836,0.314
deepseek,4,HVAC,hvac_age,70,63,0,0.0,0.9,0.4230769230769231,8.585714285714285
deepseek,4,HVAC,occupancy_context,70,11,1,0.09090909090909091,0.15714285714285714,,
deepseek,4,HVAC,r_value,70,67,3,0.04477611940298507,0.9571428571428572,0.1875,3.2928571428571427
deepseek,4,HVAC,seer,70,54,2,0.037037037037037035,0.7714285714285715,0.125,1.5857142857142856
deepseek,4,Shower,gpm,60,38,10,0.2631578947368421,0.6333333333333333,0.25,0.4233333333333333
deepseek,4,Shower,tank_size,60,34,0,0.0,0.5666666666666667,0.2,7.166666666666667
deepseek,4,Shower,water_heater_temp,60,36,2,0.05555555555555555,0.6,0.16666666666666666,9.583333333333334
deepseek,5,Appliance,appliance,65,0,0,,0.0,,
deepseek,5,Appliance,baseline_time,65,0,0,,0.0,,
deepseek,5,Appliance,kwh_per_cycle,65,58,1,0.017241379310344827,0.8923076923076924,0.3157894736842105,0.3201538461538461
deepseek,5,HVAC,hvac_age,70,67,0,0.0,0.9571428571428572,0.45454545454545453,8.771428571428572
deepseek,5,HVAC,occupancy_context,70,13,1,0.07692307692307693,0.18571428571428572,,
deepseek,5,HVAC,r_value,70,66,2,0.030303030303030304,0.9428571428571428,0.1875,3.3285714285714287
deepseek,5,HVAC,seer,70,51,3,0.058823529411764705,0.7285714285714285,0.125,1.5285714285714285
