model,decision_type,parameter,p_change_mean,p_change_sd,p_change_min,p_change_max,n_error_total,n_flip_total,n_scored_total,error_rate_mean,median_abs_rel_error_mean,mae_per_run_mean,p_change_run_summed,published_aggregate_basis
deepseek,Appliance,appliance,,,,,0,0,325,0.0,,,,
deepseek,Appliance,baseline_time,,,,,0,0,325,0.0,,,,
deepseek,Appliance,kwh_per_cycle,0.017011494252873564,0.0003147830790259567,0.016666666666666666,0.017241379310344827,294,5,325,0.9046153846153846,0.31942999791970045,0.3625846153846154,0.017006802721088437,0.016
deepseek,HVAC,hvac_age,0.0,0.0,0.0,0.0,323,0,349,0.9255486542443064,0.4301276501276501,8.350848861283643,0.0,0.0
deepseek,HVAC,occupancy_context,0.08118548118548119,0.0073678440173463675,0.07142857142857142,0.09090909090909091,62,5,349,0.17763975155279504,,,0.08064516129032258,
deepseek,HVAC,r_value,0.03636781129318443,0.01707785523639897,0.015384615384615385,0.06060606060606061,329,12,349,0.9426915113871634,0.1875,3.216314699792961,0.0364741641337386,0.015
deepseek,HVAC,seer,0.04820289732054438,0.010382676168763677,0.037037037037037035,0.058823529411764705,270,13,349,0.7737474120082816,0.12666666666666665,1.6505175983436853,0.04814814814814815,0.032
deepseek,Shower,gpm,0.24944444444444444,0.020864575937499293,0.2222222222222222,0.275,180,45,300,0.6,0.2225,0.36966666666666664,0.25,0.185
deepseek,Shower,tank_size,0.017310924369747897,0.01580636305149779,0.0,0.029411764705882353,161,3,300,0.5366666666666667,0.21307692307692308,7.2,0.018633540372670808,0.025
deepseek,Shower,water_heater_temp,0.043727477477477475,0.013190588674506933,0.027777777777777776,0.05555555555555555,161,7,300,0.5366666666666666,0.15555555555555553,8.85,0.043478260869565216,0.042
gemini,Appliance,appliance,0.0,0.0,0.0,0.0,20,0,325,0.06153846153846154,,,0.0,
gemini,Appliance,baseline_time,,,,,0,0,325,0.0,,,,
gemini,Appliance,kwh_per_cycle,0.03076923076923077,0.0,0.03076923076923077,0.03076923076923077,325,10,325,1.0,0.23263157894736836,0.548,0.03076923076923077,0.031
gemini,HVAC,hvac_age,0.0,0.0,0.0,0.0,315,0,350,0.9,0.4,7.794285714285715,0.0,0.0
gemini,HVAC,occupancy_context,0.07157509157509158,0.0036317346689950006,0.06666666666666667,0.07692307692307693,70,5,350,0.2,,,0.07142857142857142,
gemini,HVAC,r_value,0.0,0.0,0.0,0.0,283,0,350,0.8085714285714285,0.12205882352941178,1.8057142857142856,0.0,0.0
gemini,HVAC,seer,0.050763197586727,0.010583403133490842,0.0392156862745098,0.06,256,13,350,0.7314285714285714,0.10303030303030303,1.3757142857142857,0.05078125,0.075
gemini,Shower,gpm,0.23333333333333334,0.0,0.23333333333333334,0.23333333333333334,150,35,300,0.5,0.25,0.36666666666666664,0.23333333333333334,0.233
gemini,Shower,tank_size,0.0,0.0,0.0,0.0,132,0,300,0.44000000000000006,0.25,6.7333333333333325,0.0,0.0
gemini,Shower,water_heater_temp,0.05,0.0,0.05,0.05,100,5,300,0.3333333333333333,0.11111111111111112,4.583333333333333,0.05,0.05
gptoss,Appliance,appliance,,,,,0,0,325,0.0,,,,
gptoss,Appliance,baseline_time,,,,,0,0,325,0.0,,,,
gptoss,Appliance,kwh_per_cycle,0.01361971556594584,0.0076173914538121106,0.0,0.017241379310344827,294,4,325,0.9046153846153846,0.4228571428571429,0.4533846153846154,0.013605442176870748,0.016
gptoss,HVAC,hvac_age,0.0,0.0,0.0,0.0,217,0,233,0.9319352710781281,0.47777777777777775,9.339360956503814,0.0,0.0
gptoss,HVAC,occupancy_context,0.016666666666666666,0.03726779962499649,0.0,0.08333333333333333,61,1,233,0.26235497835497834,,,0.01639344262295082,
gptoss,HVAC,r_value,0.026054948091422253,0.01807629017388361,0.0,0.045454545454545456,229,6,233,0.9833922902494331,0.2866666666666667,4.411421150278293,0.026200873362445413,0.015
gptoss,HVAC,seer,0.05151378526307624,0.03008707440916949,0.023255813953488372,0.0975609756097561,195,10,233,0.8364799010513296,0.16299242424242424,2.2083632240775097,0.05128205128205128,0.049
gptoss,Shower,gpm,0.27078471580019564,0.04787457426212389,0.21052631578947367,0.3235294117647059,178,48,300,0.5933333333333334,0.25,0.449,0.2696629213483146,0.174
gptoss,Shower,tank_size,0.005263157894736842,0.011768778828946261,0.0,0.02631578947368421,193,1,300,0.6433333333333333,0.25,8.633333333333333,0.0051813471502590676,0.0
gptoss,Shower,water_heater_temp,0.04909774436090225,0.002228322479237619,0.047619047619047616,0.05263157894736842,102,5,300,0.33999999999999997,0.12380952380952381,4.816666666666666,0.049019607843137254,0.042
qwen,Appliance,appliance,,,,,0,0,325,0.0,,,,
qwen,Appliance,baseline_time,0.0,,0.0,0.0,1,0,325,0.003076923076923077,,,0.0,
qwen,Appliance,kwh_per_cycle,0.08004493993604701,0.014833141204705639,0.06896551724137931,0.10344827586206896,287,23,325,0.8830769230769231,0.5789473684210527,0.9983076923076923,0.08013937282229965,0.066
qwen,HVAC,hvac_age,0.0,0.0,0.0,0.0,320,0,348,0.919544513457557,0.3059514398644833,6.41287784679089,0.0,0.0
qwen,HVAC,occupancy_context,0.054285714285714284,0.030416608424135835,0.0,0.07142857142857142,74,4,348,0.21267080745341613,,,0.05405405405405406,
