scenario_id,decision_type,ref_margin,margin_bin
1,HVAC,0.04699999999999993,"[0.02,0.05)"
2,HVAC,0.0040000000000000036,"[0,0.005)"
3,HVAC,0.020000000000000018,"[0.02,0.05)"
4,HVAC,0.01200000000000001,"[0.01,0.02)"
5,HVAC,0.03149999999999997,"[0.02,0.05)"
6,HVAC,0.03400000000000003,"[0.02,0.05)"
7,HVAC,0.024500000000000077,"[0.02,0.05)"
8,HVAC,0.02749999999999997,"[0.02,0.05)"
9,HVAC,0.031000000000000028,"[0.02,0.05)"
10,HVAC,0.014000000000000012,"[0.01,0.02)"
11,HVAC,0.03749999999999987,"[0.02,0.05)"
12,HVAC,0.02400000000000002,"[0.02,0.05)"
13,HVAC,0.044499999999999984,"[0.02,0.05)"
14,HVAC,0.03149999999999997,"[0.02,0.05)"
15,HVAC,0.030500000000000083,"[0.02,0.05)"
16,HVAC,0.009000000000000008,"[0.005,0.01)"
17,HVAC,0.0025000000000000577,"[0,0.005)"
18,HVAC,0.051000000000000045,>=0.05
19,HVAC,0.015000000000000124,"[0.01,0.02)"
20,HVAC,0.03200000000000003,"[0.02,0.05)"
21,HVAC,0.015000000000000013,"[0.01,0.02)"
22,HVAC,0.012500000000000067,"[0.01,0.02)"
23,HVAC,0.038000000000000034,"[0.02,0.05)"
24,HVAC,0.01650000000000007,"[0.01,0.02)"
25,HVAC,0.008499999999999952,"[0.005,0.01)"
26,HVAC,0.020000000000000018,"[0.02,0.05)"
27,HVAC,0.010500000000000065,"[0.01,0.02)"
28,HVAC,0.025500000000000023,"[0.02,0.05)"
29,HVAC,0.043999999999999956,"[0.02,0.05)"
30,HVAC,0.014000000000000012,"[0.01,0.02)"
31,HVAC,0.0714999999999999,>=0.05
32,HVAC,0.00550000000000006,"[0.005,0.01)"
33,HVAC,0.014000000000000012,"[0.01,0.02)"
34,HVAC,0.011500000000000066,"[0.01,0.02)"
35,HVAC,0.09999999999999998,>=0.05
36,HVAC,0.1369999999999999,>=0.05
37,HVAC,0.020500000000000185,"[0.02,0.05)"
38,HVAC,0.016000000000000014,"[0.01,0.02)"
39,HVAC,0.02100000000000013,"[0.02,0.05)"
40,HVAC,0.0495000000000001,"[0.02,0.05)"
41,HVAC,0.03949999999999998,"[0.02,0.05)"
42,HVAC,0.025999999999999912,"[0.02,0.05)"
43,HVAC,0.006999999999999895,"[0.005,0.01)"
44,HVAC,0.06250000000000022,>=0.05
45,HVAC,0.032500000000000195,"[0.02,0.05)"
46,HVAC,0.019500000000000073,"[0.01,0.02)"
47,HVAC,0.031000000000000028,"[0.02,0.05)"
48,HVAC,0.024499999999999966,"[0.02,0.05)"
49,HVAC,0.030000000000000027,"[0.02,0.05)"
50,HVAC,0.009500000000000008,"[0.005,0.01)"
51,HVAC,0.006000000000000005,"[0.005,0.01)"
52,HVAC,0.028000000000000025,"[0.02,0.05)"
53,HVAC,0.027000000000000024,"[0.02,0.05)"
54,HVAC,0.016000000000000014,"[0.01,0.02)"
55,HVAC,0.138,>=0.05
56,HVAC,0.006000000000000005,"[0.005,0.01)"
57,HVAC,0.034499999999999975,"[0.02,0.05)"
58,HVAC,0.03200000000000003,"[0.02,0.05)"
59,HVAC,0.02000000000000013,"[0.02,0.05)"
60,HVAC,0.014000000000000012,"[0.01,0.02)"
61,HVAC,0.024500000000000077,"[0.02,0.05)"
62,HVAC,0.025500000000000078,"[0.02,0.05)"
63,HVAC,0.0824999999999999,>=0.05
64,HVAC,0.024499999999999855,"[0.02,0.05)"
65,HVAC,0.04200000000000004,"[0.02,0.05)"
66,HVAC,0.05000000000000002,>=0.05
67,HVAC,0.03550000000000009,"[0.02,0.05)"
68,HVAC,0.064,>=0.05
69,HVAC,0.024499999999999966,"[0.02,0.05)"
70,HVAC,0.03400000000000003,"[0.02,0.05)"
71,Appliance,0.12900000000000011,>=0.05
72,Appliance,0.021499999999999964,"[0.02,0.05)"
73,Appliance,0.17099999999999993,>=0.05
74,Appliance,0.09899999999999987,>=0.05
75,Appliance,0.014500000000000013,"[0.01,0.02)"
76,Appliance,0.134,>=0.05
77,Appliance,0.11300000000000004,>=0.05
78,Appliance,0.02200000000000002,"[0.02,0.05)"
79,Appliance,0.09599999999999997,>=0.05
80,Appliance,0.1475000000000002,>=0.05
81,Appliance,0.06600000000000006,>=0.05
82,Appliance,0.2124999999999999,>=0.05
83,Appliance,0.04250000000000004,"[0.02,0.05)"
84,Appliance,0.05350000000000005,>=0.05
85,Appliance,0.07150000000000001,>=0.05
86,Appliance,0.1110000000000001,>=0.05
87,Appliance,0.06799999999999995,>=0.05
88,Appliance,0.04049999999999998,"[0.02,0.05)"
89,Appliance,0.07799999999999996,>=0.05
90,Appliance,0.04050000000000009,"[0.02,0.05)"
91,Appliance,0.10899999999999999,>=0.05
92,Appliance,0.03699999999999998,"[0.02,0.05)"
93,Appliance,0.04450000000000004,"[0.02,0.05)"
94,Appliance,0.1855000000000001,>=0.05
95,Appliance,0.06800000000000006,>=0.05
96,Appliance,0.08999999999999997,>=0.05
97,Appliance,0.0615,>=0.05
98,Appliance,0.21300000000000002,>=0.05
99,Appliance,0.03849999999999987,"[0.02,0.05)"
100,Appliance,0.13700000000000012,>=0.05
101,Appliance,0.01899999999999996,"[0.01,0.02)"
102,Appliance,0.013499999999999956,"[0.01,0.02)"
103,Appliance,0.02849999999999997,"[0.02,0.05)"
104,Appliance,0.07250000000000001,>=0.05
105,Appliance,0.02300000000000002,"[0.02,0.05)"
106,Appliance,0.021999999999999797,"[0.02,0.05)"
107,Appliance,0.006000000000000005,"[0.005,0.01)"
108,Appliance,0.025499999999999967,"[0.02,0.05)"
109,Appliance,0.051000000000000045,>=0.05
110,Appliance,0.061000000000000054,>=0.05
111,Appliance,0.22150000000000014,>=0.05
112,Appliance,0.197,>=0.05
113,Appliance,0.09349999999999992,>=0.05
114,Appliance,0.08999999999999997,>=0.05
115,Appliance,0.07950000000000002,>=0.05
116,Appliance,0.12449999999999994,>=0.05
117,Appliance,0.04600000000000004,"[0.02,0.05)"
118,Appliance,0.13050000000000017,>=0.05
119,Appliance,0.09950000000000014,>=0.05
120,Appliance,0.09250000000000003,>=0.05
121,Appliance,0.09350000000000003,>=0.05
122,Appliance,0.12749999999999995,>=0.05
123,Appliance,0.07450000000000012,>=0.05
124,Appliance,0.061999999999999944,>=0.05
125,Appliance,0.14,>=0.05
126,Appliance,0.17700000000000005,>=0.05
127,Appliance,0.16249999999999998,>=0.05
128,Appliance,0.25,>=0.05
129,Appliance,0.17200000000000004,>=0.05
130,Appliance,0.09399999999999986,>=0.05
131,Appliance,0.12949999999999995,>=0.05
132,Appliance,0.16299999999999992,>=0.05
133,Appliance,0.07900000000000007,>=0.05
134,Appliance,0.11550000000000005,>=0.05
135,Appliance,0.1200000000000001,>=0.05
136,Shower,0.030000000000000027,"[0.02,0.05)"
137,Shower,0.028000000000000025,"[0.02,0.05)"
138,Shower,0.02400000000000002,"[0.02,0.05)"
139,Shower,0.007499999999999951,"[0.005,0.01)"
140,Shower,0.035499999999999976,"[0.02,0.05)"
141,Shower,0.09449999999999992,>=0.05
142,Shower,0.012000000000000122,"[0.01,0.02)"
143,Shower,0.02100000000000002,"[0.02,0.05)"
144,Shower,0.04500000000000015,"[0.02,0.05)"
145,Shower,0.17750000000000005,>=0.05
146,Shower,0.2695,>=0.05
147,Shower,0.12549999999999994,>=0.05
148,Shower,0.08050000000000002,>=0.05
149,Shower,0.14100000000000001,>=0.05
150,Shower,0.2134999999999999,>=0.05
151,Shower,0.0665,>=0.05
152,Shower,0.021500000000000075,"[0.02,0.05)"
153,Shower,0.19150000000000003,>=0.05
154,Shower,0.043500000000000094,"[0.02,0.05)"
155,Shower,0.021500000000000075,"[0.02,0.05)"
156,Shower,0.18099999999999994,>=0.05
157,Shower,0.021500000000000075,"[0.02,0.05)"
158,Shower,0.10399999999999993,>=0.05
159,Shower,0.09799999999999998,>=0.05
160,Shower,0.1459999999999999,>=0.05
161,Shower,0.04799999999999982,"[0.02,0.05)"
162,Shower,0.12350000000000005,>=0.05
163,Shower,0.1499999999999999,>=0.05
164,Shower,0.009999999999999898,"[0.005,0.01)"
165,Shower,0.08600000000000008,>=0.05
166,Shower,0.012500000000000067,"[0.01,0.02)"
167,Shower,0.061999999999999944,>=0.05
168,Shower,0.01750000000000007,"[0.01,0.02)"
169,Shower,0.018000000000000016,"[0.01,0.02)"
170,Shower,0.06800000000000006,>=0.05
171,Shower,0.05300000000000005,>=0.05
172,Shower,0.06750000000000012,>=0.05
173,Shower,0.06099999999999983,>=0.05
174,Shower,0.03649999999999998,"[0.02,0.05)"
175,Shower,0.05900000000000005,>=0.05
176,Shower,0.07899999999999985,>=0.05
177,Shower,0.008499999999999952,"[0.005,0.01)"
178,Shower,0.07899999999999985,>=0.05
179,Shower,0.04300000000000015,"[0.02,0.05)"
180,Shower,0.11149999999999993,>=0.05
181,Shower,0.1419999999999999,>=0.05
182,Shower,0.10200000000000009,>=0.05
183,Shower,0.2859999999999999,>=0.05
184,Shower,0.03749999999999998,"[0.02,0.05)"
185,Shower,0.015000000000000013,"[0.01,0.02)"
186,Shower,0.009999999999999898,"[0.005,0.01)"
187,Shower,0.05900000000000005,>=0.05
188,Shower,0.008499999999999952,"[0.005,0.01)"
189,Shower,0.012000000000000122,"[0.01,0.02)"
190,Shower,0.010000000000000009,"[0.01,0.02)"
191,Shower,0.0119999999999999,"[0.01,0.02)"
192,Shower,0.0029999999999998916,"[0,0.005)"
193,Shower,0.0050000000000000044,"[0.005,0.01)"
194,Shower,0.000500000000000167,"[0,0.005)"
195,Shower,0.01650000000000007,"[0.01,0.02)"
