flip_full,flip_no_clip,flip_no_tank,flip_no_budget,flip_no_round,flip_linear_core,flip_comfort_flat,flip_prac_curve_flat,flip_comfort_and_prac_flat,cross_tank,cross_budget,cross_clip,any_clip_active,tank_hit_any_true,budget_active_any,scenario_id,factor,true_gpm,ref_margin,mechanism
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,136,0.5,1.5,0.030000000000000027,no_flip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,136,0.6,1.5,0.030000000000000027,no_flip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,136,0.7,1.5,0.030000000000000027,no_flip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,136,0.75,1.5,0.030000000000000027,no_flip
False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,136,0.8,1.5,0.030000000000000027,no_flip
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,136,0.9,1.5,0.030000000000000027,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,136,1.1,1.5,0.030000000000000027,no_flip
False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,136,1.2,1.5,0.030000000000000027,no_flip
False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,136,1.25,1.5,0.030000000000000027,no_flip
True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,136,1.33,1.5,0.030000000000000027,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,136,1.5,1.5,0.030000000000000027,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,136,1.75,1.5,0.030000000000000027,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,136,2.0,1.5,0.030000000000000027,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,137,0.5,1.5,0.028000000000000025,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,137,0.6,1.5,0.028000000000000025,needs_clip
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,137,0.7,1.5,0.028000000000000025,no_flip
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,137,0.75,1.5,0.028000000000000025,no_flip
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,137,0.8,1.5,0.028000000000000025,no_flip
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,137,0.9,1.5,0.028000000000000025,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,137,1.1,1.5,0.028000000000000025,no_flip
False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,137,1.2,1.5,0.028000000000000025,no_flip
False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,137,1.25,1.5,0.028000000000000025,no_flip
False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,137,1.33,1.5,0.028000000000000025,no_flip
True,True,False,True,True,False,False,True,False,True,False,True,True,False,False,137,1.5,1.5,0.028000000000000025,needs_tank
True,True,False,True,True,False,False,True,False,True,False,True,True,False,False,137,1.75,1.5,0.028000000000000025,needs_tank
