factor,n,flip_rate_full,flip_rate_linear_core,flip_rate_no_clip,flip_rate_no_tank,flip_rate_no_budget,flip_rate_no_round,flip_rate_comfort_flat,flip_rate_prac_curve_flat,flip_rate_comfort_and_prac_flat,n_flips,share_survive_linear_core,share_needs_tank,share_needs_clip,share_needs_budget,share_needs_round,share_cross_tank,share_cross_clip,share_cross_budget
0.5,60,0.5666666666666667,0.48333333333333334,0.55,0.5166666666666667,0.5666666666666667,0.55,0.5333333333333333,0.4,0.0,34,0.7941176470588235,0.11764705882352941,0.029411764705882353,0.0,0.058823529411764705,0.8235294117647058,0.6470588235294118,0.0
0.6,60,0.5,0.4,0.48333333333333334,0.43333333333333335,0.5,0.48333333333333334,0.31666666666666665,0.2833333333333333,0.0,30,0.8,0.13333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.7666666666666667,0.43333333333333335,0.0
0.7,60,0.35,0.3,0.35,0.31666666666666665,0.35,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,21,0.7619047619047619,0.19047619047619047,0.0,0.0,0.047619047619047616,0.6666666666666666,0.42857142857142855,0.0
0.75,60,0.3333333333333333,0.3,0.3333333333333333,0.31666666666666665,0.3333333333333333,0.31666666666666665,0.15,0.1,0.0,20,0.8,0.15,0.0,0.0,0.05,0.65,0.4,0.0
0.8,60,0.2833333333333333,0.25,0.26666666666666666,0.25,0.2833333333333333,0.2833333333333333,0.11666666666666667,0.1,0.0,17,0.7647058823529411,0.23529411764705882,0.058823529411764705,0.0,0.058823529411764705,0.5882352941176471,0.4117647058823529,0.0
0.9,60,0.15,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.15,0.15,0.05,0.016666666666666666,0.0,9,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.0
1.1,60,0.06666666666666667,0.11666666666666667,0.08333333333333333,0.1,0.06666666666666667,0.08333333333333333,0.0,0.016666666666666666,0.0,4,0.75,0.25,0.0,0.0,0.0,0.25,0.25,0.0
1.2,60,0.1,0.16666666666666666,0.11666666666666667,0.15,0.1,0.11666666666666667,0.0,0.03333333333333333,0.0,6,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0
1.25,60,0.1,0.23333333333333334,0.13333333333333333,0.15,0.1,0.15,0.0,0.03333333333333333,0.0,6,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0
1.33,60,0.16666666666666666,0.26666666666666666,0.18333333333333332,0.21666666666666667,0.16666666666666666,0.2,0.0,0.05,0.0,10,1.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0
1.5,60,0.23333333333333334,0.26666666666666666,0.21666666666666667,0.25,0.23333333333333334,0.25,0.016666666666666666,0.05,0.0,14,0.8571428571428571,0.14285714285714285,0.07142857142857142,0.0,0.0,0.7142857142857143,0.35714285714285715,0.07142857142857142
1.75,60,0.3,0.26666666666666666,0.25,0.31666666666666665,0.3,0.3,0.03333333333333333,0.06666666666666667,0.0,18,0.6666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.05555555555555555,0.7222222222222222,0.4444444444444444,0.16666666666666666
2.0,60,0.35,0.31666666666666665,0.25,0.38333333333333336,0.35,0.36666666666666664,0.08333333333333333,0.11666666666666667,0.0,21,0.7142857142857143,0.047619047619047616,0.2857142857142857,0.0,0.0,0.6666666666666666,0.8095238095238095,0.19047619047619047
