item,value
peak_over_offpeak_ratio,1.0665983606557377
peak_minus_offpeak_as_share_of_peak,0.062439961575408216
peak_minus_offpeak_as_share_of_offpeak,0.06659836065573765
appliance_test_mean_within_scenario_range_energy_cost,0.22984615384615387
appliance_test_share_scenarios_zero_range_energy_cost,0.27692307692307694
appliance_test_mean_within_scenario_range_environmental,0.0256923076923077
appliance_test_share_scenarios_zero_range_environmental,0.3230769230769231
appliance_test_mean_within_scenario_range_comfort,0.4656923076923077
appliance_test_share_scenarios_zero_range_comfort,0.0
appliance_test_mean_within_scenario_range_practicality,0.6093846153846153
appliance_test_share_scenarios_zero_range_practicality,0.0
appliance_all_gt_max_raw_emissions_contrast_within_scenario,0.06849315068493156
appliance_all_gt_share_scenarios_with_any_raw_emissions_contrast,0.72
appliance_env_score_gap_per_kwh_peak_vs_offpeak,0.01937406855439641
