model,arch,variant,decision_type,n_runs,mean_n_scored,stored_tau,stored_tau_sd,stored_top1,top1_vs_current_ref,mean_tau_nan_scenarios,main_benchmark_tau,main_benchmark_top1
deepseek,A_D,control,Overall,10,195.0,0.13097768317293595,0.03525504963779495,0.3943589743589744,0.40307692307692305,0.9,0.144,0.36682000000000003
deepseek,A_D,control,HVAC,10,70.0,-0.06380721271190008,0.07061220884947154,0.30142857142857143,0.30142857142857143,0.9,-0.10210000000000001,0.19788
deepseek,A_D,control,Appliance,10,65.0,0.01133385667406853,0.04126143819869951,0.33692307692307694,0.33384615384615385,0.0,0.029339999999999998,0.31706
deepseek,A_D,control,Shower,10,60.0,0.48446967093613813,0.06638121792711481,0.5650000000000001,0.5966666666666667,0.0,0.5576399999999999,0.6194200000000001
deepseek,A_D,no_anchors,Overall,10,194.9,0.14737376822139803,0.021350086605204523,0.45819191118160185,0.4705022468939995,1.1,,
deepseek,A_D,no_anchors,HVAC,10,70.0,-0.11771245434785205,0.05197714881720148,0.2314285714285714,0.22999999999999998,0.2,,
deepseek,A_D,no_anchors,Appliance,10,64.9,0.34972958317558717,0.05771870152786982,0.6425721153846153,0.6394711538461538,0.9,,
deepseek,A_D,no_anchors,Shower,10,60.0,0.24003089601632505,0.08588018140902233,0.5233333333333333,0.5683333333333334,0.0,,
deepseek,A_E,control,Overall,5,195.0,0.3044448320960081,0.029592046363312776,0.5517948717948717,0.5435897435897437,0.8,0.30667999999999995,0.5353800000000001
deepseek,A_E,control,HVAC,5,70.0,0.040439916083248165,0.03703378876631026,0.38,0.3771428571428571,0.4,0.04188,0.32856
deepseek,A_E,control,Appliance,5,65.0,0.3595775927727451,0.04979833948357942,0.6861538461538462,0.68,0.2,0.41744000000000003,0.70152
deepseek,A_E,control,Shower,5,60.0,0.5521422888875313,0.041450474870300985,0.6066666666666667,0.59,0.2,0.49558,0.5966799999999999
gemini,A_D,control,Overall,3,195.0,0.1881205303542168,0.021114797102749144,0.35213675213675216,0.35213675213675216,0.0,0.17606,0.36206000000000005
gemini,A_D,control,HVAC,3,70.0,0.04928652421780449,0.02153211699074531,0.29523809523809524,0.29047619047619044,0.0,-0.03236,0.25427999999999995
gemini,A_D,control,Appliance,3,65.0,-0.0007683585346721257,0.035922096661023695,0.2564102564102564,0.2564102564102564,0.0,-0.021539999999999997,0.24924
gemini,A_D,control,Shower,3,60.0,0.5547231671429941,0.023385442990596608,0.5222222222222223,0.5277777777777778,0.0,0.6333399999999999,0.61
gemini,A_D,no_anchors,Overall,3,195.0,0.12623960698416914,0.007455409966836868,0.36068376068376073,0.37094017094017095,0.0,,
gemini,A_D,no_anchors,HVAC,3,70.0,-0.22983803011290904,0.020372417852212475,0.13333333333333333,0.12857142857142856,0.0,,
gemini,A_D,no_anchors,Appliance,3,65.0,0.0024777602440737775,0.012821385025402577,0.27692307692307694,0.27692307692307694,0.0,,
gemini,A_D,no_anchors,Shower,3,60.0,0.6757388508991969,0.02766530505971887,0.7166666666666667,0.7555555555555555,0.0,,
gemini,A_E,control,Overall,3,195.0,0.3253524791630458,0.008050924379115237,0.47692307692307695,0.4837606837606838,0.3333333333333333,0.30986,0.48708
gemini,A_E,control,HVAC,3,70.0,-0.051507126575846295,0.006943692619144522,0.20476190476190478,0.20476190476190478,0.0,-0.11621999999999999,0.15283999999999998
gemini,A_E,control,Appliance,3,65.0,0.33958476364774365,0.023657969181394872,0.558974358974359,0.5538461538461539,0.3333333333333333,0.34409999999999996,0.56308
