model,variant,arch,decision_type,share_scenario_runs_stored_top1_equals_current
deepseek,control,AD,HVAC,1.0
deepseek,control,AD,Appliance,0.9969230769230769
deepseek,control,AD,Shower,0.9316666666666666
deepseek,no_anchors,AD,HVAC,0.9985714285714286
deepseek,no_anchors,AD,Appliance,0.9938366718027735
deepseek,no_anchors,AD,Shower,0.9116666666666666
deepseek,control,AE,HVAC,0.9971428571428571
deepseek,control,AE,Appliance,0.9938461538461538
deepseek,control,AE,Shower,0.91
gemini,control,AD,HVAC,0.9952380952380953
gemini,control,AD,Appliance,1.0
gemini,control,AD,Shower,0.9166666666666666
gemini,no_anchors,AD,HVAC,0.9952380952380953
gemini,no_anchors,AD,Appliance,1.0
gemini,no_anchors,AD,Shower,0.9166666666666666
gemini,control,AE,HVAC,1.0
gemini,control,AE,Appliance,0.9948717948717949
gemini,control,AE,Shower,0.9055555555555556
gptoss,control,AD,HVAC,0.9942857142857143
gptoss,control,AD,Appliance,1.0
gptoss,control,AD,Shower,0.9333333333333333
gptoss,no_anchors,AD,HVAC,0.9957081545064378
gptoss,no_anchors,AD,Appliance,0.9953846153846154
gptoss,no_anchors,AD,Shower,0.9183333333333333
gptoss,control,AE,HVAC,0.9942857142857143
gptoss,control,AE,Appliance,1.0
gptoss,control,AE,Shower,0.92
qwen,control,AD,HVAC,1.0
qwen,control,AD,Appliance,0.9969135802469136
qwen,control,AD,Shower,0.9483333333333334
qwen,no_anchors,AD,HVAC,0.9971428571428571
qwen,no_anchors,AD,Appliance,1.0
qwen,no_anchors,AD,Shower,0.945
qwen,control,AE,HVAC,1.0
qwen,control,AE,Appliance,0.9969230769230769
qwen,control,AE,Shower,0.9266666666666666
