model,architecture,run,decision_type,scenario_id,kendall_tau,overall_mae,top1_accuracy,top2_accuracy
gptoss,Direct_LLM_Scoring,1,HVAC,1,-0.33333333333333337,0.16333333333333336,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,2,1.0,0.2791666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,3,1.0,0.09166666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,4,-1.0,0.2241666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,HVAC,5,-0.33333333333333337,0.12583333333333335,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,6,-1.0,0.46749999999999997,0.0,0.0
gptoss,Direct_LLM_Scoring,1,HVAC,7,-1.0,0.3933333333333335,0.0,0.0
gptoss,Direct_LLM_Scoring,1,HVAC,8,0.33333333333333337,0.14916666666666664,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,9,0.33333333333333337,0.2625,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,10,-0.33333333333333337,0.2925,0.0,0.0
gptoss,Direct_LLM_Scoring,1,HVAC,11,1.0,0.23166666666666666,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,12,-0.33333333333333337,0.2933333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,13,1.0,0.4025000000000001,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,14,-0.33333333333333337,0.20999999999999996,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,15,-0.33333333333333337,0.1991666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,16,1.0,0.2675,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,17,-0.33333333333333337,0.12,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,18,1.0,0.25750000000000006,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,19,-0.33333333333333337,0.10749999999999997,0.0,0.0
gptoss,Direct_LLM_Scoring,1,HVAC,20,-0.33333333333333337,0.12833333333333333,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,21,-0.33333333333333337,0.2816666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,22,-0.33333333333333337,0.11333333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,1,HVAC,23,-0.33333333333333337,0.19999999999999998,0.0,0.0
gptoss,Direct_LLM_Scoring,1,HVAC,24,0.33333333333333337,0.16666666666666666,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,25,0.33333333333333337,0.15500000000000003,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,26,1.0,0.2283333333333334,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,27,1.0,0.16333333333333333,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,28,0.33333333333333337,0.2575,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,29,0.33333333333333337,0.19666666666666668,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,30,-0.33333333333333337,0.0733333333333333,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,31,0.33333333333333337,0.13083333333333333,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,32,1.0,0.18083333333333337,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,33,-0.33333333333333337,0.09916666666666667,0.0,1.0
