model,arch,run,decision_type,n,mean_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,random_pick_regret
gptoss,A_D,1,Overall,195,0.06072051282051282,0.3230769230769231,0.3230769230769231,132,0.08970075757575759,0.06951794871794871
gptoss,A_D,1,HVAC,70,0.02912142857142859,0.42857142857142855,0.42857142857142855,40,0.05096250000000004,0.037216666666666676
gptoss,A_D,1,Appliance,65,0.09945384615384617,0.23076923076923078,0.23076923076923078,50,0.12929000000000002,0.0898051282051282
gptoss,A_D,1,Shower,60,0.055624999999999994,0.3,0.3,42,0.0794642857142857,0.08522499999999998
gptoss,A_D,2,Overall,195,0.0635974358974359,0.3076923076923077,0.3076923076923077,135,0.09186296296296298,0.06951794871794871
gptoss,A_D,2,HVAC,70,0.03814285714285715,0.32857142857142857,0.32857142857142857,47,0.05680851063829787,0.037216666666666676
gptoss,A_D,2,Appliance,65,0.09886153846153847,0.2923076923076923,0.2923076923076923,46,0.13969565217391308,0.0898051282051282
gptoss,A_D,2,Shower,60,0.05509166666666666,0.3,0.3,42,0.07870238095238093,0.08522499999999998
gptoss,A_D,3,Overall,195,0.05934871794871796,0.358974358974359,0.358974358974359,125,0.09258400000000003,0.06951794871794871
gptoss,A_D,3,HVAC,70,0.027814285714285732,0.37142857142857144,0.37142857142857144,44,0.04425000000000002,0.037216666666666676
gptoss,A_D,3,Appliance,65,0.09358461538461539,0.3384615384615385,0.3384615384615385,43,0.1414651162790698,0.0898051282051282
gptoss,A_D,3,Shower,60,0.059050000000000005,0.36666666666666664,0.36666666666666664,38,0.09323684210526316,0.08522499999999998
gptoss,A_D,4,Overall,195,0.05844358974358974,0.358974358974359,0.358974358974359,125,0.09117200000000002,0.06951794871794871
gptoss,A_D,4,HVAC,70,0.026000000000000013,0.45714285714285713,0.45714285714285713,38,0.04789473684210528,0.037216666666666676
gptoss,A_D,4,Appliance,65,0.09592307692307693,0.27692307692307694,0.27692307692307694,47,0.1326595744680851,0.0898051282051282
gptoss,A_D,4,Shower,60,0.05569166666666666,0.3333333333333333,0.3333333333333333,40,0.08353749999999999,0.08522499999999998
gptoss,A_D,5,Overall,195,0.06566666666666668,0.31794871794871793,0.31794871794871793,133,0.09627819548872181,0.06951794871794871
gptoss,A_D,5,HVAC,70,0.03215000000000001,0.4,0.4,42,0.05358333333333335,0.037216666666666676
