model,arch,decision_type,n,mean_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,random_pick_regret,n_runs
gptoss,A_D,Overall,195.0,0.06155538461538462,0.33333333333333337,0.33333333333333337,130.0,0.09231958320548848,0.06951794871794871,5
gptoss,A_D,HVAC,70.0,0.030645714285714297,0.39714285714285713,0.39714285714285713,42.2,0.05069981616274731,0.037216666666666676,5
gptoss,A_D,Appliance,65.0,0.10023076923076926,0.26769230769230773,0.26769230769230773,47.6,0.1369547608919059,0.0898051282051282,5
gptoss,A_D,Shower,60.0,0.05571833333333333,0.32999999999999996,0.32999999999999996,40.2,0.0833369197031039,0.08522499999999998,5
gptoss,A_E,Overall,195.0,0.04274205128205129,0.47384615384615386,0.47384615384615386,102.6,0.08124032670172451,0.06951794871794871,5
gptoss,A_E,HVAC,70.0,0.022668571428571444,0.4685714285714286,0.4685714285714286,37.2,0.04247513143665453,0.037216666666666676,5
gptoss,A_E,Appliance,65.0,0.08647230769230771,0.3046153846153846,0.3046153846153846,45.2,0.12431870478036178,0.0898051282051282,5
gptoss,A_E,Shower,60.0,0.018786666666666667,0.6633333333333333,0.6633333333333333,20.2,0.05538884057971013,0.08522499999999998,5
gptoss,A_H,Overall,171.6,0.0015408394868251323,0.917283010327167,0.917283010327167,14.2,0.01870714285714286,0.07423751589787789,5
gptoss,A_H,HVAC,46.6,0.0006239299113584819,0.9398771387342816,0.9398771387342816,2.8,0.009491666666666652,0.038342118119975274,5
gptoss,A_H,Appliance,65.0,0.00016615384615384563,0.9876923076923078,0.9876923076923078,0.8,0.013499999999999956,0.0898051282051282,5
gptoss,A_H,Shower,60.0,0.003745000000000001,0.8233333333333335,0.8233333333333335,10.6,0.020911919191919204,0.08522499999999998,5
qwen,A_D,Overall,194.6,0.06914955326460481,0.30013745704467354,0.30013745704467354,136.2,0.09873060071845849,0.06952056304520221,5
qwen,A_D,HVAC,69.8,0.036046583850931686,0.32654244306418223,0.32654244306418223,47.0,0.053637624837168926,0.03724483091787441,5
qwen,A_D,Appliance,64.8,0.09653432692307694,0.23149038461538463,0.23149038461538463,49.8,0.1255037431915483,0.08974514423076922,5
qwen,A_D,Shower,60.0,0.078105,0.3433333333333334,0.3433333333333334,39.4,0.11796723879723878,0.08522499999999998,5
qwen,A_E,Overall,195.0,0.04680410256410257,0.46564102564102566,0.46564102564102566,104.2,0.08753761486161968,0.06951794871794871,5
qwen,A_E,HVAC,70.0,0.02975142857142859,0.41142857142857137,0.41142857142857137,41.2,0.05044991319456439,0.037216666666666676,5
qwen,A_E,Appliance,65.0,0.05958769230769232,0.52,0.52,31.2,0.12383455882352945,0.0898051282051282,5
qwen,A_E,Shower,60.0,0.052849999999999994,0.47000000000000003,0.47000000000000003,31.8,0.09947890114379085,0.08522499999999998,5
qwen,A_H,Overall,194.6,0.003282741210679356,0.8972402854877082,0.8972402854877082,20.0,0.03219949675324676,0.06961936029606132,5
qwen,A_H,HVAC,69.6,0.0027086749482401673,0.8736645962732918,0.8736645962732918,8.8,0.021812121212121227,0.037314541062801944,5
qwen,A_H,Appliance,65.0,0.004124615384615386,0.9292307692307693,0.9292307692307693,4.6,0.058951666666666694,0.0898051282051282,5
qwen,A_H,Shower,60.0,0.0030366666666666654,0.89,0.89,6.6,0.028010317460317447,0.08522499999999998,5
