model,arch,run,decision_type,n,any_tie_share,top_tie_share,top_tie_input_order_share
gptoss,A_D,1,Overall,195,0.11794871794871795,0.07692307692307693,1.0
gptoss,A_D,1,HVAC,70,0.21428571428571427,0.11428571428571428,1.0
gptoss,A_D,1,Appliance,65,0.0,0.0,
gptoss,A_D,1,Shower,60,0.13333333333333333,0.11666666666666667,1.0
gptoss,A_D,2,Overall,195,0.15897435897435896,0.05641025641025641,0.8181818181818182
gptoss,A_D,2,HVAC,70,0.3,0.08571428571428572,0.8333333333333334
gptoss,A_D,2,Appliance,65,0.06153846153846154,0.03076923076923077,0.5
gptoss,A_D,2,Shower,60,0.1,0.05,1.0
gptoss,A_D,3,Overall,195,0.09743589743589744,0.05641025641025641,0.8181818181818182
gptoss,A_D,3,HVAC,70,0.15714285714285714,0.11428571428571428,0.875
gptoss,A_D,3,Appliance,65,0.015384615384615385,0.0,
gptoss,A_D,3,Shower,60,0.11666666666666667,0.05,0.6666666666666666
gptoss,A_D,4,Overall,195,0.1282051282051282,0.07692307692307693,0.8666666666666667
gptoss,A_D,4,HVAC,70,0.22857142857142856,0.14285714285714285,0.8
gptoss,A_D,4,Appliance,65,0.015384615384615385,0.0,
gptoss,A_D,4,Shower,60,0.13333333333333333,0.08333333333333333,1.0
gptoss,A_D,5,Overall,195,0.1282051282051282,0.08717948717948718,0.8823529411764706
gptoss,A_D,5,HVAC,70,0.3,0.21428571428571427,0.8666666666666667
gptoss,A_D,5,Appliance,65,0.0,0.0,
gptoss,A_D,5,Shower,60,0.06666666666666667,0.03333333333333333,1.0
gptoss,A_E,1,Overall,195,0.046153846153846156,0.020512820512820513,0.75
gptoss,A_E,1,HVAC,70,0.07142857142857142,0.02857142857142857,1.0
gptoss,A_E,1,Appliance,65,0.046153846153846156,0.03076923076923077,0.5
gptoss,A_E,1,Shower,60,0.016666666666666666,0.0,
gptoss,A_E,2,Overall,195,0.05641025641025641,0.041025641025641026,0.875
gptoss,A_E,2,HVAC,70,0.07142857142857142,0.07142857142857142,0.8
gptoss,A_E,2,Appliance,65,0.06153846153846154,0.03076923076923077,1.0
gptoss,A_E,2,Shower,60,0.03333333333333333,0.016666666666666666,1.0
gptoss,A_E,3,Overall,195,0.06666666666666667,0.035897435897435895,0.5714285714285714
gptoss,A_E,3,HVAC,70,0.07142857142857142,0.04285714285714286,0.3333333333333333
gptoss,A_E,3,Appliance,65,0.1076923076923077,0.06153846153846154,0.75
gptoss,A_E,3,Shower,60,0.016666666666666666,0.0,
gptoss,A_E,4,Overall,195,0.06666666666666667,0.041025641025641026,0.75
gptoss,A_E,4,HVAC,70,0.08571428571428572,0.04285714285714286,0.6666666666666666
gptoss,A_E,4,Appliance,65,0.06153846153846154,0.046153846153846156,1.0
gptoss,A_E,4,Shower,60,0.05,0.03333333333333333,0.5
gptoss,A_E,5,Overall,195,0.05641025641025641,0.02564102564102564,0.6
gptoss,A_E,5,HVAC,70,0.1,0.05714285714285714,0.75
gptoss,A_E,5,Appliance,65,0.015384615384615385,0.0,
gptoss,A_E,5,Shower,60,0.05,0.016666666666666666,0.0
gptoss,A_H,1,Overall,170,0.0058823529411764705,0.0,
gptoss,A_H,1,HVAC,45,0.022222222222222223,0.0,
gptoss,A_H,1,Appliance,65,0.0,0.0,
gptoss,A_H,1,Shower,60,0.0,0.0,
gptoss,A_H,2,Overall,169,0.005917159763313609,0.0,
gptoss,A_H,2,HVAC,44,0.022727272727272728,0.0,
gptoss,A_H,2,Appliance,65,0.0,0.0,
gptoss,A_H,2,Shower,60,0.0,0.0,
gptoss,A_H,3,Overall,174,0.005747126436781609,0.0,
gptoss,A_H,3,HVAC,49,0.02040816326530612,0.0,
gptoss,A_H,3,Appliance,65,0.0,0.0,
gptoss,A_H,3,Shower,60,0.0,0.0,
gptoss,A_H,4,Overall,175,0.005714285714285714,0.0,
gptoss,A_H,4,HVAC,50,0.02,0.0,
gptoss,A_H,4,Appliance,65,0.0,0.0,
gptoss,A_H,4,Shower,60,0.0,0.0,
gptoss,A_H,5,Overall,170,0.0058823529411764705,0.0,
gptoss,A_H,5,HVAC,45,0.022222222222222223,0.0,
gptoss,A_H,5,Appliance,65,0.0,0.0,
gptoss,A_H,5,Shower,60,0.0,0.0,
qwen,A_D,1,Overall,195,0.17435897435897435,0.08205128205128205,0.9375
qwen,A_D,1,HVAC,70,0.12857142857142856,0.07142857142857142,1.0
qwen,A_D,1,Appliance,65,0.16923076923076924,0.046153846153846156,0.6666666666666666
qwen,A_D,1,Shower,60,0.23333333333333334,0.13333333333333333,1.0
qwen,A_D,2,Overall,195,0.26153846153846155,0.08717948717948718,0.8823529411764706
qwen,A_D,2,HVAC,70,0.17142857142857143,0.08571428571428572,0.6666666666666666
qwen,A_D,2,Appliance,65,0.2923076923076923,0.046153846153846156,1.0
qwen,A_D,2,Shower,60,0.3333333333333333,0.13333333333333333,1.0
qwen,A_D,3,Overall,194,0.1958762886597938,0.07731958762886598,0.9333333333333333
qwen,A_D,3,HVAC,70,0.08571428571428572,0.04285714285714286,1.0
qwen,A_D,3,Appliance,64,0.234375,0.046875,0.6666666666666666
qwen,A_D,3,Shower,60,0.2833333333333333,0.15,1.0
qwen,A_D,4,Overall,195,0.19487179487179487,0.07692307692307693,1.0
qwen,A_D,4,HVAC,70,0.11428571428571428,0.014285714285714285,1.0
qwen,A_D,4,Appliance,65,0.2153846153846154,0.06153846153846154,1.0
qwen,A_D,4,Shower,60,0.26666666666666666,0.16666666666666666,1.0
qwen,A_D,5,Overall,194,0.23711340206185566,0.11855670103092783,1.0
qwen,A_D,5,HVAC,69,0.21739130434782608,0.14492753623188406,1.0
qwen,A_D,5,Appliance,65,0.2153846153846154,0.06153846153846154,1.0
qwen,A_D,5,Shower,60,0.2833333333333333,0.15,1.0
qwen,A_E,1,Overall,195,0.09230769230769231,0.05128205128205128,1.0
qwen,A_E,1,HVAC,70,0.11428571428571428,0.05714285714285714,1.0
qwen,A_E,1,Appliance,65,0.046153846153846156,0.03076923076923077,1.0
qwen,A_E,1,Shower,60,0.11666666666666667,0.06666666666666667,1.0
qwen,A_E,2,Overall,195,0.07692307692307693,0.035897435897435895,1.0
qwen,A_E,2,HVAC,70,0.1,0.04285714285714286,1.0
qwen,A_E,2,Appliance,65,0.046153846153846156,0.046153846153846156,1.0
qwen,A_E,2,Shower,60,0.08333333333333333,0.016666666666666666,1.0
qwen,A_E,3,Overall,195,0.2,0.13333333333333333,0.9230769230769231
qwen,A_E,3,HVAC,70,0.2571428571428571,0.15714285714285714,1.0
qwen,A_E,3,Appliance,65,0.18461538461538463,0.15384615384615385,0.8
qwen,A_E,3,Shower,60,0.15,0.08333333333333333,1.0
qwen,A_E,4,Overall,195,0.14358974358974358,0.05641025641025641,0.9090909090909091
qwen,A_E,4,HVAC,70,0.12857142857142856,0.04285714285714286,1.0
qwen,A_E,4,Appliance,65,0.09230769230769231,0.06153846153846154,0.75
qwen,A_E,4,Shower,60,0.21666666666666667,0.06666666666666667,1.0
qwen,A_E,5,Overall,195,0.12307692307692308,0.07692307692307693,0.8666666666666667
qwen,A_E,5,HVAC,70,0.12857142857142856,0.02857142857142857,1.0
qwen,A_E,5,Appliance,65,0.12307692307692308,0.12307692307692308,0.75
qwen,A_E,5,Shower,60,0.11666666666666667,0.08333333333333333,1.0
qwen,A_H,1,Overall,194,0.005154639175257732,0.0,
qwen,A_H,1,HVAC,69,0.014492753623188406,0.0,
qwen,A_H,1,Appliance,65,0.0,0.0,
qwen,A_H,1,Shower,60,0.0,0.0,
qwen,A_H,2,Overall,195,0.010256410256410256,0.005128205128205128,1.0
qwen,A_H,2,HVAC,70,0.02857142857142857,0.014285714285714285,1.0
qwen,A_H,2,Appliance,65,0.0,0.0,
qwen,A_H,2,Shower,60,0.0,0.0,
qwen,A_H,3,Overall,195,0.010256410256410256,0.0,
qwen,A_H,3,HVAC,70,0.02857142857142857,0.0,
qwen,A_H,3,Appliance,65,0.0,0.0,
qwen,A_H,3,Shower,60,0.0,0.0,
qwen,A_H,4,Overall,194,0.005154639175257732,0.0,
qwen,A_H,4,HVAC,69,0.014492753623188406,0.0,
qwen,A_H,4,Appliance,65,0.0,0.0,
qwen,A_H,4,Shower,60,0.0,0.0,
qwen,A_H,5,Overall,195,0.005128205128205128,0.0,
qwen,A_H,5,HVAC,70,0.014285714285714285,0.0,
qwen,A_H,5,Appliance,65,0.0,0.0,
qwen,A_H,5,Shower,60,0.0,0.0,
