model,arch,decision_type,n_runs,any_tie_share,top_tie_share,top_tie_input_order_share
gptoss,A_D,Overall,5,0.12615384615384614,0.07076923076923078,0.8770766488413548
gptoss,A_D,HVAC,5,0.24,0.13428571428571429,0.875
gptoss,A_D,Appliance,5,0.018461538461538463,0.006153846153846154,0.5
gptoss,A_D,Shower,5,0.11000000000000001,0.06666666666666667,0.9333333333333332
gptoss,A_E,Overall,5,0.05846153846153847,0.03282051282051282,0.7092857142857143
gptoss,A_E,HVAC,5,0.08,0.04857142857142857,0.71
gptoss,A_E,Appliance,5,0.05846153846153847,0.033846153846153845,0.8125
gptoss,A_E,Shower,5,0.03333333333333334,0.013333333333333332,0.5
gptoss,A_H,Overall,5,0.005828655559346775,0.0,
gptoss,A_H,HVAC,5,0.02151597608740466,0.0,
gptoss,A_H,Appliance,5,0.0,0.0,
gptoss,A_H,Shower,5,0.0,0.0,
qwen,A_D,Overall,5,0.21275178429817604,0.088406026962728,0.9506372549019607
qwen,A_D,HVAC,5,0.14347826086956522,0.07184265010351967,0.9333333333333332
qwen,A_D,Appliance,5,0.22533653846153845,0.05245192307692308,0.8666666666666666
qwen,A_D,Shower,5,0.27999999999999997,0.14666666666666667,1.0
qwen,A_E,Overall,5,0.12717948717948718,0.07076923076923076,0.9397668997668998
qwen,A_E,HVAC,5,0.1457142857142857,0.06571428571428571,1.0
qwen,A_E,Appliance,5,0.09846153846153846,0.08307692307692308,0.86
qwen,A_E,Shower,5,0.13666666666666666,0.06333333333333332,1.0
qwen,A_H,Overall,5,0.007190060798308221,0.0010256410256410256,1.0
qwen,A_H,HVAC,5,0.02008281573498965,0.002857142857142857,1.0
qwen,A_H,Appliance,5,0.0,0.0,
qwen,A_H,Shower,5,0.0,0.0,
