phase,quantity,model,decision_type,metric,value,note
after,AH_pipeline,deepseek,Overall,kendall_tau,0.89732,
after,AH_pipeline,deepseek,Overall,top1,0.9076000000000001,
after,AH_pipeline,deepseek,Overall,mae,0.044840000000000005,
after,AH_pipeline,deepseek,Overall,n_scored,974,
after,AH_pipeline,deepseek,HVAC,kendall_tau,0.91974,
after,AH_pipeline,deepseek,HVAC,top1,0.9197599999999999,
after,AH_pipeline,deepseek,HVAC,mae,0.044719999999999996,
after,AH_pipeline,deepseek,HVAC,n_scored,349,
after,AH_pipeline,deepseek,Appliance,kendall_tau,0.9753999999999999,
after,AH_pipeline,deepseek,Appliance,top1,0.9846,
after,AH_pipeline,deepseek,Appliance,mae,0.04035999999999999,
after,AH_pipeline,deepseek,Appliance,n_scored,325,
after,AH_pipeline,deepseek,Shower,kendall_tau,0.78668,
after,AH_pipeline,deepseek,Shower,top1,0.8099999999999999,
after,AH_pipeline,deepseek,Shower,mae,0.049740000000000006,
after,AH_pipeline,deepseek,Shower,n_scored,300,
after,AH_pipeline,deepseek,Overall,success_rate,0.9989743589743589,
after,AH_pipeline,gemini,Overall,kendall_tau,0.9234399999999999,
after,AH_pipeline,gemini,Overall,top1,0.93126,
after,AH_pipeline,gemini,Overall,mae,0.04768,
after,AH_pipeline,gemini,Overall,n_scored,975,
after,AH_pipeline,gemini,HVAC,kendall_tau,0.9771599999999999,
after,AH_pipeline,gemini,HVAC,top1,0.9656800000000001,
after,AH_pipeline,gemini,HVAC,mae,0.029559999999999996,
after,AH_pipeline,gemini,HVAC,n_scored,350,
after,AH_pipeline,gemini,Appliance,kendall_tau,0.959,
after,AH_pipeline,gemini,Appliance,top1,0.9692000000000001,
after,AH_pipeline,gemini,Appliance,mae,0.06654,
after,AH_pipeline,gemini,Appliance,n_scored,325,
after,AH_pipeline,gemini,Shower,kendall_tau,0.8222000000000002,
after,AH_pipeline,gemini,Shower,top1,0.85,
after,AH_pipeline,gemini,Shower,mae,0.048380000000000006,
after,AH_pipeline,gemini,Shower,n_scored,300,
after,AH_pipeline,gemini,Overall,success_rate,1.0,
after,AH_pipeline,gptoss,Overall,kendall_tau,0.8974400000000001,
after,AH_pipeline,gptoss,Overall,top1,0.9173,
after,AH_pipeline,gptoss,Overall,mae,0.051879999999999996,
after,AH_pipeline,gptoss,Overall,n_scored,858,
after,AH_pipeline,gptoss,HVAC,kendall_tau,0.94284,
after,AH_pipeline,gptoss,HVAC,top1,0.9398799999999999,
after,AH_pipeline,gptoss,HVAC,mae,0.05114,
after,AH_pipeline,gptoss,HVAC,n_scored,233,
after,AH_pipeline,gptoss,Appliance,kendall_tau,0.9671800000000002,
after,AH_pipeline,gptoss,Appliance,top1,0.9876799999999999,
after,AH_pipeline,gptoss,Appliance,mae,0.051500000000000004,
after,AH_pipeline,gptoss,Appliance,n_scored,325,
after,AH_pipeline,gptoss,Shower,kendall_tau,0.7866800000000002,
after,AH_pipeline,gptoss,Shower,top1,0.82334,
after,AH_pipeline,gptoss,Shower,mae,0.05282,
after,AH_pipeline,gptoss,Shower,n_scored,300,
after,AH_pipeline,gptoss,Overall,success_rate,0.88,
after,AH_pipeline,qwen,Overall,kendall_tau,0.8801,
after,AH_pipeline,qwen,Overall,top1,0.89724,
after,AH_pipeline,qwen,Overall,mae,0.07178,
after,AH_pipeline,qwen,Overall,n_scored,973,
after,AH_pipeline,qwen,HVAC,kendall_tau,0.8813000000000001,
after,AH_pipeline,qwen,HVAC,top1,0.8736599999999999,
after,AH_pipeline,qwen,HVAC,mae,0.056620000000000004,
after,AH_pipeline,qwen,HVAC,n_scored,348,
after,AH_pipeline,qwen,Appliance,kendall_tau,0.9056200000000001,
after,AH_pipeline,qwen,Appliance,top1,0.92926,
after,AH_pipeline,qwen,Appliance,mae,0.11764000000000001,
after,AH_pipeline,qwen,Appliance,n_scored,325,
after,AH_pipeline,qwen,Shower,kendall_tau,0.8511200000000001,
