baseline,model,decision_type,metric,old,new,delta
dataset_median,all (model-independent),Overall,kendall_tau,0.6410256410256411,0.6410256410256411,0.0
dataset_median,all (model-independent),Overall,top1,0.7692307692307693,0.7589743589743589,-0.010256410256410331
dataset_median,all (model-independent),Overall,mae,0.1223461538461538,0.1327393162393162,0.010393162393162403
dataset_median,all (model-independent),HVAC,kendall_tau,0.9333333333333332,0.9333333333333332,0.0
dataset_median,all (model-independent),HVAC,top1,0.9571428571428572,0.9571428571428572,0.0
dataset_median,all (model-independent),HVAC,mae,0.0701547619047619,0.070297619047619,0.00014285714285709739
dataset_median,all (model-independent),Appliance,kendall_tau,0.1794871794871795,0.1897435897435897,0.01025641025641022
dataset_median,all (model-independent),Appliance,top1,0.4923076923076923,0.4923076923076923,0.0
dataset_median,all (model-independent),Appliance,mae,0.2367564102564102,0.2606794871794872,0.02392307692307699
dataset_median,all (model-independent),Shower,kendall_tau,0.8000000000000002,0.788888888888889,-0.011111111111111183
dataset_median,all (model-independent),Shower,top1,0.85,0.8166666666666667,-0.033333333333333326
dataset_median,all (model-independent),Shower,mae,0.0592916666666666,0.0669861111111111,0.007694444444444497
fixed_default,all (model-independent),Overall,kendall_tau,0.6137,0.6274,0.013699999999999934
fixed_default,all (model-independent),Overall,top1,0.7026,0.7077,0.005099999999999993
fixed_default,all (model-independent),Overall,mae,0.0974,0.1294,0.03199999999999999
fixed_default,all (model-independent),HVAC,kendall_tau,0.9333,0.9333,0.0
fixed_default,all (model-independent),HVAC,top1,0.9571,0.9571,0.0
fixed_default,all (model-independent),HVAC,mae,0.0707,0.0707,0.0
fixed_default,all (model-independent),Appliance,kendall_tau,0.0974,0.1385,0.04110000000000001
fixed_default,all (model-independent),Appliance,top1,0.2923,0.3077,0.01539999999999997
fixed_default,all (model-independent),Appliance,mae,0.1612,0.2572,0.09599999999999997
fixed_default,all (model-independent),Shower,kendall_tau,0.8,0.8,0.0
fixed_default,all (model-independent),Shower,top1,0.85,0.85,0.0
fixed_default,all (model-independent),Shower,mae,0.0593,0.0593,0.0
