gate,item,reference,new,abs_diff,compare_digits,pass,note
G1,deepseek/Overall/kendall_tau,0.89732,0.897323112168473,3.112168473040633e-06,3.0,True,
G3,deepseek/Overall/kendall_tau,0.89732,0.89732,0.0,12.0,True,
G1,deepseek/Overall/top1,0.9076,0.9075865715040972,1.3428495902800819e-05,3.0,True,
G3,deepseek/Overall/top1,0.9076,0.9076,0.0,12.0,True,
G1,deepseek/Overall/mae,0.04484,0.0448194818926777,2.051810732230097e-05,3.0,True,
G3,deepseek/Overall/mae,0.04484,0.04484,0.0,12.0,True,
G1,deepseek/Overall/n_scored,974.0,974.0,0.0,0.0,True,
G1,deepseek/HVAC/kendall_tau,0.91974,0.9197515527950312,1.1552795031177787e-05,3.0,True,
G3,deepseek/HVAC/kendall_tau,0.91974,0.91974,0.0,12.0,True,
G1,deepseek/HVAC/top1,0.91976,0.9197515527950312,8.447204968842215e-06,3.0,True,
G3,deepseek/HVAC/top1,0.91976,0.91976,0.0,12.0,True,
G1,deepseek/HVAC/mae,0.0447199999999999,0.0447189095928226,1.0904071773010227e-06,3.0,True,
G3,deepseek/HVAC/mae,0.0447199999999999,0.0447199999999999,0.0,12.0,True,
G1,deepseek/HVAC/n_scored,349.0,349.0,0.0,0.0,True,
G1,deepseek/Appliance/kendall_tau,0.9754,0.9753846153846156,1.5384615384417266e-05,3.0,True,
G3,deepseek/Appliance/kendall_tau,0.9754,0.9754,0.0,12.0,True,
G1,deepseek/Appliance/top1,0.9846,0.9846153846153848,1.5384615384750333e-05,3.0,True,
G3,deepseek/Appliance/top1,0.9846,0.9846,0.0,12.0,True,
G1,deepseek/Appliance/mae,0.0403599999999999,0.0403743589743589,1.4358974358995302e-05,3.0,True,
G3,deepseek/Appliance/mae,0.0403599999999999,0.0403599999999999,0.0,12.0,True,
G1,deepseek/Appliance/n_scored,325.0,325.0,0.0,0.0,True,
G1,deepseek/Shower/kendall_tau,0.78668,0.7866666666666665,1.3333333333531705e-05,3.0,True,
G3,deepseek/Shower/kendall_tau,0.78668,0.78668,0.0,12.0,True,
G1,deepseek/Shower/top1,0.8099999999999999,0.8099999999999999,0.0,3.0,True,
G3,deepseek/Shower/top1,0.8099999999999999,0.8099999999999999,0.0,12.0,True,
G1,deepseek/Shower/mae,0.04974,0.0497444444444444,4.444444444397233e-06,3.0,True,
G3,deepseek/Shower/mae,0.04974,0.04974,0.0,12.0,True,
G1,deepseek/Shower/n_scored,300.0,300.0,0.0,0.0,True,
G1,deepseek/Overall/success_rate,0.9989743589743588,0.9989743589743588,0.0,3.0,True,
G1,gemini/Overall/kendall_tau,0.92344,0.92,0.0034399999999999986,3.0,False,explained: stored Gemini A_H rank broke an exact tie by float noise (HVAC test 5)
G3,gemini/Overall/kendall_tau,0.92344,0.92344,0.0,12.0,True,
G1,gemini/Overall/top1,0.93126,0.9312820512820512,2.205128205123863e-05,3.0,True,
G3,gemini/Overall/top1,0.93126,0.93126,0.0,12.0,True,
G1,gemini/Overall/mae,0.04768,0.0476829059829059,2.9059829058999953e-06,3.0,True,
G3,gemini/Overall/mae,0.04768,0.04768,0.0,12.0,True,
G1,gemini/Overall/n_scored,975.0,975.0,0.0,0.0,True,
G1,gemini/HVAC/kendall_tau,0.97716,0.9676190476190476,0.009540952380952428,3.0,False,explained: stored Gemini A_H rank broke an exact tie by float noise (HVAC test 5)
G3,gemini/HVAC/kendall_tau,0.97716,0.97716,0.0,12.0,True,
G1,gemini/HVAC/top1,0.96568,0.9657142857142856,3.428571428565341e-05,3.0,True,
G3,gemini/HVAC/top1,0.96568,0.96568,0.0,12.0,True,
G1,gemini/HVAC/mae,0.0295599999999999,0.0295428571428571,1.714285714279895e-05,3.0,True,
G3,gemini/HVAC/mae,0.0295599999999999,0.0295599999999999,0.0,12.0,True,
G1,gemini/HVAC/n_scored,350.0,350.0,0.0,0.0,True,
G1,gemini/Appliance/kendall_tau,0.959,0.9589743589743588,2.564102564117654e-05,3.0,True,
G3,gemini/Appliance/kendall_tau,0.959,0.959,0.0,12.0,True,
G1,gemini/Appliance/top1,0.9692,0.9692307692307692,3.076923076927862e-05,3.0,True,
G3,gemini/Appliance/top1,0.9692,0.9692,0.0,12.0,True,
G1,gemini/Appliance/mae,0.06654,0.0665333333333333,6.6666666666964636e-06,3.0,True,
G3,gemini/Appliance/mae,0.06654,0.06654,0.0,12.0,True,
G1,gemini/Appliance/n_scored,325.0,325.0,0.0,0.0,True,
G1,gemini/Shower/kendall_tau,0.8222000000000002,0.8222222222222222,2.2222222222034738e-05,3.0,True,
G3,gemini/Shower/kendall_tau,0.8222000000000002,0.8222000000000002,0.0,12.0,True,
G1,gemini/Shower/top1,0.85,0.85,0.0,3.0,True,
G3,gemini/Shower/top1,0.85,0.85,0.0,12.0,True,
G1,gemini/Shower/mae,0.04838,0.0484249999999999,4.499999999989929e-05,3.0,True,
G3,gemini/Shower/mae,0.04838,0.04838,0.0,12.0,True,
G1,gemini/Shower/n_scored,300.0,300.0,0.0,0.0,True,
G1,gemini/Overall/success_rate,1.0,1.0,0.0,3.0,True,
G1,gptoss/Overall/kendall_tau,0.8974400000000001,0.8974193730542617,2.0626945738455582e-05,3.0,True,
G3,gptoss/Overall/kendall_tau,0.8974400000000001,0.8974400000000001,0.0,12.0,True,
G1,gptoss/Overall/top1,0.9173,0.917283010327167,1.698967283303432e-05,3.0,True,
G3,gptoss/Overall/top1,0.9173,0.9173,0.0,12.0,True,
G1,gptoss/Overall/mae,0.0518799999999999,0.0518612814625952,1.8718537404698032e-05,3.0,True,
G3,gptoss/Overall/mae,0.0518799999999999,0.0518799999999999,0.0,12.0,True,
G1,gptoss/Overall/n_scored,858.0,858.0,0.0,0.0,True,
G1,gptoss/HVAC/kendall_tau,0.94284,0.9428530199958772,1.3019995877217028e-05,3.0,True,
G3,gptoss/HVAC/kendall_tau,0.94284,0.94284,0.0,12.0,True,
G1,gptoss/HVAC/top1,0.93988,0.9398771387342816,2.861265718467898e-06,3.0,True,
G3,gptoss/HVAC/top1,0.93988,0.93988,0.0,12.0,True,
G1,gptoss/HVAC/mae,0.05114,0.0511500429464715,1.004294647150017e-05,3.0,True,
G3,gptoss/HVAC/mae,0.05114,0.05114,0.0,12.0,True,
G1,gptoss/HVAC/n_scored,233.0,233.0,0.0,0.0,True,
G1,gptoss/Appliance/kendall_tau,0.9671800000000002,0.9671794871794872,5.128205129434349e-07,3.0,True,
G3,gptoss/Appliance/kendall_tau,0.9671800000000002,0.9671800000000002,0.0,12.0,True,
G1,gptoss/Appliance/top1,0.98768,0.9876923076923078,1.2307692307755858e-05,3.0,True,
G3,gptoss/Appliance/top1,0.98768,0.98768,0.0,12.0,True,
G1,gptoss/Appliance/mae,0.0515,0.0515,0.0,3.0,True,
G3,gptoss/Appliance/mae,0.0515,0.0515,0.0,12.0,True,
G1,gptoss/Appliance/n_scored,325.0,325.0,0.0,0.0,True,
G1,gptoss/Shower/kendall_tau,0.7866800000000002,0.7866666666666666,1.3333333333531705e-05,3.0,True,
G3,gptoss/Shower/kendall_tau,0.7866800000000002,0.7866800000000002,0.0,12.0,True,
G1,gptoss/Shower/top1,0.82334,0.8233333333333335,6.666666666488297e-06,3.0,True,
G3,gptoss/Shower/top1,0.82334,0.82334,0.0,12.0,True,
G1,gptoss/Shower/mae,0.05282,0.0528138888888888,6.1111111111997185e-06,3.0,True,
G3,gptoss/Shower/mae,0.05282,0.05282,0.0,12.0,True,
G1,gptoss/Shower/n_scored,300.0,300.0,0.0,0.0,True,
G1,gptoss/Overall/success_rate,0.88,0.88,0.0,3.0,True,
G1,qwen/Overall/kendall_tau,0.8801,0.8801127852674243,1.2785267424320068e-05,3.0,True,
G3,qwen/Overall/kendall_tau,0.8801,0.8801,0.0,12.0,True,
G1,qwen/Overall/top1,0.89724,0.8972402854877082,2.8548770814040836e-07,3.0,True,
