check,decision_type,metric,value
A_stored_reference,hvac,scenarios,105
A_stored_reference,hvac,exact_mavt_ties,1
A_stored_reference,hvac,old_rule_differs_from_stored,0
A_stored_reference,hvac,new_rule_changes_stored_ranking,0
A_stored_reference,appliance,scenarios,100
A_stored_reference,appliance,exact_mavt_ties,0
A_stored_reference,appliance,old_rule_differs_from_stored,0
A_stored_reference,appliance,new_rule_changes_stored_ranking,0
A_stored_reference,shower,scenarios,80
A_stored_reference,shower,exact_mavt_ties,0
A_stored_reference,shower,old_rule_differs_from_stored,0
A_stored_reference,shower,new_rule_changes_stored_ranking,0
B_calculator_rescore,HVAC,scenarios,105
B_calculator_rescore,HVAC,calculator_failures,0
B_calculator_rescore,HVAC,exact_mavt_ties,1
B_calculator_rescore,HVAC,ranking_changes_old_to_new,0
B_calculator_rescore,Appliance,scenarios,100
B_calculator_rescore,Appliance,calculator_failures,0
B_calculator_rescore,Appliance,exact_mavt_ties,0
B_calculator_rescore,Appliance,ranking_changes_old_to_new,0
B_calculator_rescore,Shower,scenarios,80
B_calculator_rescore,Shower,calculator_failures,0
B_calculator_rescore,Shower,exact_mavt_ties,0
B_calculator_rescore,Shower,ranking_changes_old_to_new,0
C_hvac_test_58,HVAC,true parameters,"old ['77', '81', '73'] / new ['77', '81', '73'] / exact tie False"
C_hvac_test_58,HVAC,R-value = 5 counterfactual,"old ['77', '81', '73'] / new ['81', '77', '73'] / exact tie True"
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,deepseek:scenario_runs,974
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,deepseek:rank_differs_under_rounded_rule,0
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,gemini:scenario_runs,975
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,gemini:rank_differs_under_rounded_rule,5
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,gptoss:scenario_runs,858
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,gptoss:rank_differs_under_rounded_rule,0
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,qwen:scenario_runs,973
D_stored_arch_ranks,LLM-Parameterized_Reference_Scoring,qwen:rank_differs_under_rounded_rule,0
D_stored_arch_ranks,Example-Guided_LLM_Scoring,deepseek:scenario_runs,975
D_stored_arch_ranks,Example-Guided_LLM_Scoring,deepseek:rank_differs_under_rounded_rule,5
D_stored_arch_ranks,Example-Guided_LLM_Scoring,gemini:scenario_runs,965
D_stored_arch_ranks,Example-Guided_LLM_Scoring,gemini:rank_differs_under_rounded_rule,12
D_stored_arch_ranks,Example-Guided_LLM_Scoring,gptoss:scenario_runs,975
D_stored_arch_ranks,Example-Guided_LLM_Scoring,gptoss:rank_differs_under_rounded_rule,4
D_stored_arch_ranks,Example-Guided_LLM_Scoring,qwen:scenario_runs,975
D_stored_arch_ranks,Example-Guided_LLM_Scoring,qwen:rank_differs_under_rounded_rule,0
D_stored_arch_ranks,Direct_LLM_Scoring,deepseek:scenario_runs,968
D_stored_arch_ranks,Direct_LLM_Scoring,deepseek:rank_differs_under_rounded_rule,3
D_stored_arch_ranks,Direct_LLM_Scoring,gemini:scenario_runs,975
D_stored_arch_ranks,Direct_LLM_Scoring,gemini:rank_differs_under_rounded_rule,4
D_stored_arch_ranks,Direct_LLM_Scoring,gptoss:scenario_runs,975
D_stored_arch_ranks,Direct_LLM_Scoring,gptoss:rank_differs_under_rounded_rule,3
D_stored_arch_ranks,Direct_LLM_Scoring,qwen:scenario_runs,973
D_stored_arch_ranks,Direct_LLM_Scoring,qwen:rank_differs_under_rounded_rule,2
