model,arm,source_run,decision_type,scenario_id,failed,kendall_tau,top1,mae
deepseek,extracted,,HVAC,1,False,1.0,1.0,0.012499999999999992
deepseek,default_params,,HVAC,1,False,1.0,1.0,0.01166666666666664
deepseek,extracted_per_run,shippedrun_01,HVAC,1,False,1.0,1.0,0.023333333333333317
deepseek,extracted_per_run,shippedrun_02,HVAC,1,False,1.0,1.0,0.01416666666666666
deepseek,extracted_per_run,shippedrun_03,HVAC,1,False,1.0,1.0,0.014999999999999977
deepseek,extracted_per_run,shippedrun_04,HVAC,1,False,1.0,1.0,0.011666666666666659
deepseek,extracted_per_run,shippedrun_05,HVAC,1,False,1.0,1.0,0.017499999999999977
deepseek,order_control,control_01,HVAC,1,False,1.0,1.0,0.011666666666666659
deepseek,order_control,control_02,HVAC,1,False,1.0,1.0,0.011666666666666659
deepseek,order_control,control_03,HVAC,1,False,1.0,1.0,0.017499999999999977
deepseek,order_reversed,reversed_01,HVAC,1,False,1.0,1.0,0.012499999999999975
deepseek,order_reversed,reversed_02,HVAC,1,False,1.0,1.0,0.023333333333333317
deepseek,order_reversed,reversed_03,HVAC,1,False,1.0,1.0,0.014999999999999977
deepseek,order_reversed,reversed_04,HVAC,1,False,1.0,1.0,0.02583333333333332
deepseek,order_reversed,reversed_05,HVAC,1,False,1.0,1.0,0.02583333333333332
deepseek,extracted,,HVAC,2,False,1.0,1.0,0.02416666666666666
deepseek,default_params,,HVAC,2,False,1.0,1.0,0.03249999999999998
deepseek,extracted_per_run,shippedrun_01,HVAC,2,False,0.33333333333333337,0.0,0.08749999999999998
deepseek,extracted_per_run,shippedrun_02,HVAC,2,False,1.0,1.0,0.005833333333333339
deepseek,extracted_per_run,shippedrun_03,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,extracted_per_run,shippedrun_04,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,extracted_per_run,shippedrun_05,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_control,control_01,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_control,control_02,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_control,control_03,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_reversed,reversed_01,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_reversed,reversed_02,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_reversed,reversed_03,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_reversed,reversed_04,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,order_reversed,reversed_05,HVAC,2,False,1.0,1.0,0.021666666666666667
deepseek,extracted,,HVAC,3,False,1.0,1.0,0.03666666666666666
deepseek,default_params,,HVAC,3,False,1.0,1.0,0.04833333333333333
deepseek,extracted_per_run,shippedrun_01,HVAC,3,False,1.0,1.0,0.04
deepseek,extracted_per_run,shippedrun_02,HVAC,3,False,1.0,1.0,0.045000000000000005
