Description,Location,Occupants,Tank Size,GPM,Utility Budget,Housing Type,Outdoor Temp,Water Heater Temp,Alternative 1,Alternative 2,Alternative 3
How long should I shower?,"Pittsburgh, PA",2,40,1.50,185,Apartment,28,105,3,5,8
How long should I shower?,"Philadelphia, PA",3,50,1.50,220,Townhouse,85,110,4,7,10
How long should I shower?,"Lancaster, PA",1,40,1.50,180,Apartment,18,120,5,8,12
How long should I shower?,"Harrisburg, PA",2,40,2.50,190,Townhouse,75,120,5,7,10
How long should I shower?,"Allentown, PA",4,60,1.50,260,Single-family,78,130,5,7,10
How long should I shower?,"Erie, PA",4,60,2.50,300,Single-family,28,120,6,9,12
How long should I shower?,"Scranton, PA",2,40,1.50,180,Apartment,32,120,5,7,10
How long should I shower?,"Bethlehem, PA",5,50,1.50,240,Townhouse,30,120,3,6,9
How long should I shower?,"Reading, PA",5,80,2.50,350,Single-family,82,120,5,8,12
How long should I shower?,"York, PA",5,40,3.50,320,Single-family,20,135,8,12,16
How long should I shower?,"West Chester, PA",6,60,3.50,360,Single-family,82,140,10,15,18
How long should I shower?,"State College, PA",4,60,2.50,290,Single-family,30,120,6,10,15
How long should I shower?,"Doylestown, PA",3,50,2.50,310,Single-family,85,120,6,9,12
How long should I shower?,"Media, PA",4,50,3.50,280,Townhouse,25,120,6,10,15
How long should I shower?,"Norristown, PA",3,40,3.50,300,Apartment,90,130,7,12,16
How long should I shower?,"King of Prussia, PA",6,40,4.00,390,Single-family,15,135,12,15,18
How long should I shower?,"Pottstown, PA",2,40,2.00,210,Apartment,78,120,5,8,12
How long should I shower?,"Exton, PA",5,50,4.00,410,Townhouse,88,140,10,14,18
How long should I shower?,"Newtown, PA",4,30,2.00,230,Apartment,22,105,2,3,5
How long should I shower?,"Wilkes-Barre, PA",5,40,2.50,260,Townhouse,80,110,3,5,8
How long should I shower?,"Phoenixville, PA",7,50,3.00,430,Single-family,12,130,8,12,15
How long should I shower?,"Greensburg, PA",2,80,2.00,300,Single-family,92,120,5,8,12
How long should I shower?,"Hazleton, PA",3,50,3.50,250,Townhouse,30,120,5,8,12
How long should I shower?,"Altoona, PA",2,40,3.50,210,Apartment,70,120,4,7,10
How long should I shower?,"Chambersburg, PA",4,65,4.00,320,Single-family,55,120,4,7,10
How long should I shower?,"Johnstown, PA",4,50,2.00,240,Townhouse,58,120,3,8,15
How long should I shower?,"Lebanon, PA",2,40,2.50,195,Apartment,65,120,4,10,18
How long should I shower?,"Monroeville, PA",4,60,2.00,280,Single-family,50,120,5,12,20
How long should I shower?,"Stroudsburg, PA",2,40,2.50,185,Apartment,40,120,2,7,14
How long should I shower?,"Carlisle, PA",3,50,2.00,255,Townhouse,72,120,6,10,16
How long should I shower?,"Coatesville, PA",2,40,2.00,200,Apartment,52,105,5,8,12
How long should I shower?,"DuBois, PA",3,50,2.50,240,Single-family,45,105,5,8,12
How long should I shower?,"Gettysburg, PA",2,40,2.00,205,Townhouse,60,110,5,8,12
How long should I shower?,"Chester, PA",3,50,2.50,260,Single-family,55,130,5,8,12
How long should I shower?,"Easton, PA",4,60,2.50,290,Single-family,48,140,5,8,12
How long should I shower?,"Butler, PA",5,40,2.50,320,Single-family,55,120,8,10,12
How long should I shower?,"Meadville, PA",4,40,3.00,280,Single-family,50,120,8,10,12
How long should I shower?,"Indiana, PA",6,50,2.50,380,Single-family,60,120,8,10,12
How long should I shower?,"Oil City, PA",5,50,2.00,310,Single-family,55,120,8,10,12
How long should I shower?,"Uniontown, PA",7,60,2.50,430,Single-family,58,120,8,10,12
How long should I shower?,"Erie, PA",3,50,2.50,265,Apartment,10,120,5,8,12
How long should I shower?,"Scranton, PA",2,40,2.00,200,Single-family,20,120,5,8,12
How long should I shower?,"Stroudsburg, PA",3,50,2.50,250,Single-family,32,120,5,8,12
How long should I shower?,"Blue Bell, PA",2,40,2.00,195,Townhouse,75,120,5,8,12
How long should I shower?,"Phoenixville, PA",3,50,2.50,260,Apartment,92,120,5,8,12
How long should I shower?,"Carlisle, PA",2,40,3.00,200,Apartment,42,120,4,7,10
How long should I shower?,"DuBois, PA",5,65,4.00,350,Single-family,38,120,4,7,10
How long should I shower?,"Gettysburg, PA",3,50,2.00,235,Townhouse,55,120,1,6,12
How long should I shower?,"Easton, PA",2,40,2.50,190,Apartment,62,120,7,14,22
How long should I shower?,"Butler, PA",3,50,2.00,245,Single-family,50,105,5,8,12
How long should I shower?,"Hazleton, PA",2,40,2.50,205,Apartment,58,135,5,8,12
How long should I shower?,"Lebanon, PA",4,30,2.50,260,Townhouse,55,120,6,8,10
How long should I shower?,"Monroeville, PA",8,80,2.50,490,Single-family,58,120,8,10,12
How long should I shower?,"Bradford, PA",2,40,2.00,190,Single-family,5,120,5,8,12
How long should I shower?,"Media, PA",3,50,2.50,255,Townhouse,85,120,5,8,12
How long should I shower?,"King of Prussia, PA",2,40,2.00,195,Condo,65,120,3,5,8
How long should I shower?,"Blue Bell, PA",3,50,2.50,245,Condo,78,120,3,5,8
How long should I shower?,"Philadelphia, PA",3,50,2.50,250,Rowhouse,72,120,3,5,8
How long should I shower?,"Lancaster, PA",2,40,2.00,195,Rowhouse,58,120,3,5,8
How long should I shower?,"State College, PA",1,30,1.50,145,Apartment,35,105,4,6,10
How long should I shower?,"Indiana, PA",1,30,2.00,155,Apartment,48,110,4,6,10
How long should I shower?,"Pittsburgh, PA",3,50,2.50,245,Townhouse,62,120,3,5,8
How long should I shower?,"West Mifflin, PA",4,60,3.00,295,Single-family,70,125,3,4,6
How long should I shower?,"Pittsburgh, PA",2,40,2.00,185,Single-family,28,120,3,5,8
How long should I shower?,"Exton, PA",3,50,2.50,260,Condo,62,120,3,5,8
How long should I shower?,"Pottstown, PA",2,40,2.00,195,Condo,75,115,3,5,8
How long should I shower?,"Phoenixville, PA",4,60,2.50,310,Condo,55,120,3,5,7
How long should I shower?,"Bethlehem, PA",2,40,2.00,200,Rowhouse,62,115,3,5,8
How long should I shower?,"Hazleton, PA",3,50,2.50,250,Rowhouse,48,120,3,5,8
How long should I shower?,"Wilkes-Barre, PA",4,60,2.00,280,Rowhouse,70,120,3,5,7
How long should I shower?,"Meadville, PA",1,30,1.50,140,Apartment,38,105,4,6,10
How long should I shower?,"New Castle, PA",1,30,2.00,150,Apartment,45,110,4,6,10
How long should I shower?,"Uniontown, PA",2,40,2.00,160,Apartment,52,115,3,5,8
How long should I shower?,"Williamsport, PA",3,50,2.50,255,Single-family,48,120,3,5,8
How long should I shower?,"Williamsport, PA",2,40,2.00,195,Apartment,35,120,3,5,8
How long should I shower?,"West Mifflin, PA",3,50,2.50,250,Townhouse,60,120,3,5,8
How long should I shower?,"McKeesport, PA",2,40,2.00,190,Apartment,42,120,3,5,8
