scenario_id,description,location,utility_budget,appliance,appliance_age_type,housing_type,occupants,kwh_per_cycle,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_cost,raw_emissions
0,It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Monroeville, PA",175.0,washing_machine,8,Townhouse,3,0.45,2:00 PM,9.48,9.34,10.0,10.0,9.613,1,0.0743,0.468
0,It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Monroeville, PA",175.0,washing_machine,8,Townhouse,3,0.45,9:00 PM,9.88,9.34,6.38,4.97,8.2545,2,0.0302,0.468
0,It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Monroeville, PA",175.0,washing_machine,8,Townhouse,3,0.45,6:00 AM,9.88,9.43,3.36,4.31,7.582999999999999,3,0.0302,0.439
1,It's around 7 in the evening and I need to run the dryer. When should I start it?,"Indiana, PA",200.0,dryer,12,Apartment,4,3.2,7:00 PM,5.37,0.92,10.0,10.0,5.433,1,0.528,3.331
1,It's around 7 in the evening and I need to run the dryer. When should I start it?,"Indiana, PA",200.0,dryer,12,Apartment,4,3.2,11:00 PM,8.21,1.53,5.1,5.67,4.869,2,0.2144,3.123
1,It's around 7 in the evening and I need to run the dryer. When should I start it?,"Indiana, PA",200.0,dryer,12,Apartment,4,3.2,2:00 PM,5.37,0.92,7.29,6.04,4.297,3,0.528,3.331
2,It's nearly 11 at night and I need to run the dishwasher. When should I start it?,"Uniontown, PA",220.0,dishwasher,6,Townhouse,5,1.35,11:00 PM,9.33,6.84,10.0,9.25,8.580499999999999,1,0.0905,1.318
2,It's nearly 11 at night and I need to run the dishwasher. When should I start it?,"Uniontown, PA",220.0,dishwasher,6,Townhouse,5,1.35,3:00 PM,8.13,6.58,5.73,4.64,6.584,3,0.2228,1.405
2,It's nearly 11 at night and I need to run the dishwasher. When should I start it?,"Uniontown, PA",220.0,dishwasher,6,Townhouse,5,1.35,7:00 AM,9.33,6.58,5.73,4.64,6.944,2,0.0905,1.405
3,It's around 10 in the morning and I need to run the washer. When should I start it?,"Butler, PA",160.0,washer,3,Single-family,3,0.28,10:00 AM,9.98,9.86,10.0,10.0,9.945,1,0.0188,0.291
3,It's around 10 in the morning and I need to run the washer. When should I start it?,"Butler, PA",160.0,washer,3,Single-family,3,0.28,2:00 PM,9.74,9.86,7.91,6.78,8.972,2,0.0462,0.291
3,It's around 10 in the morning and I need to run the washer. When should I start it?,"Butler, PA",160.0,washer,3,Single-family,3,0.28,10:00 PM,9.98,9.86,2.35,1.51,7.1415,3,0.0188,0.291
4,It's just past 5 PM � when should I run the dryer?,"Greensburg, PA",190.0,dryer,15,Townhouse,2,3.5,5:00 PM,4.92,0.0,10.0,10.0,4.976,1,0.5775,3.643
4,It's just past 5 PM � when should I run the dryer?,"Greensburg, PA",190.0,dryer,15,Townhouse,2,3.5,2:00 PM,4.92,0.0,8.6,7.82,4.369,3,0.5775,3.643
4,It's just past 5 PM � when should I run the dryer?,"Greensburg, PA",190.0,dryer,15,Townhouse,2,3.5,11:00 PM,8.03,0.67,5.23,5.19,4.468,2,0.2345,3.416
5,It's past 1 in the morning and I need to run the washing machine. When should I start it?,"Monroeville, PA",210.0,washing_machine,10,Apartment,5,0.65,1:00 AM,9.76,8.85,7.83,8.45,8.858999999999998,1,0.0436,0.634
