scenario_id,description,location,occupants,gpm,utility_budget,housing_type,outdoor_temp,alternative,duration_min,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_water_gallons
0,How long should I shower?,"Pittsburgh, PA",2,1.5,185,Apartment,28,3,3.0,10.0,10.0,2.86,2.2,7.402,3,0.7164929405168461,0.13613365869820077,4.5
0,How long should I shower?,"Pittsburgh, PA",2,1.5,185,Apartment,28,5,5.0,9.43,10.0,5.63,3.48,7.977,2,1.1941549008614099,0.2268894311636679,7.5
0,How long should I shower?,"Pittsburgh, PA",2,1.5,185,Apartment,28,8,8.0,8.42,9.33,8.56,7.6,8.6435,1,1.910647841378256,0.36302308986186865,12.0
1,How long should I shower?,"Philadelphia, PA",3,1.5,220,Townhouse,85,4,4.0,10.0,10.0,6.34,2.86,8.197,3,0.6368826137927519,0.12100769662062287,6.0
1,How long should I shower?,"Philadelphia, PA",3,1.5,220,Townhouse,85,7,7.0,9.54,9.56,9.32,6.37,9.027500000000002,1,1.1145445741373157,0.21176346908608998,10.5
1,How long should I shower?,"Philadelphia, PA",3,1.5,220,Townhouse,85,10,10.0,8.87,8.89,9.59,8.45,8.957999999999998,2,1.5922065344818799,0.3025192415515572,15.0
2,How long should I shower?,"Lancaster, PA",1,1.5,180,Apartment,18,5,5.0,9.43,10.0,7.43,3.48,8.337,2,1.19415490086141,0.22688943116366792,7.5
2,How long should I shower?,"Lancaster, PA",1,1.5,180,Apartment,18,8,8.0,8.42,9.33,9.96,7.6,8.923499999999999,1,1.9106478413782562,0.36302308986186865,12.0
2,How long should I shower?,"Lancaster, PA",1,1.5,180,Apartment,18,12,12.0,7.08,8.44,9.21,9.25,8.3075,3,2.8659717620673844,0.5445346347928031,18.0
3,How long should I shower?,"Harrisburg, PA",2,2.5,190,Townhouse,75,5,5.0,9.24,9.26,7.43,3.48,8.020999999999999,2,1.3268387787348999,0.25209936795963095,12.5
3,How long should I shower?,"Harrisburg, PA",2,2.5,190,Townhouse,75,7,7.0,8.5,8.52,9.32,6.37,8.3515,1,1.85757429022886,0.35293911514348336,17.5
3,How long should I shower?,"Harrisburg, PA",2,2.5,190,Townhouse,75,10,10.0,7.38,7.41,9.59,5.71,7.581999999999999,3,2.6536775574697997,0.5041987359192619,25.0
4,How long should I shower?,"Allentown, PA",4,1.5,260,Single-family,78,5,5.0,9.99,10.0,7.43,3.48,8.504999999999999,3,0.79610326724094,0.15125962077577862,7.5
4,How long should I shower?,"Allentown, PA",4,1.5,260,Single-family,78,7,7.0,9.54,9.56,9.32,6.37,9.027500000000002,1,1.114544574137316,0.21176346908609003,10.5
4,How long should I shower?,"Allentown, PA",4,1.5,260,Single-family,78,10,10.0,8.87,8.89,8.82,8.45,8.803999999999998,2,1.59220653448188,0.30251924155155724,15.0
5,How long should I shower?,"Erie, PA",4,2.5,300,Single-family,28,6,6.0,7.75,8.89,8.42,5.01,7.872,1,2.3883098017228197,0.4537788623273358,15.0
5,How long should I shower?,"Erie, PA",4,2.5,300,Single-family,28,9,9.0,6.07,7.78,9.37,5.19,7.1964999999999995,2,3.5824647025842298,0.6806682934910037,22.5
5,How long should I shower?,"Erie, PA",4,2.5,300,Single-family,28,12,12.0,4.39,6.67,7.62,6.69,6.178999999999999,3,4.776619603445639,0.9075577246546715,30.0
6,How long should I shower?,"Scranton, PA",2,1.5,180,Apartment,32,5,5.0,9.43,10.0,7.43,3.48,8.337,3,1.19415490086141,0.22688943116366792,7.5
6,How long should I shower?,"Scranton, PA",2,1.5,180,Apartment,32,7,7.0,8.76,9.56,9.32,6.37,8.7935,1,1.6718168612059743,0.3176452036291351,10.5
6,How long should I shower?,"Scranton, PA",2,1.5,180,Apartment,32,10,10.0,7.75,8.89,9.59,8.45,8.622,2,2.38830980172282,0.45377886232733583,15.0
7,How long should I shower?,"Bethlehem, PA",5,1.5,240,Townhouse,30,3,3.0,10.0,10.0,5.13,2.2,7.856,3,0.7164929405168461,0.13613365869820077,4.5
7,How long should I shower?,"Bethlehem, PA",5,1.5,240,Townhouse,30,6,6.0,9.09,9.78,8.42,5.01,8.5855,1,1.4329858810336922,0.27226731739640153,9.0
7,How long should I shower?,"Bethlehem, PA",5,1.5,240,Townhouse,30,9,9.0,8.09,9.11,9.37,5.19,8.267999999999999,2,2.149478821550538,0.40840097609460224,13.5
8,How long should I shower?,"Reading, PA",5,2.5,350,Single-family,82,5,5.0,9.24,9.26,7.43,3.48,8.020999999999999,1,1.3268387787348999,0.25209936795963095,12.5
8,How long should I shower?,"Reading, PA",5,2.5,350,Single-family,82,8,8.0,8.12,8.15,9.9,4.64,7.964499999999999,2,2.1229420459758397,0.40335898873540954,20.0
8,How long should I shower?,"Reading, PA",5,2.5,350,Single-family,82,12,12.0,6.63,6.67,7.62,6.69,6.850999999999999,3,3.1844130689637598,0.6050384831031144,30.0
9,How long should I shower?,"York, PA",5,3.5,320,Single-family,20,8,8.0,4.84,6.96,9.22,4.64,6.428,1,4.458178296549263,0.8470538763443599,28.0
9,How long should I shower?,"York, PA",5,3.5,320,Single-family,20,12,12.0,1.7,4.89,6.77,6.69,4.579,2,6.6872674448238945,1.27058081451654,42.0
9,How long should I shower?,"York, PA",5,3.5,320,Single-family,20,16,16.0,0.0,2.81,3.36,4.81,2.377,3,8.916356593098525,1.6941077526887198,56.0
10,How long should I shower?,"West Chester, PA",6,3.5,360,Single-family,82,10,10.0,5.88,5.93,8.06,5.71,6.308,1,3.71514858045772,0.7058782302869667,35.0
10,How long should I shower?,"West Chester, PA",6,3.5,360,Single-family,82,15,15.0,3.27,3.33,4.5,5.19,3.825,2,5.5727228706865795,1.0588173454304501,52.5
10,How long should I shower?,"West Chester, PA",6,3.5,360,Single-family,82,18,18.0,1.7,1.78,0.64,4.02,1.8639999999999999,3,6.687267444823896,1.2705808145165403,63.0
11,How long should I shower?,"State College, PA",4,2.5,290,Single-family,30,6,6.0,7.75,8.89,8.42,5.01,7.872,1,2.3883098017228197,0.4537788623273358,15.0
11,How long should I shower?,"State College, PA",4,2.5,290,Single-family,30,10,10.0,5.51,7.41,8.82,5.71,6.866999999999999,2,3.9805163362046994,0.7562981038788928,25.0
11,How long should I shower?,"State College, PA",4,2.5,290,Single-family,30,15,15.0,2.71,5.56,5.53,5.19,4.6434999999999995,3,5.970774504307049,1.1344471558183393,37.5
