scenario_id,description,location,occupants,gpm,utility_budget,housing_type,outdoor_temp,alternative,duration_min,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_water_gallons
0,How long should my showers be?,"Pittsburgh, PA",2,2.5,200,Apartment,35,5,5.0,9.15,9.26,7.43,2.44,7.837999999999999,2,1.5869994636932403,0.30152989810171565,12.5
0,How long should my showers be?,"Pittsburgh, PA",2,2.5,200,Apartment,35,8,8.0,7.65,8.15,9.96,7.29,8.233,1,2.5391991419091844,0.482447836962745,20.0
0,How long should my showers be?,"Pittsburgh, PA",2,2.5,200,Apartment,35,12,12.0,5.64,6.67,9.21,6.24,6.8045,3,3.808798712863776,0.7236717554441174,30.0
1,How long should my showers be?,"Philadelphia, PA",4,2.5,280,Apartment,38,7,7.0,8.22,8.52,9.32,5.87,8.1925,1,2.1796798321246493,0.4141391681036834,17.5
1,How long should my showers be?,"Philadelphia, PA",4,2.5,280,Apartment,38,10,10.0,6.74,7.41,8.82,5.09,7.142999999999999,2,3.113828331606642,0.591627383005262,25.0
1,How long should my showers be?,"Philadelphia, PA",4,2.5,280,Apartment,38,15,15.0,4.27,5.56,5.53,4.48,5.004999999999999,3,4.670742497409963,0.8874410745078929,37.5
2,What's the ideal shower length?,"Lancaster, PA",3,2.0,250,Single-family,55,6,6.0,9.56,9.33,8.42,4.27,8.458,2,1.3309735786500272,0.2528849799435052,12.0
2,What's the ideal shower length?,"Lancaster, PA",3,2.0,250,Single-family,55,9,9.0,8.51,8.44,9.78,7.78,8.629999999999999,1,1.996460367975041,0.3793274699152578,18.0
2,What's the ideal shower length?,"Lancaster, PA",3,2.0,250,Single-family,55,12,12.0,7.45,7.56,9.21,6.24,7.659000000000001,3,2.6619471573000544,0.5057699598870103,24.0
3,How long should my showers be?,"Harrisburg, PA",2,2.5,190,Townhouse,75,5,5.0,9.79,9.26,7.43,2.44,8.03,2,1.185862158494317,0.22531381011392024,12.5
3,How long should my showers be?,"Harrisburg, PA",2,2.5,190,Townhouse,75,7,7.0,9.04,8.52,9.32,5.87,8.4385,1,1.6602070218920437,0.3154393341594883,17.5
3,How long should my showers be?,"Harrisburg, PA",2,2.5,190,Townhouse,75,10,10.0,7.91,7.41,9.59,5.09,7.648,3,2.371724316988634,0.4506276202278405,25.0
4,How long should my showers be?,"Allentown, PA",3,2.0,260,Single-family,50,8,8.0,8.76,8.74,9.96,7.29,8.772499999999999,1,1.838813407031864,0.34937454733605416,16.0
4,How long should my showers be?,"Allentown, PA",3,2.0,260,Single-family,50,10,10.0,8.03,8.15,9.59,8.26,8.4185,2,2.2985167587898303,0.43671818417006775,20.0
4,How long should my showers be?,"Allentown, PA",3,2.0,260,Single-family,50,13,13.0,6.94,7.26,9.01,5.68,7.276999999999999,3,2.9880717864267794,0.5677336394210881,26.0
5,What's the ideal shower length?,"Erie, PA",4,2.5,300,Single-family,28,6,6.0,8.59,8.89,8.42,4.27,8.013,1,1.9405017138997913,0.36869532564096036,15.0
