architecture,comparison,shipped_run,n_paired_scenarios,shipped_right_reversed_wrong,shipped_wrong_reversed_right,mcnemar_exact_p,top1_choice_agreement,n_choice_compared,model
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],01,68.0,16.0,17.0,1.0,0.3676,68,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],01,65.0,3.0,9.0,0.146,0.7077,65,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Shower],01,60.0,10.0,8.0,0.8145,0.6167,60,gptoss
Direct_LLM_Scoring,reversed_vs_shipped,01,193.0,29.0,34.0,0.6147,0.5596,193,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],02,68.0,14.0,23.0,0.1877,0.2647,68,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],02,65.0,4.0,6.0,0.7539,0.6923,65,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Shower],02,60.0,12.0,10.0,0.8318,0.4333,60,gptoss
Direct_LLM_Scoring,reversed_vs_shipped,02,193.0,30.0,39.0,0.3356,0.4611,193,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],03,68.0,13.0,18.0,0.4731,0.3971,68,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],03,65.0,5.0,4.0,1.0,0.7385,65,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Shower],03,60.0,13.0,7.0,0.2632,0.5167,60,gptoss
Direct_LLM_Scoring,reversed_vs_shipped,03,193.0,31.0,29.0,0.8974,0.5492,193,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],04,68.0,19.0,18.0,1.0,0.3824,68,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],04,65.0,3.0,6.0,0.5078,0.6769,65,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Shower],04,60.0,12.0,8.0,0.5034,0.5,60,gptoss
Direct_LLM_Scoring,reversed_vs_shipped,04,193.0,34.0,32.0,0.9022,0.5181,193,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],05,68.0,15.0,19.0,0.6076,0.3971,68,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],05,65.0,2.0,10.0,0.0386,0.6769,65,gptoss
Direct_LLM_Scoring,reversed_vs_shipped[Shower],05,60.0,10.0,5.0,0.3018,0.5167,60,gptoss
Direct_LLM_Scoring,reversed_vs_shipped,05,193.0,27.0,34.0,0.4426,0.5285,193,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,01v02,,,,,0.5179,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,01v03,,,,,0.4923,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,01v04,,,,,0.5385,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,01v05,,,,,0.5077,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,02v03,,,,,0.5179,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,02v04,,,,,0.5436,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,02v05,,,,,0.4974,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,03v04,,,,,0.5179,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,03v05,,,,,0.5436,195,gptoss
Direct_LLM_Scoring,shipped_vs_shipped,04v05,,,,,0.5333,195,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[HVAC],01,70.0,20.0,11.0,0.1496,0.4,70,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Appliance],01,65.0,14.0,7.0,0.1892,0.5077,65,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Shower],01,60.0,18.0,8.0,0.0755,0.55,60,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped,01,195.0,52.0,26.0,0.0043,0.4821,195,gptoss
