architecture,comparison,shipped_run,n_paired_scenarios,shipped_right_reversed_wrong,shipped_wrong_reversed_right,mcnemar_exact_p,top1_choice_agreement,n_choice_compared,model
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],01,70.0,11.0,11.0,1.0,0.5857,70,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],01,65.0,2.0,2.0,1.0,0.8769,65,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Shower],01,60.0,5.0,2.0,0.4531,0.8333,60,gemini
Direct_LLM_Scoring,reversed_vs_shipped,01,195.0,18.0,15.0,0.7283,0.759,195,gemini
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],02,70.0,9.0,10.0,1.0,0.6,70,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],02,65.0,1.0,3.0,0.625,0.8923,65,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Shower],02,60.0,4.0,3.0,1.0,0.8333,60,gemini
Direct_LLM_Scoring,reversed_vs_shipped,02,195.0,14.0,16.0,0.8555,0.7692,195,gemini
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],03,70.0,10.0,12.0,0.8318,0.6,70,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],03,65.0,0.0,3.0,0.25,0.8923,65,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Shower],03,60.0,6.0,6.0,1.0,0.7667,60,gemini
Direct_LLM_Scoring,reversed_vs_shipped,03,195.0,16.0,21.0,0.5114,0.7487,195,gemini
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],04,70.0,8.0,10.0,0.8145,0.5429,70,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],04,65.0,2.0,3.0,1.0,0.8769,65,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Shower],04,60.0,6.0,4.0,0.7539,0.7833,60,gemini
Direct_LLM_Scoring,reversed_vs_shipped,04,195.0,16.0,17.0,1.0,0.7282,195,gemini
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],05,70.0,12.0,13.0,1.0,0.5286,70,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],05,65.0,0.0,3.0,0.25,0.9077,65,gemini
Direct_LLM_Scoring,reversed_vs_shipped[Shower],05,60.0,6.0,4.0,0.7539,0.7833,60,gemini
Direct_LLM_Scoring,reversed_vs_shipped,05,195.0,18.0,20.0,0.8714,0.7333,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,01v02,,,,,0.8923,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,01v03,,,,,0.8359,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,01v04,,,,,0.8615,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,01v05,,,,,0.8872,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,02v03,,,,,0.8821,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,02v04,,,,,0.9179,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,02v05,,,,,0.8923,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,03v04,,,,,0.8513,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,03v05,,,,,0.8769,195,gemini
Direct_LLM_Scoring,shipped_vs_shipped,04v05,,,,,0.8923,195,gemini
