architecture,scope,metric,reversed,shipped_mean,shipped_sd,shipped_min,shipped_max,delta,delta_in_sd,within_shipped_range,n_shipped_runs,model
Direct_LLM_Scoring,Overall,kendall_tau,0.1658,0.1761,0.0143,0.159,0.1897,-0.0103,-0.72,True,5,gemini
Direct_LLM_Scoring,Overall,top1_accuracy,0.3692,0.3621,0.0148,0.3436,0.3846,0.0071,0.48,True,5,gemini
Direct_LLM_Scoring,Overall,top2_accuracy,0.7077,0.6974,0.0162,0.6718,0.7128,0.0103,0.63,True,5,gemini
Direct_LLM_Scoring,Overall,spearman_rho,0.1641,0.1733,0.0198,0.1513,0.2,-0.0092,-0.47,True,5,gemini
Direct_LLM_Scoring,HVAC,kendall_tau,0.0,-0.0324,0.0239,-0.0667,-0.0095,0.0324,1.35,False,5,gemini
Direct_LLM_Scoring,HVAC,top1_accuracy,0.2714,0.2543,0.0119,0.2429,0.2714,0.0171,1.44,True,5,gemini
Direct_LLM_Scoring,HVAC,top2_accuracy,0.6857,0.6143,0.0364,0.5714,0.6571,0.0714,1.96,False,5,gemini
Direct_LLM_Scoring,HVAC,spearman_rho,0.0,-0.0371,0.0427,-0.0929,0.0,0.0371,0.87,True,5,gemini
Direct_LLM_Scoring,Appliance,kendall_tau,-0.0256,-0.0215,0.0156,-0.0462,-0.0051,-0.0041,-0.26,True,5,gemini
Direct_LLM_Scoring,Appliance,top1_accuracy,0.2769,0.2492,0.02,0.2308,0.2769,0.0277,1.38,True,5,gemini
Direct_LLM_Scoring,Appliance,top2_accuracy,0.5692,0.5754,0.0138,0.5692,0.6,-0.0062,-0.45,True,5,gemini
Direct_LLM_Scoring,Appliance,spearman_rho,-0.0692,-0.0754,0.0114,-0.0923,-0.0615,0.0062,0.54,True,5,gemini
Direct_LLM_Scoring,Shower,kendall_tau,0.5667,0.6333,0.0351,0.5889,0.6778,-0.0666,-1.9,False,5,gemini
Direct_LLM_Scoring,Shower,top1_accuracy,0.5833,0.61,0.019,0.5833,0.6333,-0.0267,-1.4,True,5,gemini
Direct_LLM_Scoring,Shower,top2_accuracy,0.8833,0.9267,0.0224,0.9,0.95,-0.0434,-1.94,False,5,gemini
Direct_LLM_Scoring,Shower,spearman_rho,0.6083,0.6883,0.0361,0.65,0.7333,-0.08,-2.21,False,5,gemini
Example-Guided_LLM_Scoring,Overall,kendall_tau,0.1077,0.3047,0.0185,0.2815,0.3333,-0.197,-10.62,False,5,gemini
Example-Guided_LLM_Scoring,Overall,top1_accuracy,0.3436,0.4722,0.0206,0.456,0.5078,-0.1286,-6.24,False,5,gemini
Example-Guided_LLM_Scoring,Overall,top2_accuracy,0.6974,0.7937,0.006,0.7872,0.8031,-0.0963,-16.14,False,5,gemini
Example-Guided_LLM_Scoring,Overall,spearman_rho,0.1154,0.3204,0.0201,0.2979,0.3523,-0.205,-10.22,False,5,gemini
Example-Guided_LLM_Scoring,HVAC,kendall_tau,-0.2857,-0.1162,0.0262,-0.1401,-0.0725,-0.1695,-6.47,False,5,gemini
Example-Guided_LLM_Scoring,HVAC,top1_accuracy,0.0857,0.1528,0.0446,0.1286,0.2319,-0.0671,-1.51,False,5,gemini
Example-Guided_LLM_Scoring,HVAC,top2_accuracy,0.6,0.6657,0.0276,0.6377,0.7101,-0.0657,-2.38,False,5,gemini
Example-Guided_LLM_Scoring,HVAC,spearman_rho,-0.2571,-0.0936,0.0301,-0.1232,-0.0435,-0.1635,-5.43,False,5,gemini
Example-Guided_LLM_Scoring,Appliance,kendall_tau,-0.0256,0.3441,0.0346,0.2923,0.3862,-0.3697,-10.69,False,5,gemini
Example-Guided_LLM_Scoring,Appliance,top1_accuracy,0.2308,0.5631,0.0241,0.5385,0.6032,-0.3323,-13.78,False,5,gemini
Example-Guided_LLM_Scoring,Appliance,top2_accuracy,0.6,0.7611,0.0189,0.7385,0.7812,-0.1611,-8.54,False,5,gemini
Example-Guided_LLM_Scoring,Appliance,spearman_rho,-0.0538,0.3352,0.038,0.2769,0.381,-0.389,-10.24,False,5,gemini
Example-Guided_LLM_Scoring,Shower,kendall_tau,0.7111,0.7655,0.0155,0.7471,0.7816,-0.0544,-3.5,False,5,gemini
Example-Guided_LLM_Scoring,Shower,top1_accuracy,0.7667,0.7552,0.0319,0.7069,0.7931,0.0115,0.36,True,5,gemini
Example-Guided_LLM_Scoring,Shower,top2_accuracy,0.9167,0.9828,0.0006,0.9818,0.9833,-0.0661,-114.48,False,5,gemini
Example-Guided_LLM_Scoring,Shower,spearman_rho,0.7333,0.8,0.0142,0.7845,0.819,-0.0667,-4.68,False,5,gemini
