architecture,comparison,shipped_run,n_paired_scenarios,shipped_right_reversed_wrong,shipped_wrong_reversed_right,mcnemar_exact_p,top1_choice_agreement,n_choice_compared,model
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],01,66.0,12.0,22.0,0.1214,0.3333,66,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],01,64.0,8.0,5.0,0.5811,0.6562,64,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Shower],01,60.0,9.0,11.0,0.8238,0.4167,60,qwen
Direct_LLM_Scoring,reversed_vs_shipped,01,190.0,29.0,38.0,0.3284,0.4684,190,qwen
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],02,66.0,13.0,17.0,0.5847,0.4091,66,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],02,64.0,8.0,6.0,0.7905,0.6562,64,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Shower],02,60.0,14.0,8.0,0.2863,0.4167,60,qwen
Direct_LLM_Scoring,reversed_vs_shipped,02,190.0,35.0,31.0,0.7122,0.4947,190,qwen
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],03,66.0,9.0,20.0,0.0614,0.4545,66,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],03,63.0,9.0,5.0,0.424,0.6984,63,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Shower],03,60.0,19.0,12.0,0.281,0.2667,60,qwen
Direct_LLM_Scoring,reversed_vs_shipped,03,189.0,37.0,37.0,1.0,0.4762,189,qwen
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],04,66.0,9.0,20.0,0.0614,0.3939,66,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],04,64.0,8.0,4.0,0.3877,0.5938,64,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Shower],04,60.0,12.0,13.0,1.0,0.3167,60,qwen
Direct_LLM_Scoring,reversed_vs_shipped,04,190.0,29.0,37.0,0.3891,0.4368,190,qwen
Direct_LLM_Scoring,reversed_vs_shipped[HVAC],05,65.0,5.0,18.0,0.0106,0.4769,65,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Appliance],05,64.0,11.0,4.0,0.1185,0.625,64,qwen
Direct_LLM_Scoring,reversed_vs_shipped[Shower],05,60.0,17.0,9.0,0.1686,0.45,60,qwen
Direct_LLM_Scoring,reversed_vs_shipped,05,189.0,33.0,31.0,0.9007,0.5185,189,qwen
Direct_LLM_Scoring,shipped_vs_shipped,01v02,,,,,0.5179,195,qwen
Direct_LLM_Scoring,shipped_vs_shipped,01v03,,,,,0.4845,194,qwen
Direct_LLM_Scoring,shipped_vs_shipped,01v04,,,,,0.5231,195,qwen
Direct_LLM_Scoring,shipped_vs_shipped,01v05,,,,,0.5361,194,qwen
Direct_LLM_Scoring,shipped_vs_shipped,02v03,,,,,0.5206,194,qwen
Direct_LLM_Scoring,shipped_vs_shipped,02v04,,,,,0.5231,195,qwen
Direct_LLM_Scoring,shipped_vs_shipped,02v05,,,,,0.5309,194,qwen
Direct_LLM_Scoring,shipped_vs_shipped,03v04,,,,,0.5464,194,qwen
Direct_LLM_Scoring,shipped_vs_shipped,03v05,,,,,0.5078,193,qwen
Direct_LLM_Scoring,shipped_vs_shipped,04v05,,,,,0.5052,194,qwen
