baseline,decision_type,metric,value,n_scenarios
FixedDefault,HVAC,top1_accuracy,0.9571,70
FixedDefault,HVAC,kendall_tau,0.9333,70
FixedDefault,HVAC,spearman_rho,0.95,70
FixedDefault,HVAC,top2_accuracy,1.0,70
FixedDefault,HVAC,overall_MAE,0.0707,70
FixedDefault,HVAC,overall_RMSE,0.1204,70
FixedDefault,Appliance,top1_accuracy,0.2923,65
FixedDefault,Appliance,kendall_tau,0.0974,65
FixedDefault,Appliance,spearman_rho,0.1231,65
FixedDefault,Appliance,top2_accuracy,0.6923,65
FixedDefault,Appliance,overall_MAE,0.1612,65
FixedDefault,Appliance,overall_RMSE,0.2222,65
FixedDefault,Shower,top1_accuracy,0.85,60
FixedDefault,Shower,kendall_tau,0.8,60
FixedDefault,Shower,spearman_rho,0.8167,60
FixedDefault,Shower,top2_accuracy,0.95,60
FixedDefault,Shower,overall_MAE,0.0587,60
FixedDefault,Shower,overall_RMSE,0.1098,60
FixedDefault,Overall_pooled,top1_accuracy,0.7026,195
FixedDefault,Overall_pooled,kendall_tau,0.6137,195
FixedDefault,Overall_pooled,spearman_rho,0.6333,195
FixedDefault,Overall_pooled,top2_accuracy,0.8821,195
FixedDefault,Overall_pooled,overall_MAE,0.0972,195
FixedDefault,Overall_pooled,overall_RMSE,0.1593,195
FixedDefault,Overall_per_type_mean,top1_accuracy,0.6998,195
FixedDefault,Overall_per_type_mean,kendall_tau,0.610233,195
FixedDefault,Overall_per_type_mean,spearman_rho,0.629933,195
FixedDefault,Overall_per_type_mean,top2_accuracy,0.880767,195
NearestNeighbor,HVAC,top1_accuracy,0.4286,70
NearestNeighbor,HVAC,kendall_tau,0.1333,70
NearestNeighbor,HVAC,spearman_rho,0.1643,70
NearestNeighbor,HVAC,top2_accuracy,0.7143,70
NearestNeighbor,HVAC,overall_MAE,0.1579,70
NearestNeighbor,HVAC,overall_RMSE,0.2379,70
NearestNeighbor,Appliance,top1_accuracy,0.5538,65
NearestNeighbor,Appliance,kendall_tau,0.2923,65
NearestNeighbor,Appliance,spearman_rho,0.3,65
NearestNeighbor,Appliance,top2_accuracy,0.7692,65
NearestNeighbor,Appliance,overall_MAE,0.157,65
NearestNeighbor,Appliance,overall_RMSE,0.2173,65
NearestNeighbor,Shower,top1_accuracy,0.75,60
NearestNeighbor,Shower,kendall_tau,0.7333,60
NearestNeighbor,Shower,spearman_rho,0.75,60
NearestNeighbor,Shower,top2_accuracy,0.95,60
NearestNeighbor,Shower,overall_MAE,0.2123,60
NearestNeighbor,Shower,overall_RMSE,0.2798,60
NearestNeighbor,Overall_pooled,top1_accuracy,0.5692,195
NearestNeighbor,Overall_pooled,kendall_tau,0.3709,195
NearestNeighbor,Overall_pooled,spearman_rho,0.3897,195
NearestNeighbor,Overall_pooled,top2_accuracy,0.8051,195
NearestNeighbor,Overall_pooled,overall_MAE,0.1743,195
NearestNeighbor,Overall_pooled,overall_RMSE,0.2453,195
NearestNeighbor,Overall_per_type_mean,top1_accuracy,0.577467,195
NearestNeighbor,Overall_per_type_mean,kendall_tau,0.3863,195
NearestNeighbor,Overall_per_type_mean,spearman_rho,0.404767,195
NearestNeighbor,Overall_per_type_mean,top2_accuracy,0.811167,195
