scenario_id,description,location,occupants,tank_size,gpm,outdoor_temp,water_heater_temp,alternative,duration_min,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh
0,How long should my showers be?,"Carlisle, PA",2,40,3,42,120,4,4,8.63,9.33,6.34,2.86,7.5515,1,1.7625
0,How long should my showers be?,"Carlisle, PA",2,40,3,42,120,7,7,6.77,8,9.32,3.07,7.1555,2,3.0844
0,How long should my showers be?,"Carlisle, PA",2,40,3,42,120,10,10,4.91,6.67,9.59,5.71,6.582,3,4.4063
1,What's the ideal shower length?,"DuBois, PA",5,65,4,38,120,4,4,7.69,8.74,6.34,1.51,6.8605,1,2.429
1,What's the ideal shower length?,"DuBois, PA",5,65,4,38,120,7,7,5.13,6.96,9.32,3.07,6.2995,2,4.2508
1,What's the ideal shower length?,"DuBois, PA",5,65,4,38,120,10,10,2.56,5.19,8.82,5.71,5.205,3,6.0726
2,What's the ideal shower length?,"Gettysburg, PA",3,50,2,55,120,1,1,10,10,0.24,1.51,6.7745,3,0.2617
2,What's the ideal shower length?,"Gettysburg, PA",3,50,2,55,120,6,6,8.9,9.33,8.42,5.01,8.371,1,1.57
2,What's the ideal shower length?,"Gettysburg, PA",3,50,2,55,120,12,12,6.69,7.56,9.21,6.69,7.4985,2,3.14
3,How long should my showers be?,"Easton, PA",2,40,2.5,62,120,7,7,8.1,8.52,9.32,6.37,8.2315,1,2.1384
3,How long should my showers be?,"Easton, PA",2,40,2.5,62,120,14,14,5.09,5.93,8.81,5.71,6.221,2,4.2767
3,How long should my showers be?,"Easton, PA",2,40,2.5,62,120,22,22,1.65,2.96,5.63,2.27,2.9975,3,6.7206
4,How long should my showers be?,"Butler, PA",3,50,2,50,105,5,5,9.18,9.63,5.63,3.48,7.7725,2,1.37
4,How long should my showers be?,"Butler, PA",3,50,2,50,105,8,8,8.03,8.74,8.56,4.64,7.876,1,2.1921
4,How long should my showers be?,"Butler, PA",3,50,2,50,105,12,12,6.48,7.56,7.7,6.69,7.1335,3,3.2881
5,What's the ideal shower length?,"Hazleton, PA",2,40,2.5,58,135,5,5,8.87,9.26,6.57,3.48,7.738,2,1.5891
5,What's the ideal shower length?,"Hazleton, PA",2,40,2.5,58,135,8,8,7.53,8.15,9.29,7.6,8.1095,1,2.5426
5,What's the ideal shower length?,"Hazleton, PA",2,40,2.5,58,135,12,12,5.74,6.67,8.48,6.69,6.756,3,3.8139
6,How long should my showers be?,"Lebanon, PA",4,30,2.5,55,120,6,6,8.35,8.89,8.42,1.51,7.527,2,1.9625
6,How long should my showers be?,"Lebanon, PA",4,30,2.5,55,120,8,8,7.43,8.15,9.9,4.64,7.7575,1,2.6166
6,How long should my showers be?,"Lebanon, PA",4,30,2.5,55,120,10,10,6.51,7.41,8.82,5.71,7.167,3,3.2708
7,What's the ideal shower length?,"Monroeville, PA",8,80,2.5,58,120,8,8,7.53,8.15,9.9,4.64,7.7875,1,2.5426
7,What's the ideal shower length?,"Monroeville, PA",8,80,2.5,58,120,10,10,6.64,7.41,8.82,5.71,7.206,2,3.1782
7,What's the ideal shower length?,"Monroeville, PA",8,80,2.5,58,120,12,12,5.74,6.67,7.62,6.69,6.584,3,3.8139
8,How long should my showers be?,"Bradford, PA",2,40,2,5,120,5,5,8.87,9.63,7.43,3.48,8.0395,2,1.5922
8,How long should my showers be?,"Bradford, PA",2,40,2,5,120,8,8,7.53,8.74,9.96,7.6,8.45,1,2.5475
8,How long should my showers be?,"Bradford, PA",2,40,2,5,120,12,12,5.73,7.56,9.21,6.69,7.2105,3,3.8213
9,What's the ideal shower length?,"Media, PA",3,50,2.5,85,120,5,5,9.24,9.26,7.43,3.48,8.021,1,1.3268
9,What's the ideal shower length?,"Media, PA",3,50,2.5,85,120,8,8,8.12,8.15,9.96,4.64,7.9765,2,2.1229
9,What's the ideal shower length?,"Media, PA",3,50,2.5,85,120,12,12,6.63,6.67,9.21,6.69,7.169,3,3.1844
