scenario_id,question,location,household_size,gpm,flow_rate,tank_size,water_heater_temp,utility_budget,housing_type,outdoor_temp,alternative,duration_min,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_water_gallons
1,How long should I shower?,"Blue Bell, PA",2,2.0,low_flow,40,120,195,Townhouse,75,5,5,9.62,9.63,7.43,3.48,8.2645,2,1.06147102298792,0.2016794943677048,10.0
1,How long should I shower?,"Blue Bell, PA",2,2.0,low_flow,40,120,195,Townhouse,75,8,8,8.72,8.74,9.96,7.6,8.807,1,1.698353636780672,0.3226871909883277,16.0
1,How long should I shower?,"Blue Bell, PA",2,2.0,low_flow,40,120,195,Townhouse,75,12,12,7.53,7.56,9.21,6.69,7.7505,3,2.547530455171008,0.4840307864824915,24.0
2,How long should I shower?,"Media, PA",3,2.5,standard,50,120,255,Townhouse,85,5,5,9.24,9.26,7.43,3.48,8.020999999999999,1,1.3268387787349,0.2520993679596309,12.5
2,How long should I shower?,"Media, PA",3,2.5,standard,50,120,255,Townhouse,85,8,8,8.12,8.15,9.96,4.64,7.976499999999999,2,2.12294204597584,0.4033589887354095,20.0
2,How long should I shower?,"Media, PA",3,2.5,standard,50,120,255,Townhouse,85,12,12,6.63,6.67,9.21,6.69,7.169,3,3.18441306896376,0.6050384831031144,30.0
3,How long should I shower?,"Indiana, PA",1,2.0,low_flow,30,110,155,Apartment,48,4,4,9.54,9.93,6.0,2.86,7.9665,3,1.115778842768697,0.2119979801260525,8.0
3,How long should I shower?,"Indiana, PA",1,2.0,low_flow,30,110,155,Apartment,48,6,6,8.76,9.33,7.56,5.01,8.157,2,1.673668264153046,0.3179969701890787,12.0
3,How long should I shower?,"Indiana, PA",1,2.0,low_flow,30,110,155,Apartment,48,10,10,7.19,8.15,9.94,8.45,8.265,1,2.789447106921743,0.5299949503151312,20.0
4,How long should I shower?,"Pittsburgh, PA",3,2.5,standard,50,120,245,Townhouse,62,3,3,9.82,10.0,5.13,2.2,7.802,2,0.916444458800617,0.1741244471721172,7.5
4,How long should I shower?,"Pittsburgh, PA",3,2.5,standard,50,120,245,Townhouse,62,5,5,8.96,9.26,7.08,3.48,7.867000000000001,1,1.527407431334362,0.2902074119535287,12.5
