corpus,scope,criterion,nominal_weight,n_scenarios,pct_no_discrimination,mean_within_scenario_range,max_within_scenario_range,realized_swing,realized_swing_share,nominal_minus_realized
full,Overall,energy_cost,0.3,285,14.0,0.2118,0.85,0.0635,0.251,0.049
full,Overall,environmental,0.35,285,18.9,0.1438,0.9,0.0503,0.1988,0.1512
full,Overall,comfort,0.2,285,0.0,0.4275,1.0,0.0855,0.3379,-0.1379
full,Overall,practicality,0.15,285,16.5,0.3578,0.85,0.0537,0.2122,-0.0622
full,HVAC,energy_cost,0.3,105,10.5,0.0914,0.43,0.0274,0.1717,0.1283
full,HVAC,environmental,0.35,105,10.5,0.0904,0.43,0.0316,0.198,0.152
full,HVAC,comfort,0.2,105,0.0,0.429,1.0,0.0858,0.5377,-0.3377
full,HVAC,practicality,0.15,105,44.8,0.098,0.7,0.0147,0.0921,0.0579
full,Appliance,energy_cost,0.3,100,28.0,0.2196,0.76,0.0659,0.2475,0.0525
full,Appliance,environmental,0.35,100,42.0,0.0221,0.07,0.0077,0.0289,0.3211
full,Appliance,comfort,0.2,100,0.0,0.4895,0.91,0.0979,0.3677,-0.1677
full,Appliance,practicality,0.15,100,0.0,0.6318,0.85,0.0948,0.356,-0.206
full,Shower,energy_cost,0.3,80,1.2,0.36,0.85,0.108,0.3007,-0.0007
full,Shower,environmental,0.35,80,1.2,0.3659,0.9,0.1281,0.3567,-0.0067
full,Shower,comfort,0.2,80,0.0,0.3481,0.92,0.0696,0.1938,0.0062
full,Shower,practicality,0.15,80,0.0,0.3564,0.58,0.0535,0.149,0.001
