model,architecture,run,artifact,filename,mtime_utc_iso,last_commit_utc_iso,last_commit_sha,last_commit_subject
deepseek,Direct_LLM_Scoring,1,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,Direct_LLM_Scoring,1,results_xlsx,Direct_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:22+00:00,2026-07-05T18:56:05-04:00,83001d2b,"ran all deepseek trials. latency is all over the place for all models; it should not be used as an important metric due to its availability everywhere, and how it would differ much in such short prompts."
deepseek,Direct_LLM_Scoring,2,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,Direct_LLM_Scoring,2,results_xlsx,Direct_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:22+00:00,2026-07-05T18:56:05-04:00,83001d2b,"ran all deepseek trials. latency is all over the place for all models; it should not be used as an important metric due to its availability everywhere, and how it would differ much in such short prompts."
deepseek,Direct_LLM_Scoring,3,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,Direct_LLM_Scoring,3,results_xlsx,Direct_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:22+00:00,2026-07-05T18:56:05-04:00,83001d2b,"ran all deepseek trials. latency is all over the place for all models; it should not be used as an important metric due to its availability everywhere, and how it would differ much in such short prompts."
deepseek,Direct_LLM_Scoring,4,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,Direct_LLM_Scoring,4,results_xlsx,Direct_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:22+00:00,2026-07-05T18:56:05-04:00,83001d2b,"ran all deepseek trials. latency is all over the place for all models; it should not be used as an important metric due to its availability everywhere, and how it would differ much in such short prompts."
deepseek,Direct_LLM_Scoring,5,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,Direct_LLM_Scoring,5,results_xlsx,Direct_LLM_Scoring_results_run_05.xlsx,2026-07-29T20:41:22+00:00,2026-07-05T18:56:05-04:00,83001d2b,"ran all deepseek trials. latency is all over the place for all models; it should not be used as an important metric due to its availability everywhere, and how it would differ much in such short prompts."
deepseek,Example-Guided_LLM_Scoring,1,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,1,results_xlsx,Example-Guided_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,2,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,2,results_xlsx,Example-Guided_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
