scenario_id,decision_type,architecture,model,run,failed_criteria,total_scenarios,total_api_calls,total_latency_ms,total_tokens_input,total_tokens_output,successful_calls,failed_calls,successful_scenarios,failed_scenarios,EXTRACTION_INVALID_JSON,FAILED_MISSING_SCORE,FAILED_OUT_OF_BOUNDS,FAILED_INVALID_SCORE_TYPE,FAILED_API_EXHAUSTED,FAILED_UNKNOWN,avg_latency_ms,scenario_success_rate,FAILED_EXTRACTION_NON_JSON_WRAPPER,FAILED_EXTRACTION_INVALID_DECISION_TYPE,FAILED_EXTRACTION_INVALID_CALCULATOR,FAILED_EXTRACTION_MISSING_PARAMETERS,FAILED_EXTRACTION_INVALID_PARAMETERS,FAILED_EXTRACTION_DECISION_TYPE_MISMATCH,FAILED_EXTRACTION_EXCEPTION,FAILED_GROUND_TRUTH_CALCULATION_EXCEPTION,FAILED_GROUND_TRUTH_MISSING_KEY,success_rate
92,Appliance,Direct_LLM_Scoring,deepseek,1,energy_cost_environmental_comfort_practicality,195,582,4023535.766363144,371806,261388,581,4,193,2,1,0.0,0.0,0.0,0,0,6913.291694782034,0.9897435897435898,,,,,,,,,,
92,Appliance,Direct_LLM_Scoring,deepseek,1,energy_cost_environmental_comfort_practicality,195,582,4023535.766363144,371806,261388,581,4,193,2,1,0.0,0.0,0.0,0,0,6913.291694782034,0.9897435897435898,,,,,,,,,,
92,Appliance,Direct_LLM_Scoring,deepseek,1,energy_cost_environmental_comfort_practicality,195,582,4023535.766363144,371806,261388,581,4,193,2,1,0.0,0.0,0.0,0,0,6913.291694782034,0.9897435897435898,,,,,,,,,,
110,Appliance,Direct_LLM_Scoring,deepseek,1,energy_cost_environmental_comfort_practicality,195,582,4023535.766363144,371806,261388,581,4,193,2,1,0.0,0.0,0.0,0,0,6913.291694782034,0.9897435897435898,,,,,,,,,,
110,Appliance,Direct_LLM_Scoring,deepseek,1,energy_cost_environmental_comfort_practicality,195,582,4023535.766363144,371806,261388,581,4,193,2,1,0.0,0.0,0.0,0,0,6913.291694782034,0.9897435897435898,,,,,,,,,,
110,Appliance,Direct_LLM_Scoring,deepseek,1,energy_cost_environmental_comfort_practicality,195,582,4023535.766363144,371806,261388,581,4,193,2,1,0.0,0.0,0.0,0,0,6913.291694782034,0.9897435897435898,,,,,,,,,,
148,Shower,Direct_LLM_Scoring,deepseek,2,energy_cost_environmental_comfort_practicality,195,582,4341115.431547165,372614,288789,582,3,194,1,0,0.0,0.0,0.0,0,0,7458.961222589631,0.9948717948717949,,,,,,,,,,
148,Shower,Direct_LLM_Scoring,deepseek,2,energy_cost_environmental_comfort_practicality,195,582,4341115.431547165,372614,288789,582,3,194,1,0,0.0,0.0,0.0,0,0,7458.961222589631,0.9948717948717949,,,,,,,,,,
148,Shower,Direct_LLM_Scoring,deepseek,2,energy_cost_environmental_comfort_practicality,195,582,4341115.431547165,372614,288789,582,3,194,1,0,0.0,0.0,0.0,0,0,7458.961222589631,0.9948717948717949,,,,,,,,,,
58,HVAC,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
58,HVAC,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
58,HVAC,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
74,Appliance,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
74,Appliance,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
74,Appliance,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
146,Shower,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
146,Shower,Direct_LLM_Scoring,deepseek,3,energy_cost_environmental_comfort_practicality,195,582,3928684.952020645,370617,250965,579,6,192,3,3,0.0,0.0,0.0,0,0,6750.317786977053,0.9846153846153847,,,,,,,,,,
