architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,1,Overall,0.1897,0.2,0.3846,0.7026,0.2164,0.2922,1.3503,0.2433,0.246,0.1656,0.2108,0.3298,0.3348,0.2265,0.2635,195,0,195,gemini
Direct_LLM_Scoring,1,HVAC,-0.019,0.0,0.2714,0.6143,0.2388,0.305,1.2772,0.2868,0.2753,0.2047,0.1884,0.3657,0.3502,0.2479,0.2327,70,0,0,gemini
Direct_LLM_Scoring,1,Appliance,-0.0154,-0.0615,0.2769,0.5692,0.2677,0.3544,1.3239,0.3272,0.3654,0.1584,0.2197,0.4071,0.4388,0.2444,0.2908,65,0,0,gemini
Direct_LLM_Scoring,1,Shower,0.6556,0.7167,0.6333,0.95,0.1349,0.1814,1.3447,0.1018,0.0823,0.128,0.2273,0.1335,0.1122,0.174,0.2664,60,0,0,gemini
Direct_LLM_Scoring,2,Overall,0.1624,0.1513,0.359,0.6718,0.2188,0.296,1.3528,0.2486,0.2484,0.1683,0.2101,0.336,0.3378,0.2306,0.265,195,0,195,gemini
Direct_LLM_Scoring,2,HVAC,-0.0476,-0.0714,0.2571,0.5714,0.2417,0.3081,1.2747,0.2911,0.2783,0.2019,0.1954,0.3701,0.3533,0.2471,0.2387,70,0,0,gemini
Direct_LLM_Scoring,2,Appliance,-0.0256,-0.0769,0.2462,0.5692,0.2711,0.361,1.3316,0.3355,0.3681,0.1663,0.2148,0.4167,0.4425,0.2545,0.2948,65,0,0,gemini
Direct_LLM_Scoring,2,Shower,0.6111,0.6583,0.6,0.9,0.1356,0.1811,1.3355,0.1047,0.0839,0.1313,0.2223,0.1377,0.1144,0.1773,0.2601,60,0,0,gemini
Direct_LLM_Scoring,3,Overall,0.159,0.1615,0.3436,0.7077,0.2198,0.2961,1.3471,0.2476,0.2492,0.1686,0.2137,0.3339,0.3383,0.2307,0.2676,195,0,195,gemini
Direct_LLM_Scoring,3,HVAC,-0.019,-0.0214,0.2429,0.6571,0.2421,0.3085,1.2743,0.2908,0.2778,0.1996,0.2002,0.3692,0.3534,0.2451,0.2439,70,0,0,gemini
